"","x"
"1","Kööpenhamina"
"2","Köbenhavn"
"3","Copenhagen"
"4","Copenhague"
"5","Köpenhamn"
"6","Kjöbenhavn"
"7","Kobenhavn"
"8","Kjöpenhamn"
"9","Kjøbenhavn"
"10","København"
"11","Køpenhavn"
"12","Kjobenhavn"
"13","Kiobenhavn"
"14","Kiøbenhavn"
