original	polished	count
NA	226 s.	22
NA	165 s.	22
NA	[2], 32 s.	22
NA	191 s.	22
NA	207 s.	22
NA	177 s.	22
NA	8  s.	22
NA	[72] s.	22
NA	[46] s.	22
NA	252 s.	21
NA	268 s.	21
NA	260 s.	21
NA	368 s.	21
NA	145 s.	21
NA	193 s.	21
NA	[2], 26 s.	21
NA	294 s.	20
NA	[2] s., s. 17-32	20
NA	213 s.	20
NA	46, [1] s.	20
NA	1 s.	20
NA	79, [1] s.	20
NA	[30] s.	20
NA	6 lehteä	20
NA	[11 s.]	20
NA	384 s.	19
NA	270 s.	19
NA	127, [1] s.	19
NA	296 s.	19
NA	[2], 13, [1] s.	19
NA	[30], 539, [13], 464 s.	19
NA	[4], 24 s.	19
NA	62, [1] s.	19
NA	[52] s.	19
NA	[1-2] 3-12 s.	19
NA	[16] s. (s. [2] tyhjä)	19
NA	199 s.	18
NA	244 s.	18
NA	259 s.	18
NA	225 s.	18
NA	27, [1] s.	18
NA	185 s.	18
NA	181 s.	18
NA	223 s.	18
NA	189 s.	18
NA	221 s.	18
NA	[1-3] 4-12 s.	18
NA	[1-3] 4-32 s.	18
NA	292 s.	17
NA	258 s.	17
NA	242 s.	17
NA	54, [1] s.	17
NA	251 s.	17
NA	8 lehteä	17
NA	[34] s.	17
NA	238 s.	17
NA	13, [1] s.	17
NA	[2], [1] 2-22 s.	17
NA	[2], [1] 2-18 s.	17
NA	[4], 28 s.	17
NA	[4 s.].	17
NA	14, [1] s.	17
NA	Kollaatio avoin	17
NA	250 s.	16
NA	[2], 46 s.	16
NA	22, [1] s.	16
NA	245 s.	16
NA	61, [1] s.	16
NA	55, [1] s.	16
NA	219 s.	16
NA	[4], 8 s.	16
NA	197 s.	16
NA	[1-3] 4-24 s.	16
NA	[1-3] 4-48 s.	16
NA	[2], 28 s.	16
NA	30, [1] s.	16
NA	348 s.	15
NA	308 s.	15
NA	[4], 32 s.	15
NA	247 s.	15
NA	322 s.	15
NA	315 s.	15
NA	[4], 44 s.	15
NA	324 s.	15
NA	303 s.	15
NA	205 s.	15
NA	237 s.	15
NA	243 s.	15
NA	274 s.	15
NA	287 s.	15
NA	336 s.	15
NA	[2], 15, [1] s.	15
NA	4 s., 6 kuvaa	15
NA	[32] s. (s. [32] tyhjä)	15
NA	[4], 84 s.	15
NA	[8 s.]	15
NA	29, [1] s.	15
NA	[24], 540, 468, [12] s.	15
NA	246 s.	14
NA	300 s.	14
NA	278 s.	14
NA	282 s.	14
NA	53, [1] s.	14
NA	1 kartta kahdessa osassa	14
NA	38, [1] s.	14
NA	328 s.	14
NA	[128] s.	14
NA	229 s.	14
NA	58, [1] s.	14
NA	304 s.	14
NA	318 s.	14
NA	209 s.	14
NA	[80] s.	14
NA	[1-3] 4-20 s.	14
NA	[2], 19, [1] s.	14
NA	[4], 23, [1] s.	14
NA	[12 s.]	14
NA	105, [1] s.	14
NA	30, [2] s.	13
NA	286 s.	13
NA	290 s.	13
NA	312 s.	13
NA	344 s.	13
NA	356 s.	13
NA	338 s.	13
NA	[2] s., s. 9-16	13
NA	51, [1] s.	13
NA	327 s.	13
NA	301 s.	13
NA	201 s.	13
NA	[60] s.	13
NA	416 s.	13
NA	281 s.	13
NA	235 s.	13
NA	[4-?] s.	13
NA	[4], 15, [1] s.	13
NA	[4], 48 s.	13
NA	[5] s.	13
NA	[20] s. (s. [20] tyhjä)	13
NA	234 s.	12
NA	298 s.	12
NA	119, [1] s.	12
NA	77, [1] s.	12
NA	87, [1] s.	12
NA	275 s.	12
NA	352 s.	12
NA	263 s.	12
NA	70, [1] s.	12
NA	231 s.	12
NA	269 s.	12
NA	[2], 11, [1] s.	12
NA	211 s.	12
NA	253 s.	12
NA	[4], 80 s.	12
NA	71, [1] s.	12
NA	111, [1] s.	12
NA	143, [1] s.	12
NA	[4], 36 s.	12
NA	42, [1] s.	12
NA	37, [1] s.	12
NA	[4], 27, [1] s.	12
NA	[8], 24 s.	12
NA	364 s.	11
NA	306 s.	11
NA	236 s.	11
NA	271 s.	11
NA	366 s.	11
NA	[4], 10 s.	11
NA	1 kartta kahdella lehdellä	11
NA	[2], 34 s.	11
NA	[2] s., s. 17-24	11
NA	[11] s.	11
NA	48, [1] s.	11
NA	340 s.	11
NA	[4], 112 s.	11
NA	249 s.	11
NA	8:o.	11
NA	118, [1] s.	11
NA	109, [1] s.	11
NA	295 s.	11
NA	311 s.	11
NA	266 s.	11
NA	[2], [1] 2-26 s.	11
NA	[4], [1] 2-24 s.	11
NA	[2], [1] 2-24 s.	11
NA	[1-2] 3-24 s.	11
NA	217 s.	11
NA	241 s.	11
NA	[38] s.	11
NA	12 lehteä	11
NA	16 lehteä	11
NA	[1-3] 4-40 s.	11
NA	[4], 22 s.	11
NA	[4], 78 s.	11
NA	[4], 96 s.	11
NA	103, [1] s.	11
NA	[2], 38 s.	11
NA	76, [1] s.	11
NA	110, [1] s.	11
NA	83, [1] s.	11
NA	[4], 68 s.	10
NA	346 s.	10
NA	392 s.	10
NA	332 s.	10
NA	[4], 18 s.	10
NA	59, [1] s.	10
NA	99, [1] s.	10
NA	233 s.	10
NA	[2], 48 s.	10
NA	279 s.	10
NA	349 s.	10
NA	[4], 180 s.	10
NA	[2] s., s. 49-64	10
NA	21, [1] s.	10
NA	380 s.	10
NA	34, [1] s.	10
NA	126, [1] s.	10
NA	10 s., 2 kuvaa	10
NA	265 s.	10
NA	10 lehteä	10
NA	56, [1] s.	10
NA	[1-5] 6-16 s.	10
NA	[16] s. (s. [16] tyhjä)	10
NA	[4], [1] 2-16 s.	10
NA	[4], 14 s.	10
NA	[4], 11, [1] s.	10
NA	93, [2] s.	10
NA	[4], 72 s.	10
NA	64, [1] s.	10
NA	[2], 21 s.	10
NA	94, [1] s.	10
NA	125, [1] s.	10
NA	45, [1] s.	10
NA	130, [1] s.	10
NA	85, [1] s.	10
NA	[8], 32 s.	10
NA	[1] lehti (verso tyhjä)	10
NA	[4], [1] 2-32 s.	10
NA	[6], 18 s.	10
NA	114, [1] s.	9
NA	360 s.	9
NA	6, [1] s.	9
NA	[15] s.	9
NA	28, [1] s.	9
NA	17, [1] s.	9
NA	50, [1] s.	9
NA	4:o.	9
NA	455 s.	9
NA	[4], 83 s.	9
NA	[4], 92 s.	9
NA	[4], 108 s.	9
NA	93, [1] s.	9
NA	448 s.	9
NA	302 s.	9
NA	323 s.	9
NA	[2] s., s. 33-48	9
NA	284 s.	9
NA	293 s.	9
NA	[2], 62 s.	9
NA	[42] s.	9
NA	159, [1] s.	9
NA	307 s.	9
NA	5 lehteä	9
NA	273 s.	9
NA	[120] s.	9
NA	[1-3] 4-15 [16] s.	9
NA	[2], 23, [1] s.	9
NA	[4], 67 s.	9
NA	[4], 52 s.	9
NA	[4], 40 s.	9
NA	[4], 102 s.	9
NA	[4], 192 s.	9
NA	[4], 127 s.	9
NA	[4], 56 s.	9
NA	[2], 50 s.	9
NA	136, [1] s.	9
NA	90, [1] s.	9
NA	102, [2] s.	9
NA	57, [1] s.	9
NA	78, [1] s.	9
NA	91, [1] s.	9
NA	158, [1] s.	9
NA	[4], [1] 2-20 s.	9
NA	[1-2] 3-10 s.	9
NA	[28], 539, [13], 464 s.	9
NA	390 s.	8
NA	354 s.	8
NA	358 s.	8
NA	262 s.	8
NA	408 s.	8
NA	89, [1] s.	8
NA	62, [2] s.	8
NA	92, [2] s.	8
NA	[4], 160 s.	8
NA	[4], 109 s.	8
NA	[4], 193 s.	8
NA	194, [1] s.	8
NA	370 s.	8
NA	261 s.	8
NA	[4], 51 s.	8
NA	343 s.	8
NA	299 s.	8
NA	350 s.	8
NA	65, [1] s.	8
NA	472 s.	8
NA	319 s.	8
NA	382 s.	8
NA	400 s.	8
NA	480 s.	8
NA	289 s.	8
NA	[12] s. (s. [12] tyhjä)	8
NA	[2], 74 s.	8
NA	[4], 124 s.	8
NA	335 s.	8
NA	438 s.	8
NA	255 s.	8
NA	[4], 122 s.	8
NA	[4], 172 s.	8
NA	[4], 54 s.	8
NA	157, [1] s.	8
NA	[2], [1] 2-30 s.	8
NA	[6], 26 s.	8
NA	[4], 60 s.	8
NA	[2], 25 s.	8
NA	[4], 103 s.	8
NA	[2], 54 s.	8
NA	122, [1] s.	8
NA	[2], 40 s.	8
NA	[4], 111 s.	8
NA	[4], 194 s.	8
NA	179, [1] s.	8
NA	[2], 23 s.	8
NA	[2], 36 s.	8
NA	10 s., 4 kuvasivua	8
NA	[2], 56 s.	8
NA	106, [1] s.	8
NA	69, [1] s.	8
NA	139, [1] s.	8
NA	9, [1] s.	8
NA	102, [1] s.	8
NA	[8], 23, [1] s.	8
NA	[4], [1] 2-15 [16] s.	8
NA	[2-?] s.	8
NA	[54] s.	8
NA	[8], 20 s.	8
NA	[1-2] 3-20 s.	8
NA	[1-3] 4-64 s.	8
NA	[1-2] 3-48 s.	8
NA	[24], 540, [12], 468 s.	8
NA	[4], 19, [1] s.	8
NA	386 s.	7
NA	316 s.	7
NA	450 s.	7
NA	468 s.	7
NA	347 s.	7
NA	376 s.	7
NA	436 s.	7
NA	[19] s.	7
NA	151, [1] s.	7
NA	[2], 16, [2] s.	7
NA	432 s.	7
NA	[4], 75 s.	7
NA	342 s.	7
NA	372 s.	7
NA	[66] s.	7
NA	141, [1] s.	7
NA	46, [2] s.	7
NA	41, [1] s.	7
NA	94, [2] s.	7
NA	[4], 99 s.	7
NA	112, [1] s.	7
NA	[4], 147 s.	7
NA	174, [1] s.	7
NA	[4], 66 s.	7
NA	334 s.	7
NA	43, [1] s.	7
NA	378 s.	7
NA	[8], 122 s.	7
NA	325 s.	7
NA	326 s.	7
NA	[8] s. (s. [2] ja [8] tyhjät)	7
NA	[8-?] s.	7
NA	[2], [1] 2-15 [16] s.	7
NA	[2], [1] 2-13 [14] s.	7
NA	[4], 93 s.	7
NA	[2], 80 s.	7
NA	[4], 74 s.	7
NA	329 s.	7
NA	321 s.	7
NA	[82] s.	7
NA	283 s.	7
NA	277 s.	7
NA	[4], 64 s.	7
NA	568 s.	7
NA	[2], 96 s.	7
NA	359 s.	7
NA	[2], [1] 2-34 s.	7
NA	[4], 101 s.	7
NA	110, [2] s.	7
NA	[1-3] 4-36 s.	7
NA	[2], 21, [1] s.	7
NA	[4], 76 s.	7
NA	[2], 17 s.	7
NA	[4], 87 s.	7
NA	126, [2] s.	7
NA	[4], 129 s.	7
NA	[2], 42 s.	7
NA	[4], 73 s.	7
NA	[4], 116 s.	7
NA	[4], 88 s.	7
NA	[4], 136 s.	7
NA	[4], 34 s.	7
NA	[4], 86 s.	7
NA	[4], 148 s.	7
NA	6, [2] s.	7
NA	[4], 104 s.	7
NA	[6], 24 s.	7
NA	14, [2] s.	7
NA	[4], 94 s.	7
NA	[4], 26 s.	7
NA	117, [1] s.	7
NA	60, [1] s.	7
NA	92, [1] s.	7
NA	[6], 17, [1] s.	7
NA	[1-3] 4-96 s.	7
NA	[8?] s.	7
NA	[6], 34 s.	7
NA	[1-3] 4-26 s.	7
NA	[1-3] 4-56 s.	7
NA	[?] lehteä	7
NA	[4] s. (s. [4] tyhjä) ; 4:o.	7
NA	[4], [1] 2-28 s.	7
NA	[34], 577, [15], 332 s.	7
NA	[6], 16 s.	7
NA	383 s.	6
NA	310 s.	6
NA	367 s.	6
NA	374 s.	6
NA	532 s.	6
NA	452 s.	6
NA	[1], 16 s.	6
NA	[2], 29, [1] s.	6
NA	66, [1] s.	6
NA	84, [4] s.	6
NA	26, [2] s.	6
NA	137, [1] s.	6
NA	[4], 131 s.	6
NA	[4], 126 s.	6
NA	314 s.	6
NA	[2], 118 s.	6
NA	339 s.	6
NA	387 s.	6
NA	[1] lehti.	6
NA	64, [2] s.	6
NA	331 s.	6
NA	394 s.	6
NA	22, [2] s.	6
NA	[4], 169 s.	6
NA	166, [1] s.	6
NA	14 lehteä	6
NA	313 s.	6
NA	509 s.	6
NA	447 s.	6
NA	[2], 116 s.	6
NA	[4], 119 s.	6
NA	[4], 110 s.	6
NA	482 s.	6
NA	510 s.	6
NA	333 s.	6
NA	500 s.	6
NA	503 s.	6
NA	257 s.	6
NA	305 s.	6
NA	[2], 53 s.	6
NA	[6] s. (s. [2] tyhjä)	6
NA	417 s.	6
NA	[2], [1] 2-17 [18] s.	6
NA	[2], [1] 2-23 [24] s.	6
NA	[4], 142 s.	6
NA	357 s.	6
NA	28 s., 1 karta	6
NA	[4], 214 s.	6
NA	[2], 33 s.	6
NA	[2], 67 s.	6
NA	[2], 128 s.	6
NA	218, [1] s.	6
NA	[4], 97 s.	6
NA	8 lehteä.	6
NA	138, [1] s.	6
NA	6 s., 6 kuvaa	6
NA	[1-3] 4-34 s.	6
NA	[4], 123 s.	6
NA	330 s.	6
NA	544 s.	6
NA	445 s.	6
NA	11 s., 4 s. kuvia	6
NA	[1-3] 4-31 [32] s. (s. [32] tyhjä)	6
NA	[1-3] 4-10 s.	6
NA	7  s.	6
NA	[2], [1] 2-21 [22] s.	6
NA	[2] s., s. 33-40	6
NA	[2] s., s. 25-32	6
NA	[2], 31, [1] s.	6
NA	[4], 120 s.	6
NA	[4], 82 s.	6
NA	[4], 264 s.	6
NA	[4], 91 s.	6
NA	[4], 58 s.	6
NA	[4], 156 s.	6
NA	[4], 100 s.	6
NA	[4], 85 s.	6
NA	[4], 200 s.	6
NA	[4], 95 s.	6
NA	[2], 31 s.	6
NA	214, [1] s.	6
NA	[2], 88 s.	6
NA	[4], 49 s.	6
NA	[2], 35 s.	6
NA	44, [1] s.	6
NA	[8], 192 s.	6
NA	[4], 168 s.	6
NA	[2], 52 s.	6
NA	124, [1] s.	6
NA	36, [1] s.	6
NA	[2], 44 s.	6
NA	[2], 51 s.	6
NA	120, [1] s.	6
NA	135, [1] s.	6
NA	78, [2] s.	6
NA	[6], 50 s.	6
NA	271, [1] s.	6
NA	104, [1] s.	6
NA	173, [1] s.	6
NA	107, [1] s.	6
NA	61, [3] s.	6
NA	101, [1] s.	6
NA	3, [1] s.	6
NA	[2 s.].	6
NA	115, [1] s.	6
NA	153, [1] s.	6
NA	175, [1] s.	6
NA	156, [1] s.	6
NA	132, [1] s.	6
NA	74, [1] s.	6
NA	[4], 21, [3] s.	6
NA	[8], 30, [2] s.	6
NA	[20] s. (s. [2] tyhjä)	6
NA	[36] s. (s. [36] tyhjä)	6
NA	[1] 2-12 s.	6
NA	[2] lehteä	6
NA	[1-3] 4-11 [12] s. (s. [12] tyhjä)	6
NA	[8], 22, [2] s.	6
NA	[28] s. (s. [28] tyhjä)	6
NA	[4], [1] 2-36 s.	6
NA	[24] s. (s. [24] tyhjä)	6
NA	[6], [1] 2-24 s.	6
NA	[6] s. (s. [6] tyhjä)	6
NA	[68] s.	6
NA	[1] lehti (verso tyhjä?)	6
NA	[42], [1] 2-103 [104-114] s.	6
NA	[1-2] 3-176 [177-180] s.	6
NA	440 s.	5
NA	444 s.	5
NA	412 s.	5
NA	426 s.	5
NA	442 s.	5
NA	576 s.	5
NA	516 s.	5
NA	1 kartta neljällä lehdellä	5
NA	VIII, 128 s.	5
NA	185, [1] s.	5
NA	2 karttaa yhdellä lehdellä	5
NA	86, [1] s.	5
NA	317 s.	5
NA	351 s.	5
NA	[2], 55 s.	5
NA	191, [1] s.	5
NA	[4], 107 s.	5
NA	6  s.	5
NA	134, [1] s.	5
NA	97, [1] s.	5
NA	[4], 140 s.	5
NA	[2], 64 s.	5
NA	285 s.	5
NA	212, [1] s.	5
NA	183, [1] s.	5
NA	474 s.	5
NA	297 s.	5
NA	395 s.	5
NA	476 s.	5
NA	456 s.	5
NA	434 s.	5
NA	371 s.	5
NA	267 s.	5
NA	[2] s., s. 81-96	5
NA	594 s.	5
NA	[4], 121 s.	5
NA	422 s.	5
NA	[2], 81 s.	5
NA	[2], 37 s.	5
NA	[2], 41 s.	5
NA	[4], 199 s.	5
NA	[144] s.	5
NA	[50] s.	5
NA	418 s.	5
NA	427 s.	5
NA	848 s.	5
NA	[2], 192 s.	5
NA	[4], [1] 2-40 s.	5
NA	[1-5] 6-40 s.	5
NA	[1-5] 6-36 s.	5
NA	S. 1-128.	5
NA	490 s.	5
NA	75, [1] s.	5
NA	[1-3] 4-18 s.	5
NA	[4], 105 s.	5
NA	16, [1] s.	5
NA	[6], 66 s.	5
NA	[1-3] 4-78 s.	5
NA	[1-3] 4-15 [16] s. (s. [16] tyhjä)	5
NA	[4], [1] 2-18 s.	5
NA	[2], [1] 2-32 s.	5
NA	[2] s., s. 41-48	5
NA	[1-3] 4-14 s.	5
NA	[4], 42 s.	5
NA	[4], 115 s.	5
NA	[2], 17, [1] s.	5
NA	[4], 55 s.	5
NA	108, [1] s.	5
NA	[2], 112 s.	5
NA	[6], 101 s.	5
NA	[4], 138 s.	5
NA	[2], 79 s.	5
NA	[4], 89 s.	5
NA	VIII, 69 s.	5
NA	[4], 143 s.	5
NA	[4], 57 s.	5
NA	[4], 35 s.	5
NA	VIII, 162 s.	5
NA	[4], 139 s.	5
NA	73, [1] s.	5
NA	[4], 30 s.	5
NA	[4], 39 s.	5
NA	[4], 170 s.	5
NA	[6], 121 s.	5
NA	[2], 102 s.	5
NA	[2], 99 s.	5
NA	[4], 244 s.	5
NA	49, [1] s.	5
NA	[2], 86 s.	5
NA	[2], 27 s.	5
NA	90, [2] s.	5
NA	[4], 63 s.	5
NA	[2], 126 s.	5
NA	125, [2] s.	5
NA	[4], 196 s.	5
NA	[6], 32 s.	5
NA	147, [1] s.	5
NA	66, [2] s.	5
NA	142, [1] s.	5
NA	[8], 160 s.	5
NA	[13] s.	5
NA	81, [1] s.	5
NA	33, [1] s.	5
NA	[4], 240 s.	5
NA	IV, 152 s.	5
NA	[10 s.]	5
NA	[4], 158 s.	5
NA	154, [1] s.	5
NA	[2], 29 s.	5
NA	26, [1] s.	5
NA	52, [1] s.	5
NA	[4], 185 s.	5
NA	18, [1] s.	5
NA	10, [1] s.	5
NA	67, [1] s.	5
NA	145, [1] s.	5
NA	100, [1] s.	5
NA	88, [1] s.	5
NA	171, [1] s.	5
NA	[12 s.].	5
NA	266, [1] s.	5
NA	148, [1] s.	5
NA	163, [1] s.	5
NA	116, [1] s.	5
NA	[88] s.	5
NA	131, [1] s.	5
NA	[8], 51, [5] s.	5
NA	[4], 17, [1] s.	5
NA	[4], 26, [2] s.	5
NA	[12] s. (s. [2] tyhjä)	5
NA	[1-3] 4-30 s.	5
NA	[4], [1] 2-12 s.	5
NA	[6], 20, [2] s.	5
NA	[28] s. (s. [2] tyhjä)	5
NA	[8], 20, [4] s.	5
NA	[16?] s.	5
NA	[8], 27, [1] s.	5
NA	[6], 16, [2] s.	5
NA	[1-3] 4-23 [24] s. (s. [24] tyhjä)	5
NA	[1-2] 3-14 s.	5
NA	[8], 35, [1] s.	5
NA	[1-2] 3-28 s.	5
NA	[1-2] 3-18 s.	5
NA	[8], 36, [4] s.	5
NA	16, [2] s.	4
NA	536 s.	4
NA	428 s.	4
NA	429 s.	4
NA	353 s.	4
NA	[1], 25 s.	4
NA	591 s.	4
NA	158, [2] s.	4
NA	113, [2] s.	4
NA	[4], 59 s.	4
NA	[4], 216 s.	4
NA	[2], 66 s.	4
NA	495 s.	4
NA	VIII, 406 s.	4
NA	491 s.	4
NA	464 s.	4
NA	187, [1] s.	4
NA	393 s.	4
NA	99, [3] s.	4
NA	19, [2] s.	4
NA	82, [2] s.	4
