"";"x"
"1";"Kööpenhamina"
"2";"Köbenhavn"
"3";"Copenhagen"
"4";"Kjöbenhavn"
"5";"Kobenhavn"
"6";"Kjøbenhavn"
"7";"København"
"8";"Køpenhavn"
"9";"Kjobenhavn"
"10";"Kiobenhavn"
"11";"Kiøbenhavn"
