"","x"
"1","Strängnäs"
"2","Stregnesij"
"3","Strengnesiae"
"4","strängnäs"
"5","strengnesiae"
"6","strengnäs"
"7","stregnesiae"
"8","strengnäss"
"9","stregnesij"
"10","strengnäsis"
"11","strängnäsis"
"12","strengnes"
