publisher	self_published	Count
Osuuskunta Wäinämöinen	FALSE	  38
Akateeminen kirjakauppa	FALSE	  38
Alfred Lagerbom	FALSE	  38
Boman & Coarlsson	FALSE	  37
Curio, Henric	FALSE	  37
G.W. Edlundin Kustannus	FALSE	  36
Edlundska Bokhandeln, jakaja	FALSE	  35
Geologiska kommissionen	FALSE	  35
Clouberg ja K	FALSE	  35
Reusner, Christopher	FALSE	  35
Simelius	FALSE	  34
Emil Hagelberg	FALSE	  34
Öfverstyrelsen för landtmäteriet	NA	  33
Hagelstams förlagsaktiebolaget	FALSE	  33
Pelastusarmeijan päämaja	FALSE	  33
Hämäläinen	FALSE	  33
Osuuskunta Kehitys	FALSE	  33
Holmberg, Johan Christopher	FALSE	  33
C.W. Gyldén	FALSE	  32
Granlund	FALSE	  32
GEJ	FALSE	  32
Pekka Brofeldt 	FALSE	  32
Suomen metsänhoitoyhdistys Tapio	FALSE	  32
Stolpe, Carl	FALSE	  32
Stolpe	FALSE	  31
Naisasialiitto Unioni	FALSE	  31
Société néophilologique	FALSE	  31
Päivälehden kustannus	FALSE	  31
Työväen kustannus	FALSE	  31
Nordström, Anders Jacobsson	FALSE	  31
Juteini, Jaakko (1781-1855)	 TRUE	  30
Rauhan sanomat	FALSE	  30
Suomen metsänhoitoyhdistys	FALSE	  30
Suomen kalastusyhdistys	FALSE	  30
Matthias Syngmans enckia	FALSE	  30
Finska fornminnesföreningen	FALSE	  29
G.M. Giesckes förlag	FALSE	  29
Suomen kylvösiemenyhdistys	FALSE	  29
Pellervo-seura	FALSE	  29
Hämeen sanomain Kirjapaino	FALSE	  29
Tilgmann	FALSE	  29
Wasenius	FALSE	  29
Pečatan' pri Admiraltejskoj Kollegïi v' Tipografïi morskago šlâhetnago kadetskago Korpusa	FALSE	  29
Olan	FALSE	  28
Nykterhetens Vänner	FALSE	  28
A. Lundström	FALSE	  28
Finska Vetenskaps-Societeten	FALSE	  28
NA	 TRUE	  28
Lindstedt'in antikvaarinen kirjakauppa	FALSE	  28
Suomalainen puolue	FALSE	  28
Wahlström & Widstrand	FALSE	  28
Suom. sos. Kustannus 	FALSE	  28
G.E. Euren	FALSE	  28
J.C. Frenckell & Son	FALSE	  28
Emil Vainio	FALSE	  28
Edman, Johan Fredrik	FALSE	  28
Finsk qvinnoförening	FALSE	  27
Gyldendalske Boghandel Nordisk Förlag	FALSE	  27
Statens kommission för huslig ekonomi	FALSE	  27
M.V. Vuolukka	FALSE	  27
Nuorten miesten kristillinen yhdistys	FALSE	  27
Suomen Eläinsuojelusyhdistys	FALSE	  27
Minerva 	FALSE	  27
Evankelinen kustannusliike	FALSE	  27
Hesselberg, Peter	FALSE	  27
Höjer, Johan	FALSE	  27
Luth. Evangeliska-föreningen	FALSE	  26
Suomen muinaismuisto-yhdistys	FALSE	  26
Jyväskylän kustannusliike	FALSE	  26
C.J. Bergström	FALSE	  26
Valtion kotitaloustoimikunta	FALSE	  26
J.F. Granlund	FALSE	  26
G.W. Edlund	FALSE	  26
Lange, Johan Georg II	FALSE	  26
Etelä-Savon kustannus	FALSE	  25
KS. kp	FALSE	  25
Landtbruksstyrelsen	FALSE	  24
Suomen Keisarillinen Aleksanterin yliopisto	FALSE	  24
Suomen kirkkohistoriallinen seura	FALSE	  24
Suomen Matkailijayhdistys	FALSE	  24
Chr. Evangeliska Barck	FALSE	  24
Lindh, Johan Peter	FALSE	  24
Grefing, Lorentz Ludvig	FALSE	  24
C.G. Clouberg	FALSE	  23
Lillja	FALSE	  23
Hufvudstadsblad'in Kirjapaino	FALSE	  23
Uudenmaan Eläinsuojeluyhdistys	FALSE	  23
Pyhän Sergein ja Hermanin veljeyskunta	FALSE	  23
Finsk militär tidskrift	FALSE	  23
Helsingfors-Posten	FALSE	  23
Lindstedts antiqvariska bokhandel	FALSE	  23
Pohjalaisen kp	FALSE	  23
Zilliacus Tryckeri	FALSE	  23
Maanmittaushallitus	FALSE	  23
Andersin	FALSE	  23
Pyh. Sergein ja Hermanin veljeyskunta	FALSE	  23
J.W. Lillja	FALSE	  23
Finska LitteratursällskapetTryckeri	FALSE	  23
Karjalan kp.	FALSE	  23
Gutterwitz, Andreas	FALSE	  23
Kivekäs	FALSE	  22
Luth. Evankeliumi-yhdistys	FALSE	  22
K.F. Kivekäs	FALSE	  22
Nylands nation	FALSE	  22
Finska Sjömansmissionssällskapet	FALSE	  22
Pyhäkouluyhdistys	FALSE	  22
Tuberkulosin vastustamisyhdistys	FALSE	  22
Sanoma	FALSE	  22
Keyser, Henric I	FALSE	  22
Bergbom	FALSE	  21
Tampereen Kirjapaino-osake	FALSE	  21
Bergdahl	FALSE	  21
Folkupplysningssällkapet	FALSE	  21
G.L. Söderström	FALSE	  21
Helsingfors universitet	FALSE	  21
Kansainvälinen raamatuntutkijain seura	FALSE	  21
Suomen sos.-dem. nuorisoliitto	FALSE	  21
Helsingin nuorten miesten kristillinen yhdistys	FALSE	  21
Ruotsi	NA	  20
Deleen, Carl	FALSE	  20
Oulun Kirjapaino-osake	FALSE	  20
Luth. Evankeliumi	FALSE	  20
J. Länkeläs förlag	FALSE	  20
P.R. Wiitanen	FALSE	  20
Uususkonnollinen kustannusliike	FALSE	  20
Työmies Kustannus	FALSE	  20
Englannin ja ulkomaan bibliaseura	NA	  20
Teollisuushallitus	FALSE	  20
Lindeberg	FALSE	  19
Wesander	FALSE	  19
F. Tilgmanns förlag	FALSE	  19
Hagelstams bokhandel 	FALSE	  19
Suomen luotsi- ja majakkalaitoksen ylihallitus	FALSE	  19
W. Bensow	FALSE	  19
Suomalaisen puolueen kanslia	FALSE	  19
Luukkonen ja Kumpp	FALSE	  19
Finska Statsjärnvägarna	FALSE	  19
Försäkringsaktiebolaget Kaleva	FALSE	  19
Suomen matkailijayhdistys	NA	  19
Finska pappersindustriidkarenes förbund	FALSE	  19
H. Nurhonen	FALSE	  19
Osmo	FALSE	  19
Centraltryckeriet	FALSE	  19
Raivaajan Kirjapaino	FALSE	  19
Urheilijain Kustannus	FALSE	  19
Jyväskylän kaupunki	NA	  19
Wall, Lars Hansson	FALSE	  19
Medelplan, Daniel	FALSE	  19
Ziervogel, Evald	FALSE	  19
Suomen historiallinen seura	FALSE	  18
Finska vetenskapsspcieteten	FALSE	  18
Huvudstadsbladet	FALSE	  18
Duncker & Humblot	FALSE	  18
Waseniuska Bokhandeln, jakaja	FALSE	  18
Sos.-dem. eduskuntaryhmä	FALSE	  18
Finlands Utsädesförening	FALSE	  18
Karjalan kirjakauppa- ja kustannusliike	FALSE	  18
Edlundin kirjakauppa	FALSE	  18
Väinämöisen kirjakauppa	FALSE	  18
Norstedt & söner	FALSE	  18
Föreningen för arbetareskydd & socialförsäkring i Finland	FALSE	  18
Satakunnan kp	FALSE	  18
Suomen suoviljelysyhdistys	FALSE	  18
Tietosanakirja	FALSE	  18
Suomen säästöpankkiyhdistys	FALSE	  18
Suomen N. M. K. Y. ja N. K. Y. liitto	FALSE	  18
Suomen ammattijärjestö	FALSE	  18
Sosialistin Kirjapaino-osuuskunta	FALSE	  18
G.O. Wasenius	FALSE	  18
Sylviayhdistys	FALSE	  18
Höjer, Lorentz Magnus	FALSE	  18
Brendeken, Christoph	FALSE	  18
Iversen, Martin Christoph	FALSE	  18
Wennberg och Nordström	FALSE	  18
Société néophilogique de Helsinki	FALSE	  17
Valo	FALSE	  17
Helsingin kaupunki	NA	  17
Kansallismielinen nuorisoliitto	FALSE	  17
Uotinen, Mikko	 TRUE	  17
Savon työväen sanomalehti-osuuskunta	FALSE	  17
Suomen osuuskauppojen keskusosuuskunta	FALSE	  17
Duodecim-seura	FALSE	  17
Työkansan Kustannus	FALSE	  17
Tanner, A F	 TRUE	  17
Tampereen kustannus	FALSE	  17
Almqvist & Wiksell 	FALSE	  17
Suomalais-luterilainen Kustannusliike	FALSE	  17
Lääkintöhallitus	FALSE	  17
Suomen muinaismuistoyhdistys	FALSE	  17
Laurentsson, Amund	FALSE	  17
Zetterberg, Anders	FALSE	  17
Lindgren	FALSE	  16
