Geography|Documents
Kalmari|2
Kallavesi|2
Käkisalmen lääni|2
Kajaanin lääni|2
Juva|2
Jurva|2
Jääski|2
Jaakkima|2
Itä-Intia|2
Iso-Britannia|2
Iniö|2
Husby|2
Hinnerjoki|2
Hankoniemi|2
Hämeenkyrö|2
Hailuoto|2
Göteborgin lääni|2
Enköping|2
Englanti|2
Elfsborg|2
Degerby|2
Bergö|2
Bergkvara|2
Australia|2
Arboga|2
Anjala|2
Amerikka|2
Alastaro|2
Alankomaat|2
Akaa|2
Ähtävä|2
Aasia|2
Ylivieska|1
Ylihärmä|1
Ylhäinen|1
Yläne|1
Vuoksi|1
vuokraus|1
Virmasvesi|1
Vilna|1
Viljakkala|1
Viipurin ja Savonlinnan lääni|1
Veteli|1
Vesternorrland|1
Växjö|1
Valamo|1
Vahto|1
Vadstena|1
Vaasan saaristo|1
Uplanti|1
Unnukka|1
Ulvetorp|1
Turun tuomiokunta|1
Tuomarinkylä|1
Tukholman saaristo|1
Tottijärvi|1
Toholampi|1
Tilasvuori|1
Thorgstuna|1
Tervola|1
Terijoki|1
Tammisaaren maalaiskunta|1
Taivassalo|1
Sveitsi|1
Svartholma|1
Suonenjoki|1
Suomussalmi|1
Suojärvi|1
Sundsvall|1
Strengnäs|1
Sotkamo|1
Somerniemi|1
Söderala|1
Snappertuna|1
Smoolanti|1
Skeplanda|1
Skellefteå|1
Skania|1
Skaftung|1
Själö|1
Själevad|1
Sisilia|1
Siperia|1
Siikainen|1
Sievi|1
Siestarjoki|1
Seiskari|1
Seinäjoki|1
Savonranta|1
Savonlinnan ja Kymenkartanon lääni|1
Savon lääni|1
Saloinen|1
Sälgrundet|1
Sääksmäki|1
Rusko|1
Ruotsalainen|1
Ruokolahti|1
Rovaniemi|1
Rooma|1
Ritvala|1
Ristiina|1
Riianlahti|1
Revonlahti|1
Rautjärvi|1
Rautio|1
Raunistula|1
Rauman maalaiskunta|1
Raaseporin kihlakunta|1
Raasepori|1
Rääkkylä|1
Pyhäselkä|1
Pyhäjärvi Vpl.|1
Pyhäjärvi Vpl|1
Pyhäjärvi Ul.|1
Pyhäjärvi|1
Puula|1
Punkalaidun|1
Punainenmeri|1
Pulkkila|1
Pöytyä|1
Pomarkku|1
Piteå|1
pikkuviha|1
Piikkiö|1
Pielisjärvi|1
Pielinen|1
Pielavesi|1
Pieksämäki|1
Pieksämäen maalaiskunta|1
Pertteli|1
Perho|1
Pennsylvania|1
Pattijoki|1
Pariisi|1
Palestiina|1
Paimio|1
Päijänne|1
Paattinen|1
Oulunsalo|1
Oulainen|1
Osnabrück|1
Oslo|1
Oripää|1
Orijärvi|1
Öresund|1
Öregrund|1
Oravainen|1
Olonetsin kuvernementti|1
Olavinlinna|1
Nyhamn|1
Nyen|1
Nya Sverige|1
Nurmes|1
Nuijamaa|1
Norrköping|1
Nivala|1
Nilakka|1
Niinivesi|1
Nevanlinna|1
Neva (joki|1
narva|1
Muurla|1
Munsala|1
Mouhijärvi|1
Mietoinen|1
Metsämaa (kunta)|1
Mecklenburg|1
Maskun kihlakunta|1
Mänttä|1
Malmöhus|1
Luoto|1
Lund|1
Lumijoki|1
Loimaan kihlakunta|1
Lohjan maalaiskunta|1
Lohjan kihlakunta|1
Liettua|1
Lieto|1
