original	polished	Count
[H. C. Merckell]	h c merckell	48
Gosudarstvennaâ tipografìâ	gosudarstvennaâ tipografìâ	47
Folkupplysningssällskapet	folkupplysningssällskapet	47
Suomen Naisyhdistys	suomen naisyhdistys	46
Lähetyskirjakauppa	lähetyskirjakauppa	46
U. W. Telén	u w telén	46
K. Malmström	k malmström	46
Sällskapet Pellervo	sällskapet pellervo	45
Tidn.- & tryckeriaktiebol.	tidn tryckeriaktiebol	45
[J. Wall]	wall	45
tryckt af Georg Wilhelm Londicer	georg wilhelm londicer	44
prändätty directeurildä ja cuning:da kirjan-präntäjäldä suuresa-ruhtinan-maasa Suuomesa, Jacob Merckellildä	directeurildä cuning da kirjan präntäjäldä suuresa ruhtinan maasa suuomesa jacob merckellildä	44
impressa apud viduam Reg. Acad. typ. J. C. Frenckell	apud reg acad typ c frenckell	43
Sederholm	sederholm	42
Toivonen	toivonen	42
Kaleva	kaleva	42
Työmiehen kustannusyhtiö	työmiehen kustannusyhtiö	41
Palander	palander	41
[Vårt Land]	vårt land	41
imprimebat Petrus Wald, Acad. typog	petrus wald acad typog	41
Nykterhetens vänner	nykterhetens vänner	40
tryckt hos Lars Salvius	lars salvius	40
prändätty Johan Christopher Frenckellildä	johan christopher frenckellildä	40
Finsk-ugriska sällskapet	finsk ugriska sällskapet	39
OWB	owb	39
Finskugriska sällskapet	finskugriska sällskapet	39
excud. Joh. Kiaempe, Reg. Acad. typ.	joh kiaempe reg acad typ	39
N. M. Lindh	n m lindh	38
Albert Bonnier	albert bonnier	38
literis Wernerianis	literis wernerianis	38
excud. Joh. Kaempe, Reg. Acad. typ.	joh kaempe reg acad typ	38
Boman & Karlsson	boman karlsson	37
Wickström	wickström	37
Kansan lehti	kansan lehti	37
excud. Joh. Kiaempe, Reg. Acad. typogr.	joh kiaempe reg acad typogr	37
excudebat Petrus Wald Acad. typogr.	petrus wald acad typogr	37
tryckt hos directeuren och kongl. boktr. i stor-förstendömet Finland, Jacob Merckell	directeuren kongl boktr i stor förstendömet finland jacob merckell	37
Lillja :;Wilén	lillja wilén	36
Wentzel Hagelstam	wentzel hagelstam	36
Maanviljelyshallitus	maanviljelyshallitus	36
prändätty Cuning:sesa suomalaisesa präntisä	cuning sesa suomalaisesa präntisä	36
prändätty, directeurildä ja cuningalliselda kirjan präntäjäldä, Jacob Merckellildä	directeurildä cuningalliselda kirjan präntäjäldä jacob merckellildä	36
Geologiska kommissionen	geologiska kommissionen	35
[Johan Christofer Frenckell II]	johan christofer frenckell ii	34
af Iohan Winter, kongl. booktr.	iohan winter kongl booktr	34
Simelius	simelius	33
Sortavalan evankelinen seura	sortavalan evankelinen seura	33
Alfred Lagerbom	alfred lagerbom	33
Osuuskunta Kehitys	osuuskunta kehitys	33
Suomen maanviljelystaloudellinen koelaitos	suomen maanviljelystaloudellinen koelaitos	33
impr. apud Joh. L. Wallium, A. t.	apud joh l wallium t	33
excud. Joh. Kiaempe, Reg. Ac. typ.	joh kiaempe reg ac typ	33
imprimebat Petrus Wald, Acad. typogr.	petrus wald acad typogr	33
exc. Joh. Kiämpe, R. Ac. typ.	joh kiämpe r ac typ	33
tryckt hos direct. Lars Salvius	lars salvius	33
prändätty Georg Wilhelm Londicerildä	georg wilhelm londicerildä	33
[Öfverstyrelsen för landtmäteriet]	öfverstyrelsen för landtmäteriet	32
[C. W. Gyldén]	c w gyldén	32
Aschan	aschan	32
Suomen naisyhdistys	suomen naisyhdistys	32
Pelastusarmeijan päämaja	pelastusarmeijan päämaja	32
Finlands Svenska Nykterhetsförbund	finlands svenska nykterhetsförbund	32
Edlundska Bokhandeln, jakaja	edlundska bokhandeln jakaja	32
[Svenska litteratursällskapet i Finland]	svenska litteratursällskapet i finland	31
Svenska folkskolans vänner	svenska folkskolans vänner	31
Suomen historiallinen seura	suomen historiallinen seura	31
GEJ	gej	31
Société néophilologique	société néophilologique	31
tryckt hos direct. och kongl. boktr. i stor-förstendömet Finland, Jacob Merckell	kongl boktr i stor förstendömet finland jacob merckell	31
prändätty Kuningallisesa suomalaisesa prändisä	kuningallisesa suomalaisesa prändisä	31
excusa â Petro Hansonio Acad. typogr.	â petro hansonio acad typogr	30
excudebat Petrus Hansonius Acad. typ.	petrus hansonius acad typ	30
Söderström & C:o	söderström c o	29
Tilgmann	tilgmann	29
typis Edmannianis	edmannianis	29
tryckt hos Joh. C. Frenckell	joh c frenckell	29
[Londicer]	londicer	29
imprimebat Petrus Wald, Acad. typ.	petrus wald acad typ	29
Pečatan' pri Admiraltejskoj Kollegïi v' Tipografïi morskago šlâhetnago kadetskago Korpusa	pečatan' pri admiraltejskoj kollegïi v' tipografïi morskago šlâhetnago kadetskago korpusa	29
tryckt hos directeuren och kongl. boktryckaren i stor-förstendömet Finland, Jacob Merckell	directeuren kongl boktryckaren i stor förstendömet finland jacob merckell	29
Hagelstam	hagelstam	28
Naisasialiitto Unioni	naisasialiitto unioni	28
Akateeminen kirjakauppa	akateeminen kirjakauppa	28
P. A. Norstedt & söner	p norstedt söner	28
G. M. Giescke	m giescke	28
Suom.-amer. kustannusyhtiö	suom amer kustannusyhtiö	28
[Anders Björkman]	anders björkman	28
P. Momma	p momma	28
ex officina typographica Frenckelliana	ex officina typographica frenckelliana	27
präntätty Kuning:sesa suomalaisesa präntisä, direktörin Johan A. Carlbohmin tykönä	kuning sesa suomalaisesa präntisä direktörin johan carlbohmin tykönä	27
Olan	olan	27
Suomen kalastusyhdistys	suomen kalastusyhdistys	27
prändätty Joh. Christoph. Frenckellildä	joh christoph frenckellildä	27
Emil Vainio	emil vainio	27
