original	polished	Count
Zürich	Germany	7
Copenhague	Denmark	7
Tübingen	Germany	7
Roma	Italy	7
Astoria (Ore.)	USA	7
Mikkelissä	Finland	7
Porissa	Finland	7
Firenze	Italy	7
Norrköping	Sweden	7
Lübeck	Germany	7
[Wiipuri]	Russia	7
Stokkholmisa	Sweden	7
Arosiae	Sweden	7
Wiesbaden	Germany	7
Eura	Finland	7
A Amsterdam	Netherlands	7
[Nürnberg]	Germany	7
I Stockholm	Sweden	7
Impr. Aboae	Finland	7
Upsalis	Sweden	7
[Rostochii]	Germany	7
Gryphiswaldiae	Germany	7
[Helsingissä]	Finland	6
Hernösand	Sweden	6
Haparanda	Finland	6
[Waasa]	Finland	6
New York Mills (Minn.)	USA	6
St.-Pétersbourg	Russia	6
Warszawa	Poland	6
Petrograd	Russia	6
Ishpeming (Mich.)	USA	6
[Uppsala]	Sweden	6
[Jyväskylässä]	Finland	6
Sortawala	Russia	6
Worcester (Mass.)	USA	6
Westerås	Sweden	6
Raumo	Finland	6
Brooklyn, N.Y.	USA	6
Bonn	Germany	6
Ísafjördur	Iceland	6
Norimbergae	Germany	6
Lincopiae	Sweden	6
[Ubsaliae]	Sweden	6
Tryckt j Stockholm	Sweden	6
Stokholmiae	Sweden	6
[Dorpat?]	Estonia	6
Milano	Italy	5
Jämsä	Finland	5
[Gel'singfors']	Finland	5
Sortavalassa	Russia	5
Fitchburg, Massachusetts	USA	5
Raumalla	Finland	5
Tallinnas	Estonia	5
Christiania	Norway	5
S:t Petersburg	Russia	5
Odense	Denmark	5
Amsterdam	Netherlands	5
Cambridge	England	5
Almena (Wis.)	USA	5
Halle	Germany	5
[Lund]	Sweden	5
[St. Petersburg]	Russia	5
Rostock	Germany	5
Bergen	Norway	5
Quincy (Mass.)	USA	5
Wilno	Lithuania	5
Lundae	Sweden	5
Sortavola	Russia	5
Nikolainkaupungissa	Finland	5
[Tukholma?]	Sweden	5
Calumet, (Mich.)	USA	5
Bern	Switzerland	5
[Hancock (Mich.)]	USA	5
Haapajärvi	Finland	5
[Augsburg]	Germany	5
Wästerås	Sweden	5
Lvgdvni Batavorvm	Netherlands	5
Rigae	Latvia	5
[Tryckt i Åbo]	Finland	5
Impressa Aboae	Finland	5
[Stockholmis]	Sweden	5
Gedruckt zu Abo	Finland	5
Pernau	Finland	5
[Stockholm?]	Sweden	5
Upsalae	Sweden	5
I Åpo	Finland	5
Tryckt i Wasa	Finland	5
Stockholm, Upsala och Åbo	Sweden	5
[Tammerfors]	Finland	4
Seinäjoki	Finland	4
Rovaniemi	Finland	4
Kaskinen	Finland	4
Odessa	Ukraine	4
[Budapest]	Hungary	4
Gotha	Germany	4
Te Haarlem	Netherlands	4
Jönköping	Sweden	4
