catalog	author	short_title	title	dissertation	publication_place	publication_year
Kungliga	NA	suomen ruotsin wenäjän ja saksan 	Suomen, ruotsin, wenäjän ja saksan kielinen sanakirja =	FALSE	Vyborg	1890
Kungliga	NA	suomen ruotsin wenäjän ja saksan 	Suomen, ruotsin, wenäjän ja saksan kielinen sanakirja	FALSE	Vyborg	1890
Kungliga	Heine, H	käsikirja soitannosta ja soittokoneista eritääin 	Käsikirja soitannosta ja soittokoneista eritääin urkujen hoidosta, virittämisetä ja tarkastamisesta ynnä histooriallis-systemaatillinen luettelo urkulaitoksista Suomessa	FALSE	Vyborg	1892
Kungliga	Selander, Edvard (1846-1931)	något om irrationella tal	Något om irrationella tal	FALSE	Vyborg	1895
Kungliga	NA	berättelse afgifven af drätselkammaren i 	Berättelse afgifven af Drätselkammaren i Wiborgs stad för åren .	FALSE	Vyborg	1896
Kungliga	NA	finlands veterinärförfattningar	Finlands veterinär-författningar	FALSE	Vyborg	1896
Kungliga	Sandman, Gustaf L	svenskfinsk och finsksvensk nautisk ordbok	Svensk-finsk och finsk-svensk nautisk ordbok	FALSE	Vyborg	1899
Kungliga	Nylander, Bruno (1874-1936)	blommor och ogräs	Blommor och ogräs	FALSE	Vyborg	1900
Kungliga	Schvindt, Fr Edrik M Aximilian	elementar lärobok i ryska språket 	Elementar lärobok i ryska språket för navigationsskolor jämte svensk-rysk ordförteckning	FALSE	Vyborg	1903
Kungliga	Ruuth, Martti Juhana	abraham achrenius	Abraham Achrenius	FALSE	Vyborg	1904
Kungliga	NA	sammanställning af arbetsbostads undersökningen i 	Sammanställning af arbetsbostads undersökningen i Viborg år 1901	FALSE	Vyborg	1904
Kungliga	Gråsten, Ernst	aulus agerius värtsilä eller joensuu	Aulus Agerius: Värtsilä eller Joensuu?	FALSE	Vyborg	1905
Kungliga	Dahl, Gustav Adolf	fruntimmersskolan i viborg 17881905 några 	Fruntimmersskolan i Viborg 1788-1905. Några anteckningar om Finlands äldsta flickskola	FALSE	Vyborg	1905
Kungliga	Lehtoranta, T	matrikkeli suomen maalaiskanakouluista  matrikel 	Matrikkeli Suomen maalaiskanakouluista. - Matrikel för landsfolkskolorna i Finland	FALSE	Vyborg	1906
Kungliga	Dahl, Gustav Adolf	fredrik iis inre styrelse	Fredrik II:s inre styrelse	FALSE	Vyborg	1907
Kungliga	Zilliacus, Allan	extrakt och alkoholtabeller afsedda för 	Extrakt- och alkohol-tabeller afsedda för kontrollen öfver tillverkningen af maltdrycker, jämte några anvisningar om handhafvandet af de för utöfvandet af kontrollen afsedda apparaterna	FALSE	Vyborg	1908
Kungliga	NA	mötet af forna elever vid 	Mötet af forna elever vid Gymnasium,Elementarskolan och Lyceum i Wiborg 19 4/6 11	FALSE	Vyborg	1912
Kungliga	Johnson, Oskar	zigenare	Zigenare	FALSE	Vyborg	1912
Kungliga	Salenius, Johan Magnus	kuvauksia vanhasta suomesta	Kuvauksia vanhasta suomesta	FALSE	Vyborg	1913
Kungliga	NA	svenska lyceets i wiborg konvent 	Svenska lyceets i Wiborg konvent 25 år	FALSE	Vyborg	1916
Kungliga	Wahlroos, Gunnar (1887-NA)	svenska lyceum i wiborg 18741917	Svenska lyceum i Wiborg 1874-1917	FALSE	Vyborg	1917
Kungliga	Sandman, Elna	tagen avsides	Tagen avsides	FALSE	Vyborg	1918
Kungliga	Thesleff, L	det elektrifierade jordbruket	Det elektrifierade jordbruket	FALSE	Vyborg	1920
Kungliga	NA	tekniska klubbens i wiborg 25års 	Tekniska klubbens i Wiborg 25-års festskrift	FALSE	Vyborg	1920
Kungliga	NA	svenska lyceets i wiborg kamratfest 	Svenska lyceets i Wiborg kamratfest 8-9 juni 1924	FALSE	Vyborg	1924
Kungliga	Wahlroos, Gunnar (1887-NA)	svenska lyceum i wiborg 19171924	Svenska lyceum i Wiborg 1917-1924	FALSE	Vyborg	1924
Kungliga	NA	ädelrävodling	Ädelräv-odling	FALSE	Vyborg	1926
Kungliga	Raekallio, Ilmari	viipurin linna sen vaiheet ja 	Viipurin linna, sen vaiheet ja nähtävyydet	FALSE	Vyborg	1928
Kungliga	Höckert, Ester (1868-NA)	ett kvinnoöde från förra hälften 	Ett kvinnoöde från förra hälften av 1800-talet i Wiborg	FALSE	Vyborg	1929
Kungliga	NA	inhemska scenkonstnärer i ord och 	Inhemska scenkonstnärer i ord och bild	FALSE	Vyborg	1930
Kungliga	NA	när vi voro skolpojkar	När vi voro skolpojkar	FALSE	Vyborg	1931
Kungliga	Palmberg, Harry	paul peter korsströms äventyr  	Paul Peter Korsströms äventyr & Alexanders	FALSE	Vyborg	1931
Kungliga	NA	finlands xiii allmänna lantbruksutställning i 	Finlands XIII allmänna lantbruksutställning i Viipuri 23 juni - 2 juli 1932. Katalog över utställda föremål och utställare	FALSE	Vyborg	1932
Kungliga	Ekelund, Hilding (1893-1984)	weekendhuset	Week-end-huset	FALSE	Vyborg	1932
