"","x"
"1","Tartto"
"2","Tartu"
"3","Dorpati"
"4","Dorpati Livonorum"
"5","Dorpati Livonvm"
"6","Dorpat"
"7","Dorpati Livonorvm"
"8","Dorpati Livonrum"
"9","Tartus"
"10","Dorpt"
"11","Dörpt"
