publication_frequency_text publication_frequency_annual n
Daily 365 10
Six per Week 312.000000000001 30
Four per Week 208 2
Three per Week 156 52
Two per Week 104 72
Weekly 52.0000000000001 188
Three per Month 36 2
Three per Month 36 1
Every two Weeks 26 15
Every two Weeks 24 66
Every three Weeks 18 2
Every three Weeks 17 1
Every three Weeks 15 1
Monthly 12 198
Monthly 12 2
Nine per Year 9 1
Nine per Year 8.5 1
Eight per Year 8.2 1
Eight per Year 8 3
Seven per Year 7 1
Every two Months 6 2
Every two Months 6 17
Five per Year 5 5
Every three Months 4.33333333333333 1
Every three Months 4 14
Every three Months 3.66666666666667 1
Every three Months 3.5 2
Every four Months 3.2 1
Every four Months 3 14
Every four Months 2.72727272727273 1
Every four Months 2.66666666666667 1
Every four Months 2.57142857142857 1
Every four Months 2.5 5
Two per Year 2.4 1
Two per Year 2.33333333333333 1
Two per Year 2.14285714285714 1
Two per Year 2.08333333333333 1
Two per Year 2 41
Two per Year 1.66666666666667 3
Two per Year 1.5 6
Annual 1.33333333333333 9
Annual 1.25 2
Annual 1.2 1
Annual 1.14285714285714 3
Annual 1.11111111111111 1
Annual 1.1 2
Annual 1.07142857142857 1
Annual 1 270
Annual 0.944444444444444 1
Annual 0.941176470588235 1
Annual 0.916666666666667 1
Annual 0.909090909090909 1
Annual 0.875 2
Annual 0.857142857142857 1
Annual 0.833333333333333 4
Annual 0.826086956521739 1
Annual 0.8 3
Annual 0.75 2
Every two Years 0.739130434782609 1
Every two Years 0.7 1
Every two Years 0.666666666666667 23
Every two Years 0.636363636363636 1
Every two Years 0.625 2
Every two Years 0.6 5
Every two Years 0.565217391304348 1
Every two Years 0.5625 2
Every two Years 0.5 16
Every two Years 0.461538461538462 1
Every two Years 0.444444444444444 1
Every two Years 0.428571428571429 1
Every three Years 0.4 2
Every three Years 0.375 2
Every three Years 0.35 1
Every three Years 0.347826086956522 1
Every three Years 0.333333333333333 1
Every three Years 0.333333333333333 1
Every three Years 0.314285714285714 1
Every three Years 0.3125 1
Every three Years 0.3 1
Every four Years 0.285714285714286 2
Every four Years 0.272727272727273 1
Every four Years 0.25 1
Every four Years 0.235294117647059 1
Every four Years 0.230769230769231 2
Every five Years 0.2 1
Irregular NA 67
Single NA 1
