"","x"
"1","Viipuri"
"2","Viipurissa"
"3","Viborg"
"4","Wiburgiae"
"5","Wiburisa"
"6","Wiiburisa"
"7","Wiborg"
"8","Wiborgh"
"9","Viburgiae"
"10","Wiburis"
"11","Wijborg"
"12","Wijbor"
"13","Wiburgae"
"14","Wiipuri"
"15","Vibourg"
"16","Vyborg"
"17","Wiipurissa"
"18","Wiburg"
"19","Wiburgi"
"20","Wjburgi"
"21","Wyburg"
