author_name author_birth author_death
Rindell, Arthur NA NA
Kurvinen, Pietari NA NA
Jókai, Mór NA NA
Litzell, Karl Emil NA NA
Grytzell, Josef NA NA
Reijo-waara, Konr NA NA
Larin-kyösti NA NA
Someri, Juho NA NA
Nissinen, Alli NA NA
Estlander, J A NA NA
Järnefelt-palmgren, Maikki NA NA
Nervander, Emil NA NA
Herzog, Rudolf NA NA
Sirelius, U T NA NA
Derschau, F NA NA
Tiitus NA NA
Wilhelmiina NA NA
Lindelöf, Ernst NA NA
Lindforss, C M NA NA
Nycopensis, Nicolaus Laurentii 1664 NA
Blink, Carl NA NA
Nyström, Erik NA NA
Blink, Carl NA NA
Cassel, Hjalmar NA NA
Rittmeijer, M J NA NA
Paavonen, Toivo Wilhelm NA NA
Aleksanteri NA NA
Backmann, Lars Henrik 1755 NA
Wegelius, Martin NA NA
Reuter, Jonatan NA NA
Lindeqvist, Carl Johan NA NA
Mörne, Arvid NA NA
Jakobsson, Jarl NA NA
Norman-hansen, Carl Martin NA NA
Ramus, Jonas NA NA
Lindelöf, Ernst NA NA
Korpimaa, Timo NA NA
Eden, Charles H NA NA
Wång, Johannes Petri 1728 NA
Matelin, V NA NA
Runeberg, J W NA NA
Ekelund, Bror Michael NA NA
Korolenko, Vladimir NA NA
Fontell, A G NA NA
Brax, Greta NA NA
Luther, Martti NA NA
Kallio, O A NA NA
Caine, Hall NA NA
Gunter, Archibald Clavering NA NA
G NA NA
Aatto NA NA
Alho, August NA NA
Urkio, Kustaa NA NA
Tarkiainen, Viljo NA NA
Niinivaara, Verneri NA NA
Hougberg, Emil NA NA
Piranesi, Francesco NA NA
Andersson, Otto NA NA
Wrede, R A NA NA
Qvist, Carl Immanuel NA NA
Sandelin, L H NA NA
Lindström, Hilma NA NA
Iii, Kustaa NA NA
Svanljung, John NA NA
Wendt, Georg Von NA NA
Doyle, Arthur Conan NA NA
Hector, Adolf NA NA
Sallustius Crispus, Gaius NA NA
Mac Intosh, C H NA NA
Waaranen, Vihtori NA NA
Pauli, J NA NA
Ollila, Onni NA NA
Strindberg, August NA NA
Dillner, T S NA NA
Mellin, Hj NA NA
Johansson, Jonatan NA NA
Tammelin, Nicolaus Laurentii 1741 NA
Paronen, Kalle NA NA
Vuoritsalo, Nuutti NA NA
Daiber, Albert NA NA
Eklund, A W NA NA
Adam, Onkel NA NA
Martensen, Hans Lassen NA NA
Appelgren, T G NA NA
Larsson, L NA NA
Schiller, Friedrich Von NA NA
Dilling, Lars NA NA
Päivärinta, Pietari NA NA
Kolckenius, Josephus Gustavi 1712 NA
Pipping, W NA NA
Zeaeman, Georgius NA NA
Lindelöf, Ernst NA NA
Rindell, Arthur NA NA
Höijer, Otto NA NA
Heinricius, G NA NA
Calonius, Allan NA NA
Wennerström, Ludvig Alexander NA NA
G NA NA
Maria NA NA
Benson, Allan L NA NA
Doyle, Arthur Conan NA NA
Inberg, Isak Johan NA NA
Lönnbohm, O A F NA NA
Oksanen, Väinö NA NA
Welp, Treumund NA NA
Tönnerus, Johan NA NA
Rein, Thiodolf NA NA
öhler, Luise NA NA
Bergman, Mathias NA NA
Solowjeff, W NA NA
Aspelin, J R NA NA
Kröger, David Konstantin NA NA
Borodkin, M NA NA
Wasastjerna, Torsten NA NA
Ystävä, Hevoshoidon NA NA
Linné, Carl Von NA NA
Saxén, Ralf NA NA
Linnankoski, Johannes NA NA
Leinonen, Aleksander NA NA
Lundström, Isidor NA NA
Setälä, Vilho NA NA
Lagus, Ernst NA NA
Salingre, Axel NA NA
Ewald, Carl NA NA
Fleege, Gunnar A NA NA
Rosendal, Mauno NA NA
Malm, Pekka NA NA
Bergh, P NA NA
Litzell, Karl Emil NA NA
Mendelin, Irene NA NA
Hemmo, Kaarlo NA NA
Rosenius, C O NA NA
Alkman, K G NA NA
W-o, A NA NA
Wirén, Edvin NA NA
Theremin, F NA NA
Oksa, V NA NA
Frosterus, Benj NA NA
Rudin, Erik Georg Waldemar Napoleon NA NA
Björkstén, Edvard NA NA
Tacitus, Publius Cornelius NA NA
Allinson, T R NA NA
Waggoner, E J NA NA
Ekman, Johan Henrik NA NA
Tallgren, K Z NA NA
Tähtelä, Kalle NA NA
Erichsen, Erich NA NA
Kurvinen, Pietari NA NA
Rosenborg, Johan Wilhelm NA NA
Bring, Sven Libert NA NA
Klencke, Hermann NA NA
Kalakangas, J NA NA
Aadolf, Kustaa NA NA
Linde, Sven NA NA
Linsén, K F NA NA
L NA NA
Louhivuori, O W NA NA
Niemi, Herman NA NA
J NA NA
Hahl, Jalmari NA NA
Bäck, A J NA NA
Haartman, B Von NA NA
Lehtimäki, Konrad NA NA
Wide, Anders NA NA
