"","x"
"1","Turku"
"2","Turussa"
"3","Åbo"
"4","Aboae"
"5","Aboae Finnorum"
"6","Abogiae"
"7","Åboae"
"8","Abo"
"9","Aboe"
"10","Turusa"
"11","Turura"
"12","Turuusa"
"13","Åpo"
"14","Åco"
"15","Abodiae"
"16","Aboa"
"17","Abo´a"
"18","Aboae Fennorum"
"19","Aboa´e"
"20","Turus"
"21","Abae"
"22","Å°bo"
"23","Åbae"
