original	polished	Count
Frosterus-Segerstråle, Hanna.	female	20
Nylander, John William.	male	20
Mörne, Arvid.	male	20
Lunde, Albert G.	male	20
Ingman, Lauri	female	20
Blink, Carl.	male	20
Häggman, Ossian.	male	20
Gossner, Johannes.	male	20
Helsingius, Gustaf Adolf.	male	20
Bonsdorff, Adolf von.	male	20
Lilius, Axel.	male	20
Alpi, Eero	male	20
Rothovius, Isak	male	20
Hacks, Alexander	male	20
Ahlstedt, Johannes Fridericus	male	20
Berndtson, Fredrik	male	19
Lagus, Gabriel	male	19
Estlander, Carl Gustaf	male	19
Kihlman, Alfred Oswald.	male	19
Smiles, Samuel.	male	19
Genetz, Arvid Th.	male	19
Sjöblom, Hannes	male	19
Schvindt, Theodor.	male	19
Gripenberg, Lennart	male	19
Häyhä, Johannes	male	19
Scott, Walter.	male	19
Cannelin, Knut.	male	19
Schefferus, Johannes Johannis	male	19
Chydenius, Anders	male	19
Calonius, Matthias	male	19
Bonsdorff, Gabriel von	male	19
Bonsdorff, Petrus Adolphus von	male	18
Avellan, Johannes Henricus	male	18
Vest, Eliel.	male	18
Vendell, Herman	male	18
Råbergh, Herman	male	18
Lönnbeck, Gustaf F.	male	18
Krummacher, Friedrich Wilhelm.	male	18
Ibsen, Henrik.	male	18
Gray, Alice.	female	18
Alho, August.	male	18
Linné, Carl von.	male	18
Fresenius, Johan Philipp.	male	18
Modeen, Alexander Edvard	male	17
Westerback, Johan.	male	17
Geitlin, Johan Gabriel	male	17
Wecksell, Josef Julius.	male	17
Key, Ellen.	female	17
Tegengren, Jacob.	male	17
Allardt, Anders	male	17
Soini, Lauri	female	17
Tallqvist, Knut.	male	17
Roos, Mathilda.	female	17
Reuter, Enzio.	male	17
Ilkka, Mikko.	male	17
Spyri, Johanna.	female	17
Hurtig, Karl.	male	17
Schauman, Georg	male	17
Collan, Anni.	female	17
Pryss, Andreas Andreae	male	17
Palander, Gabriel	male	17
Lagervall, Jakob Fredrik	male	16
Hartman, Gabriel Israel	male	16
Lemström, Selim	male	16
Svensson, Joh.	male	16
Willgren, Karl.	male	16
Waldenström, Peter Paul.	male	16
Hjelt, Otto Edvard August	male	16
Procope, Hjalmar.	male	16
Wainio, Edvard August.	male	16
Relander, Konrad.	male	16
Chydenius, Jakob Wilhelm.	male	16
Sick, Ingeborg Maria.	female	16
Lundén, Ossian.	male	16
Favorin, Hanna	female	16
Kipling, Rudyard.	male	16
Sankey, Ira D.	male	16
Fraser, Georg	male	16
Twain, Mark.	male	16
Tšehov, Anton.	male	16
Dannholm, Oskar	male	16
Hildeen, Esaias Henrici	male	16
Messenius, Johannes	male	16
Haartman, Gabriel Ericus von	male	16
Stenbäck, Josef.	male	15
Vakaa, Gustaf Adolf.	male	15
Renvall, Gustaf	male	15
Ramsay, Anders.	male	15
Litzell, Karl Emil.	male	15
Hausen, Reinhold.	male	15
Bolin, Wilhelm.	male	15
Ervast, Karl.	male	15
Hornborg, Eirik.	male	15
Palmgren, Rolf.	male	15
Komppa, Gust.	male	15
Hyvärinen, Eero	male	15
Reuter, Fritz.	male	15
Drummond, Henry.	male	15
Beskow, Nils.	male	15
Granfelt, Amanda Lydia	female	15
Goethe, Johann Wolfgang von.	male	15
Enroth, Karolina.	female	15
Renqvist, Henrik	male	15
Gyldenstolpe, Samuel Michaelis	male	15
Tunander, Nicolaus Jonae	male	15
Salamnius, Mattias	male	15
Ekerman, Petrus	male	15
Frosterus, Johannes Abrahami	male	15
Hersleb, Peder.	male	15
Welin, Johannes	male	15
Palander, Edvard Wilhelm.	male	14
Arrhenius, Johan.	male	14
Berg, Carl Oskar.	male	14
Elmgren, Sven Gabriel	male	14
Rydberg, Viktor.	male	14
Hultin, Arvid.	male	14
Lagus, Wilhelm.	male	14
Lagus, Ernst.	male	14
Lassinen, Emil.	male	14
Vollmar, Agnes.	female	14
Serlachius, Julian.	male	14
Söderhjelm, Alma.	female	14
Boldt, Robert.	male	14
Biaudet, Henry.	male	14
Sandell, Lina.	female	14
Hernberg, Alarik.	male	14
Salmela, Marja	female	14
Heyse, Paul.	male	14
Ehrnrooth, Leo.	male	14
Benedix, Julius Roderich.	male	14
Ekman, Oskar.	male	14
Kallio, Elin Oihonna	female	14
Lydecken, Arvid	male	14
Brenner, Petrus Johannis	male	14
Sundwall, Johannes Matthias	male	13
