gatherings.original	width.original	height.original	original	gatherings	width	height	obl	area	count
NA	37.5	42.7	37.5 x 42.7 cm. plate 43 x 49 cm.	NA	42.7	37.5	0	1601.25	1
NA	37.6	42.7	37.6 x 42.7 cm. plate 45 x 50 cm.	NA	42.7	37.6	0	1605.52	1
NA	37.6	42.7	37.6 x 42.7 cm. plate 41 x 46 cm.	NA	42.7	37.6	0	1605.52	1
NA	37.5	42.7	37.5 x 42.7 cm. plate 40 x 45 cm.	NA	42.7	37.5	0	1601.25	1
NA	NA	NA	25-33 cm.	NA	NA	NA	0	NA	1
NA	37.8	43	37.8 x 43 cm. plate 43 x 48.3 cm.	NA	43	37.8	0	1625.4	1
NA	48	56	kotelo 48 x 56 cm.	NA	56	48	0	2688	1
NA	NA	NA	38-40 cm.	NA	NA	NA	0	NA	1
NA	16	26	16 x 26 cm.	8vo	26	16	0	416	1
NA	16	26	26 x 16 cm.	8vo	26	16	0	416	1
NA	NA	NA	28-34 cm.	NA	NA	NA	0	NA	1
NA	NA	NA	24-30 cm.	NA	NA	NA	0	NA	1
NA	NA	NA	31-35 cm.	NA	NA	NA	0	NA	1
84to	NA	NA	84to	84to	NA	NA	0	NA	1
NA	26.5	31.4	26.5 x 31.4 cm. plate 47.5 x 34 cm.	NA	31.4	26.5	0	832.1	1
NA	26.2	32.2	26.2 x 32.2 cm. plate 30.8 x 38.2 cm.	NA	32.2	26.2	0	843.64	1
NA	44.5	53.1	53.1 x 44.5 cm. plate 63 x 51.5 cm.	NA	53.1	44.5	0	2362.95	1
NA	NA	9	9 cm.	NA	9	6	0	54	1
NA	29.5	46	29.5 x 46 cm.	2fo	46	29.5	0	1357	1
NA	31	34	31 x 34 cm.	NA	34	31	0	1054	1
4to	NA	NA	kuv. ;;4to	4to	28	22	0	616	1
NA	23	31.3	23 x 31.3 cm. plate 25 x 33.6 cm.	NA	31.3	23	0	719.9	1
NA	26.5	33.5	26.5 x 33.5 cm. plate 30.3 x 35.8 cm.	NA	33.5	26.5	0	887.75	1
8vo	NA	NA	8.0.	8vo	19	13	0	247	1
NA	36	48	48 x 36 cm.	2fo	48	36	0	1728	1
NA	27	36	27 x 36 cm.	4long	36	27	0	972	1
NA	24	34	34 x 24 cm.	2fo	34	24	0	816	1
NA	30	37	30 x 37 cm.	2fo	37	30	0	1110	1
NA	28	39	28 x 39 cm.	2fo	39	28	0	1092	1
16long	NA	NA	16to+	16long	18	14	0	252	1
NA	34	42	34 x 42 cm.	2fo	42	34	0	1428	1
NA	NA	66	66 cm.	2long	66	34	0	2244	1
NA	24	34	24 x 34 cm.	2fo	34	24	0	816	1
4to	NA	NA	4o.	4to	28	22	0	616	1
NA	NA	45	45 cm.	2fo	45	29	0	1305	1
NA	23	26	23 x 26 cm.	4to	26	23	0	598	1
4to	NA	NA	poikittais 4to	4to	28	22	0	616	1
NA	NA	NA	cm.	NA	NA	NA	0	NA	1
NA	44.5	59.5	59.5 x 44.5 cm.	2long	59.5	44.5	0	2647.75	1
NA	16.8	21	21 x 16.8 cm. plate 22 x 17.6 cm.	4to	21	16.8	0	352.8	1
NA	33	41.5	41.5 x 33 cm. plate 45.8 x 37 cm.	2fo	41.5	33	0	1369.5	1
NA	45	63	63 x 45 cm.	NA	63	45	0	2835	1
NA	63	76	76 x 63 cm.	1to	76	63	0	4788	1
NA	76	106	106 x 76 cm. plate 113 x 81 cm.	NA	106	76	0	8056	1
NA	75.5	106	106 x 75.5 cm. plate 112 x 78 cm.	NA	106	75.5	0	8003	1
NA	43.5	55	43.5 x 55 cm.	2long	55	43.5	0	2392.5	1
NA	40	45	40 x 45 cm.	NA	45	40	0	1800	1
NA	NA	NA	1907.	NA	NA	NA	0	NA	1
NA	41.5	46.7	46.7 x 41.5 cm. plate 51.3 x 43.5 cm.	NA	46.7	41.5	0	1938.05	1
NA	37.3	38.5	38.5 x 37.3 cm. plate 44 x 39.3 cm.	NA	38.5	37.3	0	1436.05	1
NA	49	62.2	49 x 62.2 cm.	NA	62.2	49	0	3047.8	1
NA	17.3	22.9	17.3 x 22.9 cm. plate 22.2 x 26 cm.	4to	22.9	17.3	0	396.17	1
NA	28.3	33.3	28.3 x 33.3 cm. plate 33 x 36.5 cm.	NA	33.3	28.3	0	942.39	1
NA	53.5	69.5	69.5 x 53.5 cm.	NA	69.5	53.5	0	3718.25	1
NA	43.4	55.3	55.3 x 43.4 cm. plate 68 x 50.5 cm.	2long	55.3	43.4	0	2400.02	1
NA	29	34	29 x 34 cm.	4long	34	29	0	986	1
NA	50.5	66.4	50.5 x 66.4 cm. plate 56.2 x 70.7 cm.	NA	66.4	50.5	0	3353.2	1
NA	63	93	93 x 63 cm.	1to	93	63	0	5859	1
NA	NA	NA	1912.	NA	NA	NA	0	NA	1
NA	NA	NA	1915.	NA	NA	NA	0	NA	1
NA	64	91	91 x 64 cm.	1to	91	64	0	5824	1
NA	64	73	73 x 64 cm.	1to	73	64	0	4672	1
NA	64	70	70 x 64 cm.	NA	70	64	0	4480	1
NA	65	68	68 x 65 cm.	NA	68	65	0	4420	1
NA	62	69	69 x 62 cm.	NA	69	62	0	4278	1
NA	74	80	74 x 80 cm.	1to	80	74	0	5920	1
NA	58	69	69 x 58 cm.	NA	69	58	0	4002	1
NA	22	29	29 x 22 cm.	4to	29	22	0	638	1
NA	33	58.5	33 x 58.5 cm.	2long	58.5	33	0	1930.5	1
NA	60.5	86.2	60.5 x 86.2 cm. plate 67 x 92 cm.	1to	86.2	60.5	0	5215.1	1
NA	24.9	36.9	24.9 x 36.9 cm. 36.9 x 25 cm. plate 45 x 63 cm.	2fo	36.9	24.9	0	918.81	1
NA	41.8	48.2	41.8 x 48.2 cm.	NA	48.2	41.8	0	2014.76	1
NA	54.5	68.5	54.5 x 68.5 cm. plate 63.3 x 75.8 cm.	NA	68.5	54.5	0	3733.25	1
NA	73.8	92.8	73.8 x 92.8 cm.	1to	92.8	73.8	0	6848.64	1
NA	63.8	106.9	63.8 x 106.9 cm. plate 71.7 x 112.7 cm.	1to	106.9	63.8	0	6820.22	1
NA	25	32	25 x 32 cm.	NA	32	25	0	800	1
NA	32.9	43.3	32.9 x 43.3 cm. plate 39.5 x 51.5 cm.	2fo	43.3	32.9	0	1424.57	1
NA	35.3	42.3	35.3 x 42.3 cm. plate 40.2 x 50.6 cm.	NA	42.3	35.3	0	1493.19	1
NA	50.6	71	50.6 x 71 cm. plate 59.5 x 80 cm.	NA	71	50.6	0	3592.6	1
NA	50.8	71.3	50.8 x 71.3 cm. plate 59.6 x 79.6 cm.	NA	71.3	50.8	0	3622.04	1
NA	51	71.5	51 x 71.5 cm. plate 59.5 x 80 cm.	NA	71.5	51	0	3646.5	1
NA	50.9	71.4	50.9 x 71.4 cm. plate 59.5 x 80 cm.	NA	71.4	50.9	0	3634.26	1
NA	47.1	62.7	47.1 x 62.7 cm. plate 54.8 x 72.8 cm.	NA	62.7	47.1	0	2953.17	1
NA	50.5	71.2	50.5 x 71.2 cm. plate 59.7 x 79.5 cm.	NA	71.2	50.5	0	3595.6	1
NA	50.8	71	50.8 x 71 cm. plate 59.7 x 79.7 cm.	NA	71	50.8	0	3606.8	1
NA	50.8	71	50.8 x 71 cm. plate 59.5 x 80 cm.	NA	71	50.8	0	3606.8	1
NA	50.5	71.4	50.5 x 71.4 cm. plate 59.7 x 79.8 cm.	NA	71.4	50.5	0	3605.7	1
NA	47	68	47 x 68 cm. folded 25 x 15 cm.	NA	68	47	0	3196	1
NA	32.5	57.5	32.5 x 57.5 cm.	2long	57.5	32.5	0	1868.75	1
NA	10.7	17.2	17.2 x 10.7 cm. plate 23 x 16 cm.	18mo	17.2	10.7	0	184.04	1
NA	42	52.5	42 x 52.5 cm. plate 46 x 57 cm.	2long	52.5	42	0	2205	1
NA	49	62.5	49 x 62.5 cm.	NA	62.5	49	0	3062.5	1
NA	36	58.5	36 x 58.5 cm.	2long	58.5	36	0	2106	1
NA	10.6	16.7	16.7 x 10.6 cm. plate 23 x 16 cm.	18mo	16.7	10.6	0	177.02	1
NA	52.5	75.5	52.5 x 75.5 cm.	1to	75.5	52.5	0	3963.75	1
NA	NA	25	25 cm +	4to	25	19	0	475	1
NA	68	75	68 x 75 cm.	1to	75	68	0	5100	1
NA	65	101.5	65 x 101.5 cm.	1to	101.5	65	0	6597.5	1
NA	NA	NA	12to(=8to	NA	NA	NA	0	NA	1
NA	28.5	44	44 x 28.5 cm.	2fo	44	28.5	0	1254	1
NA	66	78	66 x 78 cm.	1to	78	66	0	5148	1
8long	NA	NA	kuv. ;;8to+	8long	22	13	0	286	1
NA	NA	51	51 cm.	NA	51	32	0	1632	1
8vo	NA	NA	större 8to	8vo	19	13	0	247	1
12mo	NA	NA	liten 12to	12mo	19	12.5	0	237.5	1
4to	NA	NA	aflång 4to	4to	28	22	0	616	1
NA	NA	NA	21to	NA	NA	NA	0	NA	1
NA	64.5	72	64.5 x 72 cm. plate 69 x 75 cm.	NA	72	64.5	0	4644	1
NA	17	30	30 x 17 cm. plate 34 x 26 cm.	NA	30	17	0	510	1
NA	19	37.3	37.3 x 19 cm. plate 47 x 25 cm.	2fo	37.3	19	0	708.7	1
NA	66	76	plate 66 x 76 cm.	1to	76	66	0	5016	1
NA	68.2	96.5	68.2 x 96.5 cm. 69.2 x 96.5 cm. plate 76 x 102 cm.	1to	96.5	68.2	0	6581.3	1
NA	57.5	97.6	57.5 x 97.6 cm. 53.5 x 97.6 cm. plate 76 x 107 cm.	1to	97.6	57.5	0	5612	1
NA	68.4	93	68.4 x 93 cm. 67 x 93 cm. plate 76 x 101 cm.	1to	93	68.4	0	6361.2	1
NA	52	94.5	52 x 94.5 cm. 48.6 x 94.7 cm. plate 64 x 103 cm.	1to	94.5	52	0	4914	1
NA	68.5	88.7	88.7 x 68.5 cm. plate 103 x 76 cm.	1to	88.7	68.5	0	6075.95	1
NA	55	79.5	55 x 79.5 cm. plate 64 x 99 cm.	1to	79.5	55	0	4372.5	1
NA	73.4	85.7	73.4 x 85.7 cm. plate 82 x 94 cm.	1to	85.7	73.4	0	6290.38	1
NA	67.5	96.5	67.5 x 96.5 cm. plate 78 x 104 cm.	1to	96.5	67.5	0	6513.75	1
NA	35	45	35 x 45 cm.	2fo	45	35	0	1575	1
NA	76.5	99.5	76.5 x 99.5 cm. plate 88 x 110 cm.	NA	99.5	76.5	0	7611.75	1
NA	NA	NA	1869.	NA	NA	NA	0	NA	1
8vo	NA	NA	(isompi) 8to	8vo	19	13	0	247	1
NA	NA	24	24 cm.r.	4to	24	19	0	456	1
12mo	NA	NA	12.	12mo	19	12.5	0	237.5	1
8long	NA	NA	8:0 +	8long	22	13	0	286	1
12mo	NA	NA	pitkä. 12to	12mo	19	12.5	0	237.5	1
NA	16.9	28	n. 28 x 16.9 cm. plate 29 x 22 cm.	NA	28	16.9	0	473.2	1
NA	17.6	20.4	20.4 x 17.6 cm. plate 26 x 23 cm.	4to	20.4	17.6	0	359.04	1
NA	12.5	19	19 x 12.5 cm.	12mo	19	12.5	0	237.5	1
NA	61.3	69	69 x 61.3 cm. plate 79 x 69 cm.	NA	69	61.3	0	4229.7	1
NA	54	87.6	87.6 x 54 cm. plate 93 x 60 cm.	1to	87.6	54	0	4730.4	1
NA	65	76.6	76.6 x 65 cm. plate 83 x 73 cm.	1to	76.6	65	0	4979	1
NA	76.3	105.4	105.4 x 76.3 cm. plate 114 x 85 cm.	NA	105.4	76.3	0	8042.02	1
NA	63.3	91.5	91.5 x 63.3 (67) cm. plate 106 x 71 cm.	1to	91.5	63.3	0	5791.95	1
NA	64	84.8	64 x 84.8 cm. plate 69 x 99 cm.	1to	84.8	64	0	5427.2	1
NA	67.2	92.8	67.2 x 92.8 cm. plate 72 x 105 cm.	1to	92.8	67.2	0	6236.16	1
NA	61.7	93.9	61.7 x 93.9 cm. plate 68 x 100 cm.	1to	93.9	61.7	0	5793.63	1
NA	65.5	78	78 x 65.5 cm. plate 91 x 74 cm.	1to	78	65.5	0	5109	1
NA	32	43.8	32 x 43.8 cm. plate 38 x 50 cm.	2fo	43.8	32	0	1401.6	1
8long	NA	NA	8to(small)	8long	22	13	0	286	1
8vo	NA	NA	8to(suurempi)	8vo	19	13	0	247	1
NA	42	60.7	60.7 x 42 cm. plate 68 x 50 cm.	2long	60.7	42	0	2549.4	1
NA	22.1	35.5	35.5 x 22.1 cm. plate 39 x 25 cm.	2fo	35.5	22.1	0	784.55	1
NA	31.1	64.7	64.7 x 31.1 cm. plate 68 x 34 cm.	2long	64.7	31.1	0	2012.17	1
NA	36	47.8	47.8 x 36 cm. plate 55 x 42 cm.	2fo	47.8	36	0	1720.8	1
NA	19	27.2	19 x 27.2 cm. plate 23 x 35 cm.	NA	27.2	19	0	516.8	1
NA	36.4	50.7	50.7 x 36.4 cm. plate 52 x 38 cm.	NA	50.7	36.4	0	1845.48	1
NA	38.4	82.5	47 (44.6. 38.4) x 82.5 cm. plate 51 x 86 cm.	1to	82.5	38.4	0	3168	1
NA	36.4	42.8	42.8 x 36.4 cm. plate 44 x 38 cm.	NA	42.8	36.4	0	1557.92	1
NA	50	80	n. 50 x n. 80 cm. plate 72 x 88 cm.	1to	80	50	0	4000	1
NA	59.2	81	81 x 59.2 cm. plate 86 x 64 cm.	1to	81	59.2	0	4795.2	1
NA	NA	NA	17-25 cm.	NA	NA	NA	0	NA	1
NA	NA	16	16 cm +	NA	16	11	0	176	1
NA	NA	46	46 cm.	2fo	46	30	0	1380	1
NA	NA	52	52 cm.	2long	52	33	0	1716	1
NA	NA	NA	34-40 cm.	NA	NA	NA	0	NA	1
NA	NA	NA	16-19 cm.	NA	NA	NA	0	NA	1
NA	NA	NA	13-18 cm.	NA	NA	NA	0	NA	1
NA	NA	NA	20-22 cm.	NA	NA	NA	0	NA	1
NA	21.5	25.5	21.5 x 25.5 cm. plate 26 x 30 cm.	4to	25.5	21.5	0	548.25	1
NA	NA	NA	108 s.. 4 kuvaplate	NA	NA	NA	0	NA	1
20to	NA	NA	20.	20to	NA	NA	0	NA	1
NA	NA	NA	28	NA	NA	NA	0	NA	1
4to	NA	NA	liten 4to	4to	28	22	0	616	1
NA	NA	26	26 cm	4to	26	20	0	520	1
8vo	NA	NA	tvär stor 8to	8vo	19	13	0	247	1
NA	NA	NA	26-30 cm.	NA	NA	NA	0	NA	1
NA	NA	NA	17-19 cm.	NA	NA	NA	0	NA	1
12mo	NA	NA	stor 12to	12mo	19	12.5	0	237.5	1
4to	NA	23	4to(23 cm)	4to	23	18	0	414	1
8vo	NA	NA	lit. 8to	8vo	19	13	0	247	1
16mo	NA	NA	stor 16to	16mo	15	12	0	180	1
NA	NA	NA	22-28 cm.	NA	NA	NA	0	NA	1
NA	NA	NA	24-31 cm.	NA	NA	NA	0	NA	1
NA	NA	NA	26-33 cm.	NA	NA	NA	0	NA	1
NA	NA	NA	1896.	NA	NA	NA	0	NA	1
8vo	NA	NA	lång 8to	8vo	19	13	0	247	1
NA	NA	26	26 cm. +	4to	26	20	0	520	1
2long	NA	NA	fol. +	2long	53	30	0	1590	1
NA	NA	NA	28-32 cm.	NA	NA	NA	0	NA	1
8vo	NA	NA	miniatyr 8to	8vo	19	13	0	247	1
NA	NA	27	27 cm +	NA	27	20	0	540	1
NA	NA	NA	2 liitekuvaa.	NA	NA	NA	0	NA	1
8long	NA	25	8to(25 cm) +	8long	25	14	0	350	1
8vo	NA	25	8to(25 cm)	8vo	25	16	0	400	1
NA	NA	NA	4 to	NA	NA	NA	0	NA	1
NA	NA	26	26 cm +	4to	26	20	0	520	1
NA	NA	NA	28-37 cm.	NA	NA	NA	0	NA	1
NA	67	92	67 x 92 cm.	1to	92	67	0	6164	1
NA	NA	NA	15-17 cm.	NA	NA	NA	0	NA	1
NA	NA	NA	20-27 cm.	NA	NA	NA	0	NA	1
NA	NA	NA	22-24 cm.	NA	NA	NA	0	NA	1
NA	15	24	15 x 24 cm.	8vo	24	15	0	360	1
NA	NA	NA	29-37 cm.	NA	NA	NA	0	NA	1
NA	NA	NA	38-39 cm.	NA	NA	NA	0	NA	1
NA	44.7	60.5	44.7 x 60.5 cm. plate 56 x 66.5 cm.	NA	60.5	44.7	0	2704.35	1
NA	52	61.5	plates 52 x 61.5 cm. 51 x 61.5 cm.	NA	61.5	52	0	3198	1
NA	44.7	60.5	44.7 x 60.5 cm. plate 54 x 66 cm.	NA	60.5	44.7	0	2704.35	1
NA	58.5	98.5	58.5 x 98.5 cm.	1to	98.5	58.5	0	5762.25	1
NA	20	26.8	20 x 26.8 cm. plate 22.3 x 33.3 cm.	NA	26.8	20	0	536	1
1to	23.3	26	sheet 23.3 x 26 cm. plate 41 x 56.5 cm.	1to	26	23.3	0	605.8	1
NA	51	63	plate n. 63 x 51 cm.	NA	63	51	0	3213	1
NA	60	101	60 x 101 cm. plate 63.5 x 103.5cm.	1to	101	60	0	6060	1
NA	31.5	38.7	31.5 x 38.7 cm. plate 38.5 x 46 cm.	2fo	38.7	31.5	0	1219.05	1
NA	49.5	57.2	49.5 x 57.2 cm. plate 53.5 x 63 cm.	NA	57.2	49.5	0	2831.4	1
NA	42.5	53.3	42.5 x 53.3 cm. plate 44.5 x 57.7 cm.	2long	53.3	42.5	0	2265.25	1
NA	49.5	57.8	49.5 x 57.8 cm. plate 53.5 x 51.2 cm.	NA	57.8	49.5	0	2861.1	1
NA	48.5	57.3	48.5 x 57.3 cm. plate 51 x 59 cm.	NA	57.3	48.5	0	2779.05	1
NA	48	55.7	48 x 55.7 cm. plate 53.2 x 60.8 cm.	NA	55.7	48	0	2673.6	1
NA	48.5	56.8	48.5 x 56.8 cm. plate 52.6 x 62 cm.	NA	56.8	48.5	0	2754.8	1
NA	48.7	57.3	48.7 x 57.3 cm. plate 51 x 59.5 cm.	NA	57.3	48.7	0	2790.51	1
NA	48.3	56.7	48.3 x 56.7 cm. plate 52.5 x 62 cm.	NA	56.7	48.3	0	2738.61	1
NA	47.9	55.3	47.9 x 55.3 cm. plate 52 x 59 cm.	NA	55.3	47.9	0	2648.87	1
NA	22	31.5	31.5 x 22 cm. plate 42 x 26 cm.	2fo	31.5	22	0	693	1
NA	48.5	57	48.5 x 57 cm. plate 54 x 62 cm.	NA	57	48.5	0	2764.5	1
NA	48.6	56.5	48.6 x 56.5 cm. plate 53 x 61.5 cm.	NA	56.5	48.6	0	2745.9	1
NA	48.2	56	48.2 x 56 cm. plate 54 x 62 cm.	NA	56	48.2	0	2699.2	1
NA	49.6	70.7	70.7 x 49.6 cm. plate 75 x 54 cm.	NA	70.7	49.6	0	3506.72	1
NA	41.6	52.6	41.6 x 52.6 cm. plate 47.5 x 58 cm.	2long	52.6	41.6	0	2188.16	1
NA	48.6	59	59 x 48.6 cm. plate 60.5 x 52 cm.	NA	59	48.6	0	2867.4	1
NA	66.8	96.7	96.7 x 66.8 cm. plate n. 105 x 68.5 cm.	1to	96.7	66.8	0	6459.56	1
NA	46.8	64.4	46.8 x 64.4 cm. plate 52.3 x 68.7 cm.	NA	64.4	46.8	0	3013.92	1
NA	46.8	64.4	46.8 x 64.4 cm. plate 54.3 x 73.3 cm.	NA	64.4	46.8	0	3013.92	1
NA	48.2	55.5	48.2 x 55.5 cm. plate 53.5 x 58.5 cm.	NA	55.5	48.2	0	2675.1	1
NA	46.5	64.5	46.5 x 64.5 cm. plate n. 52.3 x 70.5cm.	NA	64.5	46.5	0	2999.25	1
NA	48.3	55.2	48.3 x 55.2 cm. plate 53.5 x 60 cm.	NA	55.2	48.3	0	2666.16	1
NA	41.5	53	41.5 x 53 cm. plate 56 x 66 cm.	2long	53	41.5	0	2199.5	1
NA	42.4	53	42.4 x 53 cm. plate 47.5 x 56.5 cm.	2long	53	42.4	0	2247.2	1
NA	38	52.2	38 x 52.2 cm. plate 54 x 65.5 cm.	2long	52.2	38	0	1983.6	1
NA	37.8	53	37.8 x 53 cm. plate 48.5 x 59 cm.	2long	53	37.8	0	2003.4	1
NA	58.5	81.5	81.5 x 58.5 cm. plate 94 x 63 cm.	1to	81.5	58.5	0	4767.75	1
NA	19.3	31.3	19.3 x 31.3 cm. plate 29.7 x 42.2 cm.	NA	31.3	19.3	0	604.09	1
NA	45.5	55.3	45.5 x 55.3 cm. plate 46.7 x 59.5 cm.	NA	55.3	45.5	0	2516.15	1
NA	47.6	56.2	56.2 x 47.6 cm. plate 65.5 x 53 cm.	NA	56.2	47.6	0	2675.12	1
NA	36.3	48	36.3 x 48 cm. plate n. 45 x 53.5 cm.	2fo	48	36.3	0	1742.4	1
NA	36.3	48.3	36.3 x 48.3 cm. plate n. 47 x 55.5 cm.	2fo	48.3	36.3	0	1753.29	1
NA	36.3	48	36.3 x 48 cm. plate n. 46 x 57 cm.	2fo	48	36.3	0	1742.4	1
NA	41.7	58	41.7 x 58 cm. plate 50 x 61.3 cm.	2long	58	41.7	0	2418.6	1
NA	68.5	100	68.5 x 100 cm. plate 76.5 x 105 cm.	1to	100	68.5	0	6850	1
NA	12	12.5	12 x12.5 cm. plate 13.2 x13 cm.	NA	12.5	12	0	150	1
NA	49	60.5	60.5 x 49 cm. plate 84.5 x 64.8 cm.	NA	60.5	49	0	2964.5	1
NA	46.2	53.8	46.2 x 53.8 cm. plate 53.5 x 62.7 cm.	NA	53.8	46.2	0	2485.56	1
NA	34	46	34 x 46 cm. plate 39.8 x 52.4 cm.	2fo	46	34	0	1564	1
NA	45.9	59	45.9 x 59 cm. plate 54.3 x 63.7 cm.	NA	59	45.9	0	2708.1	1
NA	49.1	57.6	49.1 x 57.6 cm. plate 52.5 x 60.7 cm.	NA	57.6	49.1	0	2828.16	1
NA	49.4	57.4	49.4 x 57.4 cm. plate 51.5 x 59 cm.	NA	57.4	49.4	0	2835.56	1
NA	49.3	57.5	49.3 x 57.5 cm. plate 54 x 63.3 cm.	NA	57.5	49.3	0	2834.75	1
NA	36.2	47	36.2 x 47 cm (41.2 x 55.6 cm ). plate 53 x 61.5 cm.	2fo	47	36.2	0	1701.4	1
NA	27.2	33.7	27.2 x 33.7 cm. plate 35 x 43 cm.	4long	33.7	27.2	0	916.64	1
NA	28.3	35.9	28.3 x 35.9 cm. plate 33.2 x 39 cm.	4long	35.9	28.3	0	1015.97	1
NA	27.2	33.5	27.2 x 33.5 cm. plate 30 x 34.7 cm.	NA	33.5	27.2	0	911.2	1
NA	19.3	26.4	19.3 x 26.4 cm. plate 25.6 x 33.2 cm.	4to	26.4	19.3	0	509.52	1
NA	48.3	57.5	48.3 x 57.5 cm. plate 53.5 x 65 cm.	NA	57.5	48.3	0	2777.25	1
NA	49	56	49 x 56 (63.7) cm. plate 53.7 x 66.5 cm.	NA	56	49	0	2744	1
NA	47.6	58.6	47.6 x 58.6 cm. plate 54 x 65.5 cm.	NA	58.6	47.6	0	2789.36	1
NA	48.5	59	48.5 x 59 cm. plate 53.5 x 62.5 cm.	NA	59	48.5	0	2861.5	1
NA	40.8	55.4	40.8 x 55.4 cm. plate 55.5 x 65 cm.	2long	55.4	40.8	0	2260.32	1
NA	43.5	55.2	43.5 x 55.2 cm. plate 51 x 61 cm.	2long	55.2	43.5	0	2401.2	1
NA	39.2	55.2	39.2 x 55.2 cm. plate 44 x 59 cm.	2long	55.2	39.2	0	2163.84	1
NA	38	51	38 x 51 cm. plate 51 x 62 cm.	NA	51	38	0	1938	1
NA	35.4	47.4	35.4 x 47.4 cm. plate 45 x 57 cm.	2fo	47.4	35.4	0	1677.96	1
NA	48.2	57	48.2 x 57 cm. plate 54.5 x 62.5 cm.	NA	57	48.2	0	2747.4	1
NA	49.8	57	49.8 x 57 cm. plate 54 x 65 cm.	NA	57	49.8	0	2838.6	1
NA	50.2	58.5	50.2 x 58.5 cm. plate 54.3 x 70.2 cm.	NA	58.5	50.2	0	2936.7	1
NA	43.7	52.5	43.7 x 52.5 cm. plate 54.7 x 62.5 cm.	NA	52.5	43.7	0	2294.25	1
NA	43.2	51.8	43.2 x 51.8 cm. plate 52.5 x 63 cm.	NA	51.8	43.2	0	2237.76	1
NA	44	53.2	44 x 53.2 cm.	NA	53.2	44	0	2340.8	1
NA	12	17	12 x 17 cm	NA	17	12	0	204	1
NA	62.5	94	94 x 62.5 cm. plate 65.5 x 96 cm.	1to	94	62.5	0	5875	1
NA	61	93	61 x 93 cm. plate 65.5 x 96 cm.	1to	93	61	0	5673	1
NA	58	99	58 x 99 cm. plate 62 x 102.5 cm.	1to	99	58	0	5742	1
NA	57	97.5	57 x 97.5 cm. plate 63.5 x 100.5 cm.	1to	97.5	57	0	5557.5	1
NA	49.3	57.4	49.3 x 57.4 cm. plate 53.5 x 64 cm.	NA	57.4	49.3	0	2829.82	1
NA	16.3	63	16.3 x 63 cm. plate 24.5 x 76.5 cm.	2long	63	16.3	0	1026.9	1
NA	19.5	30.5	19.5 x 30.5 cm. plate 21.5 x 34.5 cm.	NA	30.5	19.5	0	594.75	1
NA	20.9	31.7	20.9 x 31.7 cm. plate 23.3 x 33 cm.	2fo	31.7	20.9	0	662.53	1
NA	22.4	33	22.4 x 33 cm. plate 25.4 x 35.4 cm.	2fo	33	22.4	0	739.2	1
NA	28	31.8	31.8 x 28 cm. plate 39.5 x 47.5 cm.	NA	31.8	28	0	890.4	1
NA	31	40.5	40.5 x 31 cm. plate 47.7 x 38.8 cm.	2fo	40.5	31	0	1255.5	1
NA	56.4	86.7	56.4 x 86.7 cm. plate 62.5 x 91.5 cm.	1to	86.7	56.4	0	4889.88	1
NA	57	88	57 x 88 cm. plate 62.5 x 92.5 cm.	1to	88	57	0	5016	1
NA	30.8	36.4	30.8 x 36.4 cm. plate 36.5 x 43 cm.	4long	36.4	30.8	0	1121.12	1
NA	50.4	58.2	50.4 x 58.2 cm. plate 54 x 64 cm.	NA	58.2	50.4	0	2933.28	1
NA	44.2	53.4	44.2 x 53.4 cm. plate 53 x 62 cm.	NA	53.4	44.2	0	2360.28	1
NA	43.8	NA	43.8 x 43.8 cm. plate 56 x 68 cm.	NA	43.8	35	0	1533	1
NA	68	137	137 x 68 cm.	1to	137	68	0	9316	1
NA	29.2	38	38 x 29.2 cm. plate 40 x 31 cm.	2fo	38	29.2	0	1109.6	1
NA	18	NA	18 x 18 cm.	NA	18	18	0	324	1
NA	44.8	59.5	59.5 x 44.8 cm. plate 61.5 x 53 cm.	NA	59.5	44.8	0	2665.6	1
NA	21	30	21 x 30 cm. plate 24.7 x 33.7 cm.	NA	30	21	0	630	1
NA	46.3	57.8	46.3 x 57.8 cm. plate 52 x 62.3 cm.	NA	57.8	46.3	0	2676.14	1
NA	90.5	91	90.5 x 91 cm. plate 94 x 94 cm.	NA	91	90.5	0	8235.5	1
NA	56.5	103	56.5 x 103 cm.	1to	103	56.5	0	5819.5	1
NA	56	98	56 x 98 cm.	1to	98	56	0	5488	1
NA	24	42.5	42.5 x 24 cm. plate 47 x 28.5 cm.	2fo	42.5	24	0	1020	1
NA	23	30.7	30.7 x 23 cm. plate 42.5 x 30.8 cm.	NA	30.7	23	0	706.1	1
NA	42.5	55	55 x 42.5 cm. plate 58.5 x 46.7 cm.	2long	55	42.5	0	2337.5	1
NA	43.5	54	54 x 43.5 cm. plate 59.5 x 47 cm.	2long	54	43.5	0	2349	1
NA	41.5	71.5	41.5 x 71.5 cm. plate 46 x 74.7 cm.	2long	71.5	41.5	0	2967.25	1
NA	39.3	45	39.3 x 45 cm. plate 45.5 x 53 cm.	NA	45	39.3	0	1768.5	1
NA	39	45	39 x 45 cm. plate 45.5 x 53 cm.	NA	45	39	0	1755	1
NA	46.5	58.5	46.5 x 58.5 cm. plate 50.3 x 61.8 cm.	NA	58.5	46.5	0	2720.25	1
NA	56	81	56 x 81 cm.	1to	81	56	0	4536	1
NA	55	75	55 x 75 cm.	1to	75	55	0	4125	1
