gatherings.original	width.original	height.original	original	gatherings	width	height	obl	area	count
NA	40.3	55.4	40.3 x 55.4 cm. plate 45 x 60 cm.	2long	55.4	40.3	0	2232.62	1
NA	40.8	54.4	40.8 x 54.4 cm. plate 45 x 60 cm.	2long	54.4	40.8	0	2219.52	1
NA	40.5	53.5	40.5 x 53.5 cm. plate 45 x 60 cm.	2long	53.5	40.5	0	2166.75	1
NA	40	55	40 x 55 cm. plate 45 x 60 cm.	2long	55	40	0	2200	1
NA	40.5	54.4	40.5 x 54.4 cm. plate 45 x 60 cm.	2long	54.4	40.5	0	2203.2	1
NA	41.2	55.4	41.2 x 55.4 cm. plate 45 x 60 cm.	2long	55.4	41.2	0	2282.48	1
NA	40.4	53.5	40.4 x 53.5 cm. plate 45 x 60 cm.	2long	53.5	40.4	0	2161.4	1
NA	41	54.5	41 x 54.5 cm. plate 45 x 60 cm.	2long	54.5	41	0	2234.5	1
NA	39.5	55.4	39.5 x 55.4 cm. plate 45 x 60 cm.	2long	55.4	39.5	0	2188.3	1
NA	41.3	55.4	41.3 x 55.4 cm. plate 45 x 60 cm.	2long	55.4	41.3	0	2288.02	1
NA	NA	8	8 cm.	NA	8	6	0	48	1
NA	NA	19	19 cm. +	NA	19	13	0	247	1
NA	63.3	96	96 x 63.3 cm. plate 103 x 71 cm.	1to	96	63.3	0	6076.8	1
NA	64.7	98.3	98.3 x 64.7 cm. plate 103.5 x 71 cm.	1to	98.3	64.7	0	6360.01	1
NA	64	95	95 x 64 cm. plate 103 x 70.5 cm.	1to	95	64	0	6080	1
NA	65	96	96 x 65 cm. plate 103.5 x 71 cm.	1to	96	65	0	6240	1
NA	63	94.7	63 x 94.7 cm. plate 71 x 103 cm.	1to	94.7	63	0	5966.1	1
NA	62.3	94.3	62.3 x 94.3 cm. plate 71 x 103.5 cm.	1to	94.3	62.3	0	5874.89	1
NA	63.7	96.7	96.7 x 63.7 cm. plate 103.5 x 71 cm.	1to	96.7	63.7	0	6159.79	1
NA	64	96.3	64 x 96.3 cm. plate 71 x 103.5 cm.	1to	96.3	64	0	6163.2	1
NA	63.7	96.5	63.7 x 96.5 cm. plate 71 x 103.5 cm.	1to	96.5	63.7	0	6147.05	1
NA	65.3	97.3	97.3 x 65.3 cm. plate 103.5 x 71 cm.	1to	97.3	65.3	0	6353.69	1
NA	64.3	96.5	96.5 x 64.3 cm. plate 103.5 x 71 cm.	1to	96.5	64.3	0	6204.95	1
NA	52.3	77	52.3 x 77 cm. plate 60.2 x 85 cm.	1to	77	52.3	0	4027.1	1
NA	71.5	77.7	77.7 x 71.5 cm. plate 84.5 x 77.5 cm.	1to	77.7	71.5	0	5555.55	1
NA	70	103	103 x 70 cm.	1to	103	70	0	7210	1
NA	70	91	70 x 91 cm.	1to	91	70	0	6370	1
NA	60.3	89.3	89.3 x 60.3 cm. plate 98 x 68 cm.	1to	89.3	60.3	0	5384.79	1
NA	55	78.7	78.7 x 55 cm. plate 82.5 x 62 cm.	1to	78.7	55	0	4328.5	1
NA	53.2	76.2	76.2 x 53.2 cm. plate 84 x 60 cm.	1to	76.2	53.2	0	4053.84	1
NA	66.3	91.5	91.5 x 66.3 cm. plate 94.5 x 68.5 cm.	1to	91.5	66.3	0	6066.45	1
NA	41.5	79	79 x 41.5 cm. plate 81.5 x 46.5 cm.	1to	79	41.5	0	3278.5	1
NA	69	99	69 x 99 cm.	1to	99	69	0	6831	1
NA	64	94	94 x 64 cm.	1to	94	64	0	6016	1
NA	73	105	105 x 73 cm.	1to	105	73	0	7665	1
NA	73	103	73 x 103 cm.	1to	103	73	0	7519	1
NA	70	102	70 x 102 cm.	1to	102	70	0	7140	1
8vo	NA	15	8to(15 cm)	8vo	15	11	0	165	1
4to	NA	19	4to(19 cm)	4to	19	16	0	304	1
NA	47.5	58.2	47.5 x 58.2 cm. plate 51.2 x 64.8 cm.	NA	58.2	47.5	0	2764.5	1
4to	21	26	4to(21 x 26 cm)	4to	26	21	0	546	1
NA	53.3	69.8	53.3 x 69.8 cm. plate 59 x 74 cm.	NA	69.8	53.3	0	3720.34	1
NA	30.1	35.2	35.2 x 30.1 cm. plate 42.5 x 35.3 cm.	4long	35.2	30.1	0	1059.52	1
NA	93	130	130 x 93 cm.	NA	130	93	0	12090	1
NA	72	118.2	118.2 x 72 cm. plate 124 x 76 cm.	1to	118.2	72	0	8510.4	1
NA	38.5	57.5	plates n. 57.5 x 38.5 cm.	2long	57.5	38.5	0	2213.75	1
NA	92	129	129 x 92 cm.	NA	129	92	0	11868	1
NA	50.3	89.7	50.3 x 89.7 cm. plate 53.3 x 97 cm.	1to	89.7	50.3	0	4511.91	1
NA	59	84	84 x 59 cm.	1to	84	59	0	4956	1
NA	44.6	61.2	61.2 x 44.6 cm. plate 68.8 x 51 cm.	NA	61.2	44.6	0	2729.52	1
NA	33.8	50.4	50.4 x 33.8 cm. plate 56 x 37.7 cm.	2fo	50.4	33.8	0	1703.52	1
NA	46	52	46 x 52 cm. plate 50.7 x 64.5 cm.	NA	52	46	0	2392	1
NA	34	50.4	50.4 x 34 cm. plate 58.3 x 40.5 cm.	2fo	50.4	34	0	1713.6	1
NA	42	54	54 x 42 cm. plate 60.5 cm x 48 cm.	2long	54	42	0	2268	1
NA	25	42.8	25 x 42.8 cm. plate 35.8 x 50.2 cm.	2fo	42.8	25	0	1070	1
NA	36.5	49	36.5 x 49 cm.	2fo	49	36.5	0	1788.5	1
NA	23.2	33.5	23.2 x 33.5 cm. plate 25.5 x 35.7 cm.	2fo	33.5	23.2	0	777.2	1
NA	54.3	66	66 x 54.3 cm. plate 73.7 x 62 cm.	NA	66	54.3	0	3583.8	1
NA	54.5	66.3	66.3 x 54.5 cm. plate 73.7 x 62 cm.	NA	66.3	54.5	0	3613.35	1
NA	23	33.5	23 x 33.5 cm.	2fo	33.5	23	0	770.5	1
NA	28	35.3	35.3 x 28 cm. plate 43.2 x 32.8 cm.	4long	35.3	28	0	988.4	1
NA	18.5	26	26 x 18.5 cm. plate 31.7 x 23 cm.	NA	26	18.5	0	481	1
NA	47.2	69.8	69.8 x 47.2 cm.	NA	69.8	47.2	0	3294.56	1
NA	31.3	75.8	75.8 x 31.3 cm. plate 83.5 x 36.5 cm.	1to	75.8	31.3	0	2372.54	1
NA	45.7	58.3	58.3 x 45.7 cm. plate 67.3 x 54 cm.	NA	58.3	45.7	0	2664.31	1
NA	40.2	41.4	40.2 x 41.4 cm. plate 46.2 x 48.3 cm.	NA	41.4	40.2	0	1664.28	1
NA	40.2	41.4	40.2 x 41.4 cm. plate 46.2 x 48.6 cm.	NA	41.4	40.2	0	1664.28	1
NA	18.3	25.8	25.8 x 18.3 cm. plate 35.6 x 25.3 cm.	NA	25.8	18.3	0	472.14	1
NA	17	25.5	25.5 x 17 cm. plate 29.5 x 23 cm.	NA	25.5	17	0	433.5	1
NA	17	25.5	25.5 x 17 cm. plate 29.5 x 22.8 cm.	NA	25.5	17	0	433.5	1
NA	17	25.5	25.5 x 17 cm. plate 29.4 x 22.7 cm.	NA	25.5	17	0	433.5	1
NA	17	25.7	25.7 x 17 cm. plate 29.3 x 22.8 cm.	NA	25.7	17	0	436.9	1
NA	32	48.2	48.2 x 32 cm. plate 58.2 x 40.7 cm.	2fo	48.2	32	0	1542.4	1
NA	47.5	69.5	69.5 x 47.5 cm.	NA	69.5	47.5	0	3301.25	1
NA	32	48.2	48.2 x 32 cm. plate 49.5 x 34.3 cm.	2fo	48.2	32	0	1542.4	1
NA	32	48.2	48.2 x 32 cm. plate 50.7 x 34 cm.	2fo	48.2	32	0	1542.4	1
NA	32	48.2	48.2 x 32 cm. plate 58 x 40.8 cm.	2fo	48.2	32	0	1542.4	1
NA	32	48	48 x 32 cm. plate 54.2 x 38 cm.	2fo	48	32	0	1536	1
NA	47	69.2	69.2 x 47 cm. plate 79.5 x 55 cm.	NA	69.2	47	0	3252.4	1
