author_name	Count
Mustakallio, Jooseppi	 22
Yrjö-Koskinen, Yrjö Sakari	 22
Rosendahl, Axel	 22
Relander, Lauri Kristian.	 22
Böök, Einar	 22
Godenhjelm, B. F.	 22
Dickens, Charles.	 22
Kautsky, Karl.	 22
Andersen, H. C.	 22
Cederberg, A. R.	 22
Johnsson, August Mikael.	 21
Genetz, Arvid	 21
Erslev, Edouard.	 21
Danielson, Joh. Rich.	 21
Mellberg, E. J.	 21
Tallgren, A. M.	 21
Inha, I. K.	 21
Schiller, Friedrich von.	 21
Sandelin, L. H.	 21
Hermanson, Robert.	 21
Caine, Hall.	 21
Paasonen, Heikki.	 21
Haataja, Kyösti.	 21
Lindelöf, Ernst.	 21
Erich, Rafael	 21
Jókai, Mór.	 21
Aro, J. E.	 21
Cajander, A. K.	 21
Forstén, T. K.	 21
Verne, Jules.	 21
Eurén, G. E.	 20
Wallin, Olai	 20
Aspelin, J. R.	 20
Kihlman, Alfred Oswald.	 20
Freudenthal, A. O.	 20
Roos, Magnus Friedrich.	 20
Synnerberg, Carl	 20
Mela, Aukusti Juhana.	 20
Funcke, Otto.	 20
Donner, Otto	 20
Suomalainen, Samuli	 20
Klockars, Johannes	 20
Elfving, Fredrik	 20
Schybergson, Emil	 20
Frosterus-Segerstråle, Hanna.	 20
Nylander, John William.	 20
Mörne, Arvid.	 20
Levander, K. M.	 20
Lunde, Albert G.	 20
Ingman, Lauri	 20
Voionmaa, Väinö	 20
Blink, Carl.	 20
Häggman, Ossian.	 20
Granfelt, A. A.	 20
Gossner, Johannes.	 20
Renvall, Heikki	 20
Helsingius, Gustaf Adolf.	 20
Bonsdorff, Adolf von.	 20
Lilius, Axel.	 20
Elfving, Östen.	 20
Kauppis-Heikki	 20
Alpi, Eero	 20
Berndtson, Fredrik	 19
Lagus, Gabriel	 19
Estlander, Carl Gustaf	 19
Smiles, Samuel.	 19
Lönnbeck, Gustaf F.	 19
Strömborg, J. E.	 19
Genetz, Arvid Th.	 19
Hjelt, Otto Edvard August	 19
Karsten, T. E.	 19
Sjöblom, Hannes	 19
Schvindt, Theodor.	 19
Gripenberg, Lennart	 19
Mellin, Hj.	 19
Häyhä, Johannes	 19
Scott, Walter.	 19
Hintikka, S. V.	 19
Cannelin, Knut.	 19
Sederholm, C. R.	 19
Bergh, Edv.	 19
Melander, H. L.	 18
Vest, Eliel.	 18
Råbergh, Herman	 18
Jahnsson, Yrjö.	 18
Palmén, J. A.	 18
Arwidsson, Adolf Ivar	 18
Sundell, A. F.	 18
Tallqvist, Knut.	 18
Nyström, Solmu.	 18
Krummacher, Friedrich Wilhelm.	 18
Setälä, Helmi	 18
Ursin, N. R. af	 18
Rantamala, Irmari	 18
Sirelius, U. T.	 18
Ibsen, Henrik.	 18
Ruotsalainen, Armas.	 18
Rosenqvist, I. A.	 18
Brofeldt, Pekka	 18
Gray, Alice.	 18
Liro, J. I.	 18
Järvinen, Kyösti	 18
Blomqvist, Edv.	 18
Hagman, Tyko	 18
Zola, Émile.	 18
Modeen, Alexander Edvard	 17
Westerback, Johan.	 17
Geitlin, Johan Gabriel	 17
Lemström, Selim	 17
Wecksell, Josef Julius.	 17
Vendell, Herman	 17
Key, Ellen.	 17
