publisher	Count
tryckt af Joh. Kämpe, Kongl. acad. boktr.	  24
Lutherilainen Evankeliumi-yhdistys	  23
Helsingfors-Posten	  23
Akademiska Bokhandeln	  23
Maanmittaushallitus	  23
Suom. sos. kustannusyhtiö	  23
J. C. Frenckell & Son	  23
tryckt hos directeuren och kongl. boktryckaren i stor-förstendömet Finland, Jacob Merckell	  23
Kivekäs	  22
KS. kp.	  22
Hämäläinen	  22
Chr. Ev. Barck	  22
tryckt hos direct. Lars Salvius	  22
Lillja	  21
K. F. Kivekäs	  21
Waseniuska bokhandeln, distr.	  21
G. L. Söderström	  21
Finska Sjömansmissionssällskapet	  21
Helsingfors universitet	  21
Kansainvälinen raamatuntutkijain seura	  21
Andersin	  21
Pyhäkouluyhdistys	  21
[J. H. Werner]	  21
impressit direct. & typogr. magn. duc. Finland. Jacob Merckell	  21
Bergbom	  20
Folkupplysningssällkapet	  20
[Finska fornminnesföreningen]	  20
Landtbruksstyrelsen	  20
Brage	  20
Aikain Vartija	  20
Suomalainen Kirjallisuuden Seura	  20
Suomen sos.-dem. nuorisoliitto	  20
Suomen kirkkohistoriallinen seura	  20
Pekka Brofeldt	  20
Aikain Wartija	  20
Amerikan Sanomat	  20
[Johan Larsson Wall]	  20
Uudenmaan Eläinsuojeluyhdistys	  19
Bertrand	  19
Stolpe	  19
Bärlund	  19
Oulun kirjapaino-osakeyhtiö	  19
Emil Hagelberg	  19
Päivälehden kp.	  19
Svenska litteratursälskapet i Finland	  19
W. Hagelstam, distr.	  19
[Finsk militär tidskrift]	  19
[Folkupplysningssällskapet]	  19
Akademiska bokhandeln	  19
Finska Vetenskaps-Societeten	  19
Lindstedts antikvariska bokhandel	  19
M. V. Vuolukka	  19
Försäkringsaktiebolaget Kaleva	  19
[s.n]	  19
J. F. Granlund	  19
Jyväskylän kirjapaino	  19
[Johan Höjers encka]	  19
tryckt uti Kongl. tryckeriet	  19
[Kongl. tryckeriet]	  19
tryckt hos direct. och kongl. boktr. i stor-förstendömet Finland, Jacob Merckell	  19
[Wickström]	  18
Wesander	  18
Luth. Evankeliumi-yhdistys	  18
Finska vetenskapsspcieteten	  18
Finlands Utsädesförening	  18
Duncker & Humblot	  18
Finska Statsjärnvägarna	  18
H. Nurhonen	  18
[Förf.]	  18
Nuorten miesten kristillinen yhdistys	  18
Amerikan sanomat	  18
Duodecim-seura	  18
Sanoma	  18
tryckt hos Joh. C. Frenckell	  18
[E. Flodström]	  18
Suomen Eläinsuojelusyhdistys	  17
[Suomen luotsi- ja majakkalaitoksen ylihallitus]	  17
Frenckell :;Edlund	  17
Lindeberg	  17
Société néophilogique de Helsinki	  17
Tampereen kirjapaino-osakeyhtiö	  17
Lilius ja Hertzberg	  17
[Finsk kvinnoförening]	  17
Valo	  17
Hagelstams bokhandel	  17
Turistföreningen	  17
P. R. Wiitanen	  17
[Suomalainen puolue]	  17
Helsingin nuorten miesten kristillinen yhdistys	  17
Pellervo-seura	  17
Tietosanakirja	  17
Suomen metsänhoitoyhdistys Tapio	  17
Lääkintöhallitus	  17
Rauhan sanomat	  17
tryckt hos Johan Ch. Frenckell	  17
Sylviayhdistys	  16
Lindgren	  16
Hufvudstadsblad'in kirjapaino	  16
Bergdahl	  16
[Svenska folkskolans vänner]	  16
[Finska pappersindustriidkarenes förbund]	  16
Akademiska Bokhandeln, distr.	  16
Frälsningsarmén	  16
Kansallismielinen nuorisoliitto	  16
Suomalaisen puolueen kanslia	  16
Karjalan veljeskunta	  16
tekijä	  16
Minerva	  16
Hämeen sanomain kirjapaino	  16
Suomi	  16
Almqvist & Wiksell	  16
B. B. Bergdahl	  16
[Merckell]	  16
tryckt hos Peter Jöransson Nyström	  16
H. Fougt	  16
tryckt hos Iohan Christopher Merckell	  16
impressit Johannes Christophorus Frenckell	  16
Kaiserlichen Akademie der Wissenschaften	  15
J. W. Lillja	  15
[Emil Hagelberg]	  15
Zilliacus	  15
Kirjoittaja	  15
Nykterhetens Vänner	  15
G. W. Edlunds förlag	  15
Geologiska Kommissionen :;Akademiska Bokhandeln, jakaja	  15
Sos.-dem. eduskuntaryhmä	  15
Akademiska Bokhandeln, jakaja	  15
K. Kaatra	  15
Savon työväen sanomalehti-osuuskunta	  15
Tuberkulosin vastustamisyhdistys	  15
Suomen säästöpankkiyhdistys	  15
Jyväskylän kaupunki	  15
Akateeminen kirjakauppa, jakaja	  15
Suomen geologinen toimisto	  15
J. H. Werner	  15
tryckt hos Johan Christoph. Frenckell	  15
J. Simelii arfvingar	  14
[N. M. Lindh]	  14
tryckt hos Carl Delén	  14
[Kyrkomötet]	  14
Päivälehden kirjapaino	  14
Työväen sanomalehti-osakeyhtiö	  14
Ljus	  14
[Finska Metallindustrins Arbetsgifvareförbund]	  14
Suomalaisen puolueen naisvaliokunta	  14
Osuuskunta Väinämöinen	  14
Suomen muinaismuisto-yhdistys	  14
Finska vetenskapssocieteten	  14
Kuopion uusi kp.	  14
Centraltryckeriet	  14
excusa â Petro Hansonio Acad. typ.	  14
Kewät-yhtiö	  13
Konkordia-liitto	  13
Frenckell :;Granlund	  13
Länsisuomalais-osakunta	  13
Kurikka	  13
Backman	  13
tryckt hos J. C. Frenckell & son	  13
Öhman	  13
Karjalan kirjakauppa- ja kustannusliike	  13
Hemma och Utes redaktion	  13
Finska Historiska Samfundet	  13
[Länsisuomalaisten esitelmätoimikunta]	  13
[Föreningen Martha] :;Akademiska Bokhandeln, jakaja	  13
W. Söderström	  13
F. Tilgmann	  13
Edlundin kirjakauppa	  13
Geologiska Kommissionen :;Akademiska bokhandeln, jakaja	  13
Raivaajan kirjapaino	  13
Väinämöisen kirjakauppa	  13
H. W. Marjamaa	  13
Statsrådet	  13
Terveydenhoitoyhdistys	  13
B. E. Martin	  13
Lindstedt'in antikvaarinen kirjakauppa	  13
Suomen maantieteellinen yhdistys	  13
Arvi A. Karisto	  13
Suomen matkailijayhdistys	  13
Olán	  13
G. A. Ekholm	  13
excudebat Petrus Wald Acad. typogr.	  13
[Georg Wilhelm Londicer]	  13
Suomen Matkailijayhdistys	  12
Toimittajan kustannuksella	  12
Hufvudstadsblad'in kirjapaino :;Edlund	  12
Karsten	  12
J. Karsten	  12
Unggren	  12
litteris Joh. Christoph. Frenckell & fil.	  12
Pyhän Sergein ja Hermanin veljeyskunta	  12
O. B. Blomfelt	  12
O. W. Backman	  12
Kauppakp.	  12
G. W. Edlund, distr.	  12
Finlands Svenska Arbetareförbund	  12
O.y. Valistus	  12
S. Hirzel	  12
Öfversättaren	  12
Waseniuska Bokhandeln, jakaja	  12
W. Bensow	  12
Luukkonen ja Kumpp.	  12
Tytty Lagerstedt	  12
Lantbruksstyrelsen	  12
Lutherska evangeliföreningen i Finland	  12
[Suomen Keisarillinen Aleksanterin yliopisto]	  12
Kustannusliike Tarmo	  12
Etelä-Pohjanmaan nuorisoseura	  12
K. Valovuori	  12
Suomen muinaismuistoyhdistys	  12
[Suomen historiallinen seura]	  12
Suomen N. M. K. Y. ja N. K. Y. liitto	  12
Uususkonnollinen kustannusliike	  12
Finska Forstsamfundet	  12
Työmies kustannusyhtiö	  12
Veckans Krönikas redaktion	  12
Kustannusosakeyhtiö Kirja	  12
[Johan Wall]	  12
excudebat Petrus Hansonius Acad. typ.	  12
tryckt hos Anders Zetterberg	  12
tryckt hos directeuren och kongl. boktr. i stor-förstendömet Finland, Jacob Merckell	  12
typis Johannis Christophori Frenckell	  12
Helsingin Soutuklubi	  11
Lit. F. Livendal'	  11
F. Liewendals lithogr. tr.	  11
Frenckell & Son	  11
Suomen Muinaismuisto-yhdistys	  11
Frenckelliläinen kirjapaino	  11
C. J. Wikberg	  11
Uusi Suometar	  11
Helminen	  11
Hissa	  11
Länkelä	  11
Bibel-sällskapets boktryckeri	  11
Suomen Lähetys-seura	  11
Axel E. Lindgren	  11
Luth. Evang. fören.	  11
Helsingfors stad	  11
A. C. McClurg	  11
Etelä-Savon kirjapaino	  11
Suomen lähetys-seura	  11
Helsingfors Stads Elektricitetsverk	  11
[Landtbruksstyrelsen]	  11
Alb. Bonnier	  11
[Föreningen för arbetareskydd och socialförsäkring i Finland]	  11
Satakunnan kp.	  11
Lars Hökerberg	  11
Keisarillinen Suomen senaatti	  11
Breitkopf & Härtel	  11
Missionsbokhandeln	  11
[tekijä]	  11
Författarens förlag	  11
R. Boldt	  11
Suomen suoviljelysyhdistys	  11
N. P. Karbasnikoff	  11
Kustannus oy. Kirja	  11
Helluntaiherätys	  11
Lindstedtin antikvaarinen kirjakauppa	  11
Suomalainen teologinen kirjallisuusseura	  11
Martta-yhdistys	  11
SKS	  11
Englannin ja ulkomaan bibliaseura	  11
Osuuskunta Veljeys	  11
Savon työväen sanomalehti- ja kirjapaino-osuuskunta	  11
Koulutarpeiden keskusliike	  11
Suomen eläinsuojelusyhdistys	  11
[s.l.]	  11
[Frenckell]	  11
tryckt aff Johan Winter	  11
tryckt af Joh. Kiaempe, Kongl. acad. boktr.	  11
tryckt af Joh. Kiämpe, Kongl. Acad. boktr.	  11
tryckt af Peter Jöransson Nyström	  11
literis Wernerianis	  11
[Anders Björkman]	  11
Pečatano v' Glavnom' Gidrografičeskom' Upravlenìi Morskogo Ministerstva	  10
Finska Litteratur-sällskapet	  10
Maanmittauksen ylihallitus	  10
Wilén :;Edlund	  10
Holmström	  10
Wasa Tidning	  10
Grönlund	  10
P. Tikkanen	  10
Nylenius	  10
Lagerspetz	  10
Blomfelt	  10
Hj. Hagelberg	  10
Raittiuden ystäwät	  10
Pohjoismaiden merimieslähetys	  10
Lutherilainen evankeliumi-yhdistys	  10
W. ja G.	  10
Pohjalainen	  10
Historiska Samfundet	  10
Geol. kommissionen	  10
[Weilin & Göös]	  10
Edlundska bokhandeln i distr	  10
[Nyländska afdelningen]	  10
Hufvudstadsbladet	  10
[Finska Sparbanksföreningen]	  10
Ammattilaisten kirjapaino	  10
Reino Drockila	  10
Finska Sågvärksägarne	  10
S. Karger	  10
Macmillan	  10
Ej i bokhandeln	  10
Osuuskunta Länsi-Suomi	  10
G. Ronelius	  10
Nuorsuomalaisen puolueen kanslia	  10
Finlandia	  10
Rauman kirjapaino-o.y.	  10
Turistföreningen i Finland	  10
Ilkka	  10
Suom.-lut. kustannusliike	  10
Suomalainen sosialistinen kustannusyhtiö	  10
Lindstedt	  10
Suomen kuuromykkäin liitto	  10
Toimittajat	  10
G. W. Edlundin kustannus	  10
Sosialidemokratinen naisliitto	  10
Suomen pyhäkouluyhdistys	  10
Kustannusliike Minerva	  10
Vilho Leikas	  10
Osuuskunta Visa	  10
O. Palander	  10
Eero Erkko	  10
Suomen osuuskauppojen keskusosuuskunta	  10
Finlands svenska nykterhetsförbund	  10
typis Petri Georgii Nyström	  10
tryckt hos Johan C. Frenckell	  10
tryckt hos Johan A. Carlbohm	  10
tryckt hos Peter Hesselberg	  10
impressum apud viduam Reg. Acad. typogr. Joh. C. Frenckell	  10
