publisher	Count
Agricola Kustannus-o.y.	   2
[Utgivare]	   2
Distributionsaffären Express	   2
Svanbäck & komp.	   2
[Föreningen för bekämpandet av tuberkulosen]	   2
Svanbäck & C:o	   2
[Svenska fruntimmersskolan i Wiborg]	   2
J. C. Hinrichs	   2
Helsingfors Frivilliga Brandkår	   2
Antti Mäkinen	   2
[Suomen kansallismuseo]	   2
Helsingfors Centraltryckeri och bokbinderiaktiebolag	   2
Söderström & C:o, jakaja	   2
Édition Atar	   2
Gösta Malmgren, distr.	   2
Finlands Svenska Ungdomensförbund	   2
Föreningen Ålands Vänner	   2
Otto Wigand	   2
Kirjapaino 'Sanan Valta', jakaja	   2
[Finska Sågverksegareförening]	   2
F. Vieweg & Sohn.	   2
Werner Klinkhardt	   2
G. Fischer	   2
Veit & C:o	   2
A. Hautala	   2
Ylioppilaiden keskusteluseura	   2
F. Didot & C:ie	   2
Edlundska bokhandeln [distribution]	   2
Finska Frälsningsarmén	   2
Giard & Brière	   2
Index	   2
Hvita Bandet	   2
J. Looström & Komp.	   2
[Föreningen U. V.]	   2
Svenska Teaterföreningen	   2
Lounas-osuuskunta	   2
E. G. Palmén	   2
[Finska Fjäderfä- och Biskötselföreningen]	   2
[Suomen rakennusmestarit]	   2
Philipp Reclam	   2
Studentkåren	   2
Helsingfors Stentryckeri	   2
Pargas Kalkbergs Aktiebolag	   2
Akademiska Sångföreningen	   2
Socialdemokratiska partiet i Finland	   2
Pyhin hallitsevainen synoodi	   2
O. Harrassowitz	   2
Red. der Finnisch-ugrischen Forschungen	   2
Otto Harrassowitz	   2
Waseniuska Bokhandeln	   2
Ilarejo Esperantista	   2
A. Pedone	   2
Hämeenläänin pohjoinen vaalipiiri	   2
Pehr Ulrik Florins stiftelse	   2
Helsingin NMKY	   2
Stadens eget förlag	   2
[Svenska Folkpartiet]	   2
Kustannus-oy	   2
Västfinska Ungdomsförbundet	   2
Augustana Book Concern	   2
Finska Kyrkohistoriska Samfundet	   2
Viborgs stad	   2
Suomlaisen Kirjallisuuden Seura	   2
Suomen metsänhoitoyhduistys Tapio	   2
Yrjö Weilin & C:o	   2
Finska Sjöräddningssällskapet	   2
Bernard Grasset	   2
Juho Nurhonen	   2
Helsingin uusi kirjapaino o.y.	   2
F. B. K.	   2
[Finska Handelsdelegationen]	   2
[F. F. och E. Förening]	   2
Länsi-Suomi	   2
Nyländska avdelningen	   2
G. W. Wilén ja Kumpp.	   2
Suomen vapaan Kiinan lähetys	   2
Maatalousseurojen neuvojain liiton puutarha-ammattiosasto	   2
Ammatillinen liittovaliokunta	   2
Agitatsionivaliokunta	   2
Kutoma- ja paperiteollisuus	   2
Suomen lakimiehet	   2
Mikkelin läänin maanviljelysseura	   2
Hämeen läänin pohjoisen vaalipiirin sosialidemokratinen piiritoimikunta	   2
Vaasan läänin eteläinen vaalipiiri	   2
Amerikan suomalaisen kirjallisuuden seura	   2
Keski-Savon kansanopisto	   2
Sysmän pitäjä	   2
Kansan novellikirjasto	   2
Keisarillisen Suomen senaatti	   2
[Landtbruksutställning]	   2
Förbundets mellan K. F. U. M. och U. K. F. förlag	   2
Olsens Boghandel	   2
Erich Reiss	   2
Ilmoitustoimisto Hermes	   2
Yrjö Weilin [distr.]	   2
Harrison & Sons	   2
A. Pichlers Witwe & Sohn	   2
Schleicher	   2
Ateneum	   2
Sosialidemokratinen nuorisoliitto	   2
Aikain Vartija Förlags A. B.	   2
Juridiska Studentfakultetens förlag	   2
[Nyländska Jaktklubben]	   2
G. E. C. Gad	   2
[Mercator]	   2
Likbränningsföreningen	   2
Palvelijain liitto	   2
K. F. U. K:s bokhandel, distr.	   2
Kvinnosaksförbundet Unionen	   2
Borgå Lyceum	   2
Finska Sparbanksföreningen	   2
Kustannusyhtiö Maanviljelyskirjasto	   2
Turun kansalaisjärjestö	   2
Fyren	   2
Karjalan työv. sanomalehti-osuuskunta	   2
Lindstedts Antikvariska Bokhandel	   2
Helsingin Sentraalikirjapaino	   2
Kansan Lehti	   2
J. Hörning	   2
Landtdagsbiblioteket	   2
Statens Historiska Museum	   2
[Konstsamlingarna i Ateneum]	   2
[Åbo industriutställning]	   2
Stadsfullmäktige	   2
Finska Apotekareföreningen	   2
Luth. evank.-yhdistys	   2
Tampereen työväenopisto	   2
Nordiska Förlaget	   2
Ratamestari- ja esimiesyhdistys	   2
Verlagsbuchhandlung Bethel	   2
Akademiska Bokhandeln i distr	   2
J. C. Hinrichs'sche Buchhandlung	   2
Arbetets förlag	   2
E. Pierson	   2
Henkivakuutus-o.y. Kaleva	   2
Liittohallinto	   2
O. Wihantola [Jakaja]	   2
Suomen opettajayhdistys	   2
Nordin & Josephson	   2
Granberg'in taideteollisuus-o.y.	   2
J. C. B. Mohr	   2
Suomen liikeapulaisyhdistys	   2
Viipurin työväen sanomalehtiosuuskunta	   2
Helios, jakaja	   2
Nuorten valistusliitto	   2
Agricola kustannus-o.y.	   2
Alex Halonen	   2
Roneliuksen kirjakauppa	   2
[Wiborgs Konstvänner]	   2
'Arbetets' förlag	   2
Haapajärven kunta	   2
J. M. Dent	   2
Työväen sanolehti-o.y.	   2
Otava [Jakaja]	   2
[Föreningen Ålands vänner]	   2
Mustalaislähetyksen keskustoimisto	   2
Lina Enroth	   2
M. Rosnell	   2
Puttkammer & Mühlbrecht	   2
Helsingfors Frimärkssamlareförening	   2
Socialdemokratiska Partibyrån	   2
Nuori Suomi	   2
Tidskriften Lukutupa	   2
Suomen rakennusmestariliitto	   2
V. Solstrand	   2
Åhlen & Åkerlund	   2
Huittisten kansanopisto	   2
Keski-Suomen työväki	   2
[Käsityönopettajat]	   2
[Åbo Tidning]	   2
Finlands Handelsresandeförening	   2
Tampereen piirin naisten agitatsionikomitea	   2
Jokamiehen Viikkolehti	   2
J.Ehrlich	   2
J. O. Kuosmanen	   2
K. J. Gummerus o.y.	   2
Edlundin kirjakauppa [Jakaja]	   2
Suom.-amer. kustannusyhtiön kp.	   2
Åbo afdelning	   2
Nuorsuomalainen puolue	   2
Suomen ev.-lut. pyhäkouluyhdistys	   2
[Kuparialueen raittiusliitto]	   2
Rautatiekomitea	   2
[Borgå gymnasister]	   2
Suomal. sos. kustannusyhtiö	   2
William Heinemann	   2
Kustannus-o.y. Osmo	   2
Voss	   2
Otto Anders	   2
The Robert Clarke Company	   2
Rauhan sanomain kustannusliike	   2
[Limingan kansanopistolaisliitto]	   2
Koti ja yhteiskunta	   2
Pohjanmaan työväen osuuskirjapaino	   2
Osuuskunta	   2
Gösta Grotenfelt	   2
Helsingfors Bokhandel	   2
Suomalaisen puolueen kanslia [jakaja]	   2
P. Virkkunen	   2
Oulun uusi kp.	   2
Helsingin kaupungin poliisilaitos	   2
F. S. Eljas Pauanne	   2
Keis. Suomen talousseura	   2
Kansalliskp.	   2
Pohjan Tähti	   2
Suomen Maantieteellinen seura	   2
[Finska Statsjärnvägarnes ekonomi]	   2
Työväen kirjakauppa	   2
Nutiden	   2
[Åbo domkyrkoförsamling]	   2
[Svenska Bildningens Vänner]	   2
Social-demokratiska partiet	   2
Lilius & Hertzberg, distr.	   2
Suom. luth. evank.-yhdistys	   2
Tekniska Föreningen	   2
V. Kosonen	   2
Harvard University Press	   2
Universitetsbiblioteket	   2
Yale University Press	   2
Suomen sahanomistajain maanviljelysjohtokunta	   2
Maakansa	   2
Hämeen läänin pohj. vaalipiirin nuorsuomalaiset	   2
Suomen taideyhdistys	   2
S. Renvall	   2
Robert Edgrens förlag	   2
Satamatyömiehen osuuskunta	   2
[Arkitektklubben]	   2
Kustannusliike Aika	   2
Alexanders-universitetet i Finland	   2
Osuuskunta Sanoma	   2
Aukusti Kivikari	   2
A. Langen	   2
Socialdemokratiska partiet	   2
Ronelius'en kirjakauppa	   2
Karjalan kirjakauppa ja kustannusliike	   2
Alex. Halonen	   2
Schildt, distr.	   2
Tampereen Sanomain kirjasto	   2
Förbundets mellan K.F.U.M. och U.K.F. förlag	   2
[Kaleva]	   2
[Suomen säästöpankkiyhdistys]	   2
[Metsähallitus]	   2
[Sosialidemokratinen puolue]	   2
J. A. Salmisen kp.	   2
[S metallityöntekijäin liitto]	   2
Väinämöisen kansalaiskirjasto	   2
Suomen luth. evank. pyhäkouluyhdistys	   2
[Kansanopistonopettajain yhdistys]	   2
K.F.U.M.	   2
Aksel Paul	   2
August Rietz	   2
E. E. Sundwall	   2
Akademischen buchhandlung, distr.	   2
Luonnonystäväin yhdistys	   2
Kansan näytelmäkirjasto	   2
Kustannus-o.y. Kataja	   2
[Utg.]	   2
Helsingin kuvalehti	   2
Bokförlaget i Karis	   2
Agricola	   2
Söderström ja Kumpp.	   2
Työväen sanomalehti-o.y	   2
[Satakunnan Sanomat]	   2
[Finska konstförening]	   2
Nuorisoseura Sarastus	   2
Kalastustentarkastaja	   2
J. M. Dent & sons	   2
llkka	   2
M. G. Stenius	   2
Tidskriften Hemma och ute	   2
Tampereen työväen sanomalehtioy.	   2
Maanviljelys-taloudellinen koelaitos	   2
Pohjan Tähden kp.	   2
Eskil Renfors	   2
Ömsesidiga livförsäkringsbolaget Suomi	   2
Paraisten kalkkivuorioy.	   2
[Suomen metallityöntekijäin liitto]	   2
Kotimaisen teollisuuden edistämiskomitea	   2
[Nya svenska samskola]	   2
[Käkisalmen kaupungin rautatievaliokunta]	   2
[Raamatunkäännöskomitea]	   2
Mikkelin työväenyhdistys	   2
Oulun l. etel. vaalip. sos.-dem. piiritoimikunta	   2
J. Heilala	   2
Teknillinen aikakauslehti Konetyömies	   2
Kansanvalitusseura	   2
Finska slöjddelegationen	   2
Föreningen för kraft- och bränsle-ekonomi	   2
Föreningen för bekämpandet av tuberkulosen	   2
Suomalainen sanomalehtimiesliitto	   2
[Valistus]	   2
Finlands dövstumförbund	   2
[Suomen osuuskauppojen keskusosuuskunta]	   2
Suomen osuuskauppojen palvelushenkilöiden liittotoimikunta	   2
Tekniska föreningen i Finland	   2
Tilastokeskus	   2
J. Sandholm	   2
Metsänhoitoyhdistys Tapio	   2
Suomen nuorten naisten kristillinen yhdistys	   2
Christian Endeavor liitto	   2
Nuorisoseura Vesa	   2
[Suomen nuorison liitto]	   2
A. B. Ateneum	   2
Vapaa lähetys	   2
Voinvientiosuusliike Oma	   2
Jämsän kirjakauppa	   2
Paraisten kalkkivuori	   2
Tekniska föreningen	   2
Almqvist & Wiksells boktryckeri	   2
Mikkelin eläinsuojelusyhdistys	   2
Ksiegarnia polska	   2
C. Ullner	   2
[Grankulla samskola]	   2
Ayrshireföreningen i Finland	   2
Akad. bokh., distr.	   2
[Tapio]	   2
Maalaisliiton eduskuntaryhmä	   2
Turun kaupungin kansakoulujen johtokunta	   2
Kaakkois-Karjalan kirjapaino	   2
Kotimaisen työn liitto	   2
Suomalaisen sosialistijärjestön toimeenpaneva komitea	   2
Agrikulturwissenschaftliche Gesellschaft	   2
Nylands och Tavastehus läns lantbrukssällskap	   2
Suom. kp.	   2
Weilin & Kumpp.	   2
Matti Lehmus	   2
[Luvian kunta]	   2
J. Tuori	   2
[Turun taidemuseo]	   2
[Rauman yhteislyseo]	   2
Yhteiskunnallinen keskusliitto	   2
Kirjapaino Suomi	   2
Osuuskunta Wisa	   2
Viktor Hoving	   2
[Suomen Keisarillinen Aleksanterin Yliopisto]	   2
[Laihian kunta]	   2
Kotkan työväenopisto	   2
Sanan valta	   2
Turun hovioikeus	   2
Kirkkokäsikirjakomitea	   2
[Suomen kirjaltajaliitto]	   2
[Länsi-Suomen karjanjalostusyhdistys]	   2
[Turun kaupunki]	   2
Sosialidemokratinen puoluetoimikunta	   2
Uusi aika	   2
WSoy	   2
Juuse Blom	   2
J. Honkanen	   2
Henkivakuutusyhtiö Kaleva	   2
Teosofinen Kirjakauppa ja Kustannusliike	   2
Maakauppiaslehti	   2
Uurtaja	   2
V. T.	   2
Isohiisi, jakaja	   2
Nyblinin myymälä	   2
Östra Finlandin kp.	   2
[G. W. Sohlberg]	   2
Suomen kristillinen ylioppilasliitto	   2
E. W.	   2
Voinvientiosuusliike Walio	   2
Suomen urheiluaitta	   2
Suomalainen opera	   2
Suomen uimaliitto	   2
Tampereen paperiteos	   2
Kirjapaino Sanan valta	   2
Punainen kaarti	   2
Helsingin Uusi Kirjapaino-Osakeyhtiö	   2
Suomi-opisto	   2
[Suomen voimistelu- ja urheiluliitto]	   2
[Suomen valtionrautatiet]	   2
Martta yhdistys	   2
Suomen tehdas- ja sekatyöväenliitto	   2
Savon työväen sanomalehtiosuuskunta	   2
Suomen hierojaseura	   2
Sim. per. kp.	   2
Öflund & Petterson	   2
Otava ;;Valistus	   2
Lainopillinen Ylioppilastiedekunta	   2
Yliopiston kirjasto	   2
Tampereen Kansalliskirjapaino	   2
Kustannustoimisto Tieto	   2
H. Edgrenin kirjakauppa	   2
Marttayhdistys	   2
Vartio-Torni	   2
Tampereen kansalliskirjapaino	   2
Naema Helsingius	   2
Sulo Toivonen	   2
Työnjuhlatoimikunta	   2
Raunistulan rukoushuoneyhdistys	   2
Pekka Brofeldt, jakaja	   2
Otto Andersin kp.	   2
Pyhin hallitseva synodi	   2
K. Walovuori	   2
Henkivakuutusoy Salama	   2
Tuberkulosinvastustamisyhdistys	   2
Liikemiesherätystyön toimisto	   2
Tuberkulosin Vastustamisyhdistys	   2
E. Ahtia	   2
U. W. Telen & C:o	   2
Amerikan suom. sos. kustannusliikkeet	   2
[Suomen Tiedeseura]	   2
A. Moring	   2
Suomen Nuorten Miesten Kristillisten yhdistysten ja Nuorten Kristillisten yhdistysten liitto	   2
Pekka Lattu	   2
Karjalan kirjakauppa-oy	   2
Työkansan k.-yhtiö	   2
Akseli Kivialho	   2
Savon työväen kp.	   2
Wiipurin työväen sanomalehti- ja kirjapaino-osuuskunta	   2
Suomen Kirkkohistoriallinen Seura	   2
Ivar Willehad	   2
N. M. K. Y:n liitto	   2
Aakkosyhdistys	   2
V. Arpiainen	   2
Runehjelm	   2
[Suomen maatalousseura]	   2
Suomen Vapaa lähetys	   2
Maalaisliiton keskushallinto	   2
Suomen eläinsuojeluyhdistys	   2
Kustannusoy Herättäjä	   2
Karjalan Kirjakauppa	   2
Suomen vegetarinen yhdistys	   2
Urheilijain Kustannus-oy	   2
[Ulvilan kunta]	   2
Urheilijan kustannus	   2
[Tusby svenska ungdomsförening]	   2
Otto Andersinin	   2
Hämeenläänin maanviljelysseura	   2
Suomen kotiteollisuusvaltuuskunta	   2
Keskinäinen henkivakuutusyhtiö Suomi	   2
Kulutusosuuskuntien keskusliitto	   2
[Kulutusosuuskuntien keskusliitto]	   2
[Konepajojen työväenyhdistys]	   2
Suomen N. M. K. Y:n ja N. K. Y:n liitto	   2
Vapaa Ajatus	   2
[Kansanpuolue]	   2
Suomen ev. luth. pyhäkouluyhdistys	   2
Taiteilijaseura	   2
Elämän kevät	   2
Satakunta	   2
Suom.sos. kustannusyhtiö	   2
[Karvian kunta]	   2
Suomen paperiteollisuustyöväen liitto	   2
Edistysseurojen kustannus	   2
Ahjo	   2
'Valistus'	   2
Urheilijain kustannusoy	   2
Kustannusoy. Aikain Wartija	   2
Rakentajain kustannusoy.	   2
Turun Pipliaseura	   2
Suomen nuorten krisittyjen liito	   2
Tuberkuloosin vastustamisyhdistys	   2
Otto Andersinin kustannusliike	   2
Suomen Aleksanderin yliopisto	   2
Hämäläis-osakunta ;;Gummerus, jakaja	   2
Finland steamship company agency	   2
Nielsen & Lundbeck	   2
Western Workmen's Co-op. Publishing Company	   2
Ehdottoman raittiuden seura	   2
Turun lehti	   2
J. E. Lillback	   2
Joel Björklund & C:o	   2
V. Nurmi	   2
Suom.-am. kustannusyhtiö	   2
Lundequist	   2
Suomen Käsityön ystävät	   2
New Yorkin suomal. vapaa seura	   2
Uusi ruotsalainen yhteiskoulu	   2
Wilho Leikas	   2
Toimitttaja	   2
Ksiegarnia Polska	   2
Työläiskynäilijäin kustannusliike	   2
Suomen viikkolehti	   2
Gyldendalske boghandel	   2
Hornyánsky Viktor kiadása	   2
Gad	   2
Klinkhardt	   2
Leikas	   2
Breitkopf und Härtel	   2
Suomalainen evankelinen kustannusyhtiö	   2
E. Nervander	   2
A. I. Arwidsson	   2
M. Lankinen	   2
J. W. Starch	   2
G. A. Sjöblom	   2
Porilaisten kirjapaino	   2
O. Ansas	   2
K. Bergroth	   2
Pertti Uotila	   2
Otto Bernhard Blomfelt	   2
Osuuskunta Mikkeli	   2
K. F. Malmström	   2
Karl Axel Gottlund	   2
H. F. Helminen	   2
Karjalan työväen sanomalehti-, kirjapaino- ja kirjansitomo-osuuskunta	   2
Jakobstads tryckeri- och tidnings ab	   2
Työväen sanomalehti-osuuskunta Raivaaja	   2
Östra Finlands tryckeribolag	   2
Wasa tryckeribolag	   2
Frans Enok Nyman	   2
H. R. Pohjola	   2
Haminan sanomat	   2
F. A. Hellström	   2
Jooseppi Sajaniemi	   2
Reinhold Roine	   2
Kenraalikuvernöörin kanslia	   2
Bruno Granit	   2
Vihtori Niemi	   2
Verneri Vesterdahl	   2
Theodor Neovius	   2
J. F. Grönroos tryckeri	   2
Andreas August Lindfors	   2
Fredrik Ahlqvist	   2
Tilastollinen päätoimisto	   2
N. Kotkavuoren välitysliike	   2
Suomen kustannusyhdistys	   2
Sydvästra Finlands svenska folkhögskola	   2
Viktor Taipale	   2
A. Öhrnberg	   2
Tarmo	   2
Viipurin evankelis-luterilainen nuorisoyhdistys	   2
Suomen teollisuushallitus	   2
W. Fredrikson	   2
Skandinaviska förlagsexpeditionen	   2
Åbo tidnings tryckeri	   2
Hämeen sanomat	   2
Julius Krohn	   2
Suomen kelloseppäin liitto	   2
Suomen metsäyhdistys	   2
O. Wihantola	   2
Tampereen kaupunkilähetys	   2
Emil Murén	   2
Kotka sjömans- och inre missionsförening	   2
Kotikasvatusyhdistys	   2
Aleksandra Gripenberg	   2
Pinsebevægelsen i Norge	   2
Santeri Pohjanpalo	   2
Perä-Pohjolan maamiesseura	   2
N. J. Laamanen	   2
Kyläkirjaston kuvalehti	   2
Finska grafiska industrins arbetsgivareförbund	   2
F. Wald. Lönnbeck	   2
J. Westerback	   2
Matti Kurikka	   2
Helsingin diakonissalaitos	   2
A. Laitinen	   2
J. Alfthan	   2
G. A. Wakaa	   2
Helsingin kirjanpainajain yhdistys	   2
Suomen kirjansitojaliitto	   2
Henkivakuutusyhtiö Fennia	   2
Industriföreningen	   2
Ioh. Baptista Homanni	   2
Homannianorum Heredum	   2
impressae â Petro Hansson, Acad. typog.	   2
Sold by William Berry at the Sign of the Globe between Charing-Cross and White-Hall	   2
[F. de Wit]	   2
[F. de Witt]	   2
Homanniania Heredibus	   2
uti Kongl. boktryckeriet uplagdt, hos Joh. Henr. Werner, directeur öfwer alla tryckerien i riket.	   2
in der Jägerlischen Buchhandlung	   2
[F. l'Honore & Chatelain]	   2
Gerardus Valk et Petrus Schenk	   2
chez l'Autheur dans l'Isle du Palais a la Sphere Royale	   2
aff Iohan Winter	   2
tryckt uti det kongl. tryckeriet	   2
chez Arnaud Lobedanius	   2
tryckt hos Henr. Fougt, kongl. boktryckare	   2
tryckt i kongl. tryckeriet hos Henr. Fougt	   2
[Kuningallinen suomalainen pränti]	   2
prändätty directeurildä ja cuning:da kirjan präntäjäldä, Jacob Merckellildä	   2
[J. Edman]	   2
gedruckt bey J. C. Frenckell	   2
tryckt af Joh. Kiämpe kongl. Acad. boktr.	   2
[Eric Flodström]	   2
af Johan Winter, kongl. booktr.	   2
aff Johan Winter, kongl. booktr. vthi stoorfurstendömet Finland	   2
tryckt aff Petter Hansson, Acad. typ.	   2
präntäis Niclas Wankijf, cuningalinen kirjanpainaja	   2
tryckt af Joh. Kiämpe, kongl. Acad. boktr.	   2
typis Wernerianis	   2
A. Zetterberg	   2
J. Merckell	   2
tryckt hos ... Jacob Merckell	   2
[J. L. Wall]	   2
excusa â Petro Hansonio A. t.	   2
impressa â Petro Hansson, Acad. typog.	   2
excusa apud Petrum Hansonium, Acad. typogr.	   2
imprimebat Petrus Hansonius Acad. typ.	   2
excusa typis Acad. apud viduam Petri Wald	   2
excusa â Petro Hanson Acad. typogr.	   2
typis Acad. apud viduam Petri Waldz	   2
excusum â Petro Hansonio Acad. typ.	   2
exc. apud Johannem L. Wallium, A. t.	   2
excusa typis Acad. apud viduam Petri Waldz	   2
imprimebat Petrus Wald, Acad. typogr.	   2
excudebat Petrus Wald, Acad. typog	   2
excudebat Petrus Hansonius Acad. typog.	   2
exc. apud Joh. L. Wallium, A. t.	   2
excusa â Johanne Waldio, Acad. typogr.	   2
[Peder Eriksson Wald]	   2
tryckt aff Peter Hansson, Acad. typogr.	   2
[Daniel Medelplan]	   2
aff Andrea Gutterwitz	   2
excusum â Petro Hansonio	   2
hoos Hans Georg Eberdt	   2
af Lars Wall	   2
tryckt hoos Niclas Wankijff, kongl. booktr.	   2
tryckt uti det Kongl. tryckeriet	   2
tryckt hos Kongl. Acad. boktr. J. C. Frenckells encka	   2
sahl. Thomas von Wierings Erben	   2
[tryckt i Kongl. tryckeriet]	   2
gedruckt mit Lindforssischen Schriften	   2
G. W. Londicer	   2
tryckt af Georg Wilhelm Londicer, kongl. priv. boktryckare	   2
tryckt hos Joh. Georg Lange	   2
tryckt hos Joh. Christopher Frenckell	   2
tryckt hos Johan Laur. Horrn, Kongl. gymn. och consist. boktr.	   2
tryckt hos Johan Edman	   2
tryckt hos directeur. och kongl. boktr. i stor-förstendömet Finland, Jacob Merckell	   2
tryckt hos direct. och kongl. boktr. i storfurstend. Finland, Jacob Merckell	   2
tryckt hos directeuren och Kongl. boktr. i stor-förstendömet Finnland, Jacob Merckell	   2
trykt hos Carl Johansson Röpke	   2
tryckt uti thet Kongl. tryckeriet	   2
tryckt af Lars Arvidsson Collin	   2
tryckt hos Lorentz Ludewig Grefing	   2
tryckt av Joh. Kiämpe, Kongl. acad. boktr.	   2
tryckt hos Johan Höjer, Kongl. acad. boktr.	   2
tryckt af Joh. Kiämpe	   2
excud. Joh. Kiämpe Reg. Acad. typ.	   2
tryckt uthi det Kongl. boktryckeriet, af. F. Phil. Paulssen	   2
uti det Kongl. boktryckeriet, af F. Phil. Paulssen	   2
tryckt af Joh Kiämpe Kongl. acad. boktr.	   2
tryckt hos Joh. Laur. Horrn, Kongl. Antiqvit. arch. boktr.	   2
tryckt uthi det Kongl. boktryckeriet	   2
tryckt af Joh. Kämpe Kongl. acad. boktr.	   2
tryckt uti Kongl. boktryckeriet	   2
tryckt af Eric Flodström	   2
[Reinerus Broocman]	   2
tryckt af Kongl. Acad. boktryckaren Eric Flodström	   2
tryckt hos Andr. Biörkman, Kongl. Acad. boktr. i Åbo	   2
tryckt hos Joh. Laur. Horrn, Kongl. Antiquit. archiv. boktr.	   2
excud. Henr. C. Merckell, reg. typogr. duc. Finl.	   2
tryckt Henr. C. Merckell, kongl. boktr. i stor-furstendömet Finland	   2
typis Henr. C. Merckell	   2
hoos Henr. C. Merckell, kongl. boktr. i stoorfurstendömet Finland	   2
tryckt hoos Henr. C. Merckell, kongl. boktr.	   2
tryckt hos Anders Jacobsson Nordström	   2
tryckt hos Gabriel Biörckegren	   2
tryckt hos Joh. L. Horrn, Kongl. Antiq. archiv. boktr.	   2
tryckt uti det Kongl. tryckeriet, af F. Phil. Paulssen	   2
tryckt af Joh. Kiaempe, Kongl. Acad. boktr.	   2
[tryckt af Georg Wilh. Londicer]	   2
impr. apud viduam Matth. Syngmanni	   2
tryckt af Johan Kämpe, Kongl. acad. boktr.	   2
tryckt af Joh. Kiämpe, Kongl. ac. boktr.	   2
hos M. Swederus, K. a. b.	   2
tryckt hos Pehr Ol. Axmar	   2
tryckt hos Johan Pehr Lindh	   2
trykt af Joh. Kämpe, Kongl. acad. boktr.	   2
tryckt med Lars Salvii egen kostnad	   2
chez Jean Catuffe	   2
tryckt på Lars Salvii kostnad	   2
printed for T. Lowndes, No 77, in Fleet-street	   2
[tryckt hos Johan Christoph. Frenckell]	   2
tryckt af Joh [sic] Kiämpe, Kongl. acad. boktr.	   2
literis Joh. Köhleri, reg. typogr.	   2
[tryck [sic] hos Joh. Christoph. Frenckell]	   2
impensis Frenckellianis	   2
typis Johan. Laur. Horrn	   2
tryckt hos direct. och kongl. boktr. i stor-förstendömet Finnland Jacob Merckell	   2
tryckt hos Joh. Laur. Horrn	   2
[tryckt hos Lars Salvius]	   2
chez Pierre Mortier, libraire	   2
chez Jeremie Estienne	   2
tryckt af Johan Winter, kongl. boktr.	   2
Frenckellska boktryckeriet	   2
tryckte hos Joh. L. Horrn, Kongl. Antiq. archivi boktr.	   2
tryckt hos Georg Wilhelm Londicer. Kongl. privil. boktryckare	   2
tryckte af Georg Wilhelm Londicer	   2
tryckt hos Wennberg och Nordström	   2
impressit J. C. Frenckell	   2
[Johan Kämpe?]	   2
excud. Joh. Kiämpe, Reg. Acad. typ.	   2
impr. Joh. Kiämpe, Reg. Acad. typogr.	   2
tryckt hos direct. och Kongl. boktr. i stor-förstendömet Finland, Jacob Merckell	   2
tryckt af Joh. Kiaempe, Kongl. ac. boktr.	   2
[impress. apud viduam Reg. Acad. typ. J. C. Frenckell]	   2
excud. Reg. Acad. typogr. Eric Flodström	   2
impr. apud vid. Joh. Wall	   2
impr. apud Jo. Laurentii Wallium, Regiae Univ. ibid. typogr.	   2
impressum apud viduam Reg. Acad. typogr. J. C. Frenckell	   2
[apud viduam J. Wall]	   2
impressit Joh. Christoph. Frenckell, Reg. Acad. typogr.	   2
impressit Johannes Christoph. Frenckell, Reg. Acad. typogr.	   2
W. Faden	   1
[Suomen ewank. seura]	   1
Landins bokhandel	   1
tryckt i Bibel-Sällskapets Boktryckeri	   1
Öhmanska bokhandeln	   1
[Oulun läänin talouden-seura]	   1
[Frenckellin ja pojan kirjakauppa]	   1
[J. W. Lillja ja kumpp.]	   1
[Carolus Nicol. Andr. Tapenius]	   1
[Eberhardus Julius Bonsdorff]	   1
[Carolus Guilielmus Hjelt]	   1
[Gustavus Edvardus Ingelius]	   1
[Ottocarius Ferdinandus Ingelius]	   1
[Carl. Fab. Theodor Langenskiöld]	   1
[Samuel Henric Nordström]	   1
[Uno Guilielmus Telén]	   1
[Ericus Otto Planman]	   1
[s.n.],;A. Manninen ja Fr. Ahlqvist.	   1
[Samuel Joh. Gustavus Smalén]	   1
[Fredericus Woldstedt]	   1
[Eduardus Sevon]	   1
på Wasenius' & Comp. förlag	   1
[Carolus Forssman]	   1
[Christ. Vict. Leon. Segercrantz]	   1
[Carolus E. Ekelund]	   1
Yleisvenäläinen kansallisklubi	   1
im Verlage des Geograph. Instituts	   1
[Carolus Alex. Lillström]	   1
[Henricus Edv. Arnell]	   1
[Henricus Heikel]	   1
[Alexander Fredricus Laurell]	   1
[Sven. Aug. Ferdin. Strandberg]	   1
[Carolus Reginaldus Lindberg]	   1
[Frider. Julius Petersén]	   1
Suomen Biblia-Seura	   1
[Broderus Carolus Julius Witting]	   1
[Frid. Wilh. Aug. Argelander]	   1
[Jacobus Johannes Östring]	   1
[Josephus Joachim. Alcenius]	   1
Arwi Hällfors	   1
[Forststyrelsens]	   1
[Alexander Fredric. Laurell]	   1
[Laurentius Henricus Törnroth]	   1
[Petrus Philippus Lindforss]	   1
[Martinus Johannes Lindforss]	   1
[Uno Wilhelmus Telén]	   1
[Fridericus Berndtson]	   1
[Rudolphus Israël Holsti]	   1
[Alexander Carlenius]	   1
[Andreas Helander]	   1
[Fredricus Hellström]	   1
[Carolus Georgius a Tengström]	   1
[Fredricus Adolphus Cleve]	   1
[Henricus Gottlieb Perander]	   1
[Carolus Iac. Helander]	   1
[Car. Maur. Crusell]	   1
[Matthias Alexander Castrén]	   1
[Fredr. Gabr. Hedberg]	   1
[Aron Gustavus Borg]	   1
[Aaron Gustavus Borg]	   1
