original		Count
[6] s. (s. [6] tyhjä)	6	   6
[6] s. (s. [2] tyhjä)	6	   6
[2], [1] 2-17 [18] s.	37	   6
[2] s., s. 33-40	10	   6
[2] s., s. 25-32	10	   6
[6], [1] 2-24 s.	30	   6
[2], [1] 2-23 [24] s.	49	   6
[6], 24 s.	30	   6
[1-3] 4-10 s.	10	   6
[4], [1] 2-36 s.	40	   6
[1] 2-12 s.	12	   6
[1-3] 4-11 [12] s. (s. [12] tyhjä)	12	   6
[4], 21, [3] s.	28	   6
[2], 34 s.	36	   6
[8], 30, [2] s.	40	   6
[2], 29, [1] s.	32	   6
[8], 22, [2] s.	32	   6
[2] s., s. 41-48	10	   5
[1-3] 4-15 [16] s. (s. [16] tyhjä)	16	   5
16 lehteä	32	   5
[28] s. (s. [2] tyhjä)	28	   5
[12] s. (s. [2] tyhjä)	12	   5
[1-5] 6-40 s.	40	   5
[15] s.	15	   5
[1-5] 6-36 s.	36	   5
[4], [1] 2-40 s.	44	   5
48 s.	48	   5
[1-3] 4-30 s.	30	   5
[16?] s.	16	   5
[1-3] 4-78 s.	78	   5
72 s.	72	   5
[1-3] 4-23 [24] s. (s. [24] tyhjä)	24	   5
[1-2] 3-28 s.	28	   5
[2] s., s. 81-96	18	   5
[1-2] 3-14 s.	14	   5
[1-3] 4-18 s.	18	   5
[1-2] 3-18 s.	18	   5
[1-3] 4-14 s.	14	   5
[4], [1] 2-18 s.	22	   5
[4], [1] 2-12 s.	16	   5
[8], 51, [5] s.	64	   5
[2], [1] 2-32 s.	34	   5
[4], 26, [2] s.	32	   5
[2], 17, [1] s.	20	   5
[2], 36 s.	38	   5
[4], 17, [1] s.	22	   5
[6], 20, [2] s.	28	   5
[2], 31, [1] s.	34	   5
[8], 20, [4] s.	32	   5
[8], 27, [1] s.	36	   5
[8], 36, [4] s.	48	   5
[6], 16, [2] s.	24	   5
[4], 40 s.	44	   5
[8], 35, [1] s.	44	   5
26 s.	26	   5
[2] s., s. 49-56	10	   4
[2] s., s. 21-40	22	   4
[2] s., s. 13-24	14	   4
1 lehti; verso tyhjä	2	   4
