original		Count
[1-2] 3-15 [16] s.	16	   2
[8], 42 s.	50	   2
[2], 39, [1] s.	42	   2
[4], [1] 2-26 s.	30	   2
[4], 50, [2] s.	56	   2
[8], 21, [1] s.	30	   2
[8], [1] 2-16 [17-22] s.	31	   2
[1-4] 5-10 s.	10	   2
[8], 10 s.	18	   2
[2], 14, [2] s.	18	   2
[6], 48, [2] s.	56	   2
[6], 30 s.	36	   2
[4], 64 s.	68	   2
[6], [1] 2-42 s.	48	   2
[4], [1] 2-11 [12] s.	27	   2
[8], [1] 2-44 s.	52	   2
[6], [1] 2-24 [25-26] s.	33	   2
[6], [1] 2-30 s.	36	   2
[8], [1] 2-19 [20] s.	47	   2
[6], [1] 2-34 [35-36] s.	43	   2
[6], [1] 2-21 [22] s.	49	   2
[8], [1] 2-21 [22-24] s.	33	   2
[8] s., s. [54]-73, [2] s.	30	   2
[2], [1] 2-29 [30] s.	61	   2
[4], [1] 2-15 [16] s. (s. [16] tyhjä)	51	   2
[6], [1] 2-14 s.	20	   2
18, [2] s.	20	   2
[4], 51, [1] s.	56	   2
[10], 52, [2] s.	64	   2
[4], 55, [3] s.	62	   2
[8], 22 s.	30	   2
[4], 13, [3] s.	20	   2
[4], 30 s.	34	   2
[6], 22, [2] s.	30	   2
[8], 18 s.	26	   2
46 s.	46	   2
[2] s., s. [35]-50	18	   2
[8], 39, [1] s.	48	   2
[6], 22 s.	28	   2
[2], 53, [1] s.	56	   2
[2], 37, [1] s.	40	   2
[6], 26, [2] s.	34	   2
[6], 35, [1] s.	42	   2
[6], 31, [3] s.	40	   2
[8], 46, [2] s.	56	   2
[8], 31, [5] s.	44	   2
[8], 37, [1] s.	46	   2
[8], 59, [5] s.	72	   2
[4], 13, [1] s.	18	   2
[2] s., s. 75-90	18	   2
[2] s., s. 43-58	18	   2
[8], 37, [7] s.	52	   2
[6], 12, [2] s.	20	   2
[6], 21, [1] s.	28	   2
[4], 52 s.	56	   2
S. [17]-34	18	   2
[2] s., s. [11]-24	16	   2
[8], 15, [1] s.	24	   2
[4], 25, [1] s.	30	   2
[4] s., s. [21]-40	24	   2
[2], 63, [1] s.	66	   2
[4], 14, [2] s.	20	   2
[6], 19, [1] s.	26	   2
[6], 14 s.	20	   2
[8], 54, [2] s.	64	   2
[10], 50, [4] s.	64	   2
[10], 28, [4] s.	42	   2
[4], 69, [3] s.	76	   2
[4], 18, [2] s.	24	   2
[6], 24, [2] s.	32	   2
[10], 32, [4] s.	46	   2
[6], 30, [2] s.	38	   2
[6], 15, [3] s.	24	   2
17, [1] s.	18	   2
16, [2] s.	18	   1
18 luetteloa.	36	   1
7 s.	7	   1
15, 4 [i.e. 16] s.	16	   1
15 luetteloa.	30	   1
S. 9-36.	28	   1
8 luetteloa.	16	   1
[2], 1222, [2], 320 s.	1226	   1
348 s.	348	   1
430 s.	430	   1
709 s.	709	   1
442 s.	442	   1
62 s.	62	   1
346 s.	346	   1
[2] s., s. 291-584	296	   1
[2], 290 s.	292	   1
[2] s., s. 283-584	304	   1
[2], 282 s.	284	   1
[2] s., s. 43-51, [1] s.	12	   1
[1] s., s. [523]-632	111	   1
[4] s., s. [355]-522	172	   1
[6], 57, [1] s.	64	   1
[2], 199 s.	201	   1
[2], 286 s.	288	   1
1 kartta kahdellatoista lehdellä	2	   1
59, [1] s.	60	   1
159, [4] s.	163	   1
174 s.	174	   1
[6], 172, [2] s.	180	   1
220, [3] s., VI lehteä (taitettuina), [1] karttalehti (taitettuna)	237	   1
IV, 520 s., [2] kuvalehteä, [1] karttalehti	530	   1
[8], 126, [66] s.	200	   1
48, [1] s.	49	   1
198, [2] s., [3] lehteä taitettuna	206	   1
218, [8] s., [2] lehteä taitettuna	230	   1
S. 271-408, [10] s.	148	   1
[2], iv, [14], 555, [1] p., [16] leaves of plates	608	   1
[26], 763, [1] p., [26] leaves of plates	842	   1
[2], 72 p.	74	   1
2 vol. ([8], 303, [1] p. ; [6], 266 p.)	584	   1
140 p., [1] leaf of plates	142	   1
[8], 224 p.	232	   1
61 p., LX leaves of plates	181	   1
77, [1] p., [1] leaf of plates	80	   1
P. [129-]256	128	   1
26, [2] p.	28	   1
[2], 217, [1] p.	220	   1
[4] p.	4	   1
P. [97-]190	94	   1
X, [428] p., [2] leaves of plates	442	   1
P. [485-]580	96	   1
28 p., [1] leaf of plates (fold.)	30	   1
[8], 498, 54 p.	506	   1
56, [1] p., [2] leaves of plates	61	   1
[6], 88, [1] p.	95	   1
[4], 39 p., [1] leaf of plates	45	   1
[8], 556 p.	564	   1
xi, [1], 480, [4] p., [11] leaves of plates (1 folded)	518	   1
4 vol. (xvi, 296 p., [2] leaves of plates ; x, 256 p., [4] leaves of plates ; viii, 202 p., [3] leaves of plates ; vi, 227 p., [2] leaves of plates)	1043	   1
7 p., [1] p., [16] leaves of plates (some col.), 12 p., [1] leaf of plates	47	   1
3 vol. (XLIV, 320 p. ; xiv, 429 p. ; vi, 382 p.)	1195	   1
IV, 520 p., [3] leaves of plates	530	   1
2 vol. (xxiv, 396 p., [8] leaves of plates ; viii, 380 p., [9] leaves of plates, some col.)	842	   1
28, [1] s.	29	   1
367 s., [5] kuvalehteä	377	   1
263 s., [6] kuvalehteä	275	   1
XV, XXXIV, 462 s., [1] kuvalehti	498	   1
86, [2] s.	88	   1
29 s.	29	   1
80, 188 s.	188	   1
98, 194 s.	194	   1
100, 169 s.	169	   1
358 s.	358	   1
XXII s.	22	   1
[670] s.	670	   1
61 s., LX kuvalehteä	181	   1
XXVII, 58 s.	85	   1
S. 269-281	13	   1
VI, 252, [22] s.	280	   1
S. 188-202	15	   1
VIII, 70, [1] s.	79	   1
182 kuvalehteä	364	   1
[8], XII, 272, [3] s.	295	   1
106, 129 s.	129	   1
106 s.	106	   1
6, [1] s.	7	   1
12, [1] s.	13	   1
Sect. 1-3, Suppl. (262, 179, 102, 117 s.)	262	   1
4:o.	60	   1
591 s.	591	   1
53 s.	53	   1
95 s.	95	   1
S. 333-363	31	   1
[26] s., [6] kuvalehteä	38	   1
[21] kuvalehteä	42	   1
44 s., [1] kuvalehti taitettuna, [2] karttalehteä taitettuina	50	   1
13 foliopalstaa	4	   1
[4] s., [24] kuvalehteä	52	   1
42, [12] s.	54	   1
S. 73-122, [26] s.	76	   1
[38] s, s. 73-122	88	   1
VIII, 83 s.	91	   1
175 s.	175	   1
256 s.	256	   1
vii, 343 s.	350	   1
xiv, 383 s.	397	   1
X, 554, [8] s.	572	   1
592 s.	592	   1
150 s.	150	   1
486 s.	486	   1
500 s.	500	   1
VIII, 668 s.	676	   1
VIII, 406 s.	414	   1
111 s.	111	   1
[2], 72 s.	74	   1
436 s.	436	   1
412 p.	412	   1
160 p.	160	   1
S. 65-118	54	   1
252 s.	252	   1
308 s.	308	   1
311 s.	311	   1
148 s.	148	   1
555 s.	555	   1
763 s.	763	   1
[2] s., s. 243-534, [587]-652 [653-654]	656	   1
23 s.	23	   1
266 s.	266	   1
303 s.	303	   1
224 s.	224	   1
133 s.	133	   1
405 s.	405	   1
462 s.	462	   1
702 s.	702	   1
[1-3] 4-18 [19-20]	20	   1
[8] s. (s. [8] tyhjät	10	   1
[1] 2-10 [11-12] s. (s. [11] tyhjä)	24	   1
[12] s. (s. [12] tyhjä	12	   1
[8] s. (s. [2] ja [8] tyhjät)	50	   1
S. 446-475	30	   1
[i-v] vj-x, [1] 2-264 s.	275	   1
[1-3] 4-92 s. (s. [2] tyhjä)	92	   1
[I-II] III-XXIII [XXIV], [1-3] 4-92 [93-95] 96-195 [196-198] s.	198	   1
[2], [1] 2-75 [76] s. (s. [2] tyhjä)	155	   1
[1-3] 4-22 s. (s. [1] tyhjä)	22	   1
[1-3] 4-59 [60] s. (s. [1] ja [60] tyhjät)	60	   1
[10], 68 s.	78	   1
[2]	2	   1
12 lehteä, s. [1-3] 4-24	48	   1
[16], 409, [1] s.	426	   1
28 s., [1] karttalehti taitettuna	30	   1
13, [3] s.	16	   1
2, 32 s.	32	   1
[1-3] 4-46 s.	46	   1
[1-3] 4-19 [20] s. (s. [2] ja [20] tyhjät)	20	   1
[2] s., s. [31] 32-48	50	   1
[2], 9-16 s.	10	   1
[2], [1-3] 4-8 s. (s. [2] ja [2] tyhjät)	10	   1
[2], 7, [1] s.	10	   1
[2], 105, [1] s.	108	   1
[2], [1] 2-14 s., [1] kuvalehti	21	   1
[2] s., s. [21] 22-47 [48]	97	   1
[2] s., s. [35] 36-51 [52]	105	   1
[2] s., s. [17] 18-34	36	   1
[2], [1] 2-16	18	   1
[2] s., s. [23] 24-37 [38]	77	   1
[2] s., s. [9]-22	16	   1
[2] s., s. [30] 31-42	44	   1
[2] s., s. [15] 16-28	30	   1
[2] s., s. [11] 12-25 [26]	53	   1
[2] s., s. 35-44	12	   1
[2] s., s. 25-34	12	   1
[2] s., s. 17-31, [1] s.	18	   1
[2] s., s. 105-116	14	   1
[2] s., s. 63-80	20	   1
[2] s., s. 49-73, [1] s.	28	   1
[8], [1-3] 4-16 s.	24	   1
[2] s., s. 129-143 [144-146]	148	   1
[2] s., s. 115-128	16	   1
[2] s., s. 97-115 [116-118]	120	   1
[2], [1-2] 3-8, [1]-2  s.	10	   1
[2] s., s. 29-36, 7-8	38	   1
[2] s., s. 21-28, 5-6	30	   1
[2] s., s. 11-20, 3-4	22	   1
[2], 10, 2 s.	12	   1
[2] s., s. 25-32, 7-8	34	   1
[2] s., s. 17-24, 5-6	26	   1
[2], [1-2] 3-8, [1]-2 s.	10	   1
[2] s., s. 31-38, 11-14	40	   1
[2] s., s. 15-22, 7-8	24	   1
[2] s., s. 11-14, 3-6	16	   1
[2], [1] 2-10, [1]-2 s.	13	   1
[4], IV s., s. 35-46	20	   1
[2] s., s. 99-112	16	   1
[2] s., s. 87-98	14	   1
[2] s., s. 75-86	14	   1
[2] s., s. 63-74  s.	14	   1
[2] s., s. 47-62	18	   1
[2] s., s. 33-46	16	   1
[2], 18  s.	20	   1
[2] s., s. 45-53, [1] s.	12	   1
[2] s., s. 57-66	12	   1
[2] s., s. 77-92	18	   1
[2] s., s. 61-76	18	   1
[2] s., s. 21-36	18	   1
[2], [1-2] 3-20 s.	22	   1
[2], [1] 2-22  s.	24	   1
[2] s., s. 112-125	16	   1
[2] s., s. 98-111	16	   1
[2] s., s. 33-50	20	   1
[2], [1] 2-14  s.	16	   1
[4], [1] 2-18 s. (s. [2] tyhjä)	24	   1
[2], [1] 2-18 s. (s. [2] tyhjä)	22	   1
[2] s., s. 29-35, [1] s.	10	   1
[2] s., s. [17]-28	14	   1
[2] s., s. 9-15, [1] s.	10	   1
[2] s., s. 25-32, VIII s.	18	   1
[2] s., s. 25-38	16	   1
[2], IV, 106 s., [1] kuvalehti	114	   1
S. 14-28 ; s. 28-48	36	   1
315 s.	315	   1
[2], 291 s.	293	   1
[2], XIV, 114 s.	130	   1
17 s.	17	   1
2 nid. (359, 358 s.)	717	   1
180 s.	180	   1
99 s.	99	   1
[544] s., 1 liite.	544	   1
381,[8] s.	389	   1
47 s.	47	   1
187 s.	187	   1
50 s.	50	   1
368 s.	368	   1
2 nid. (60 s., 63 s.)	123	   1
98 s.	98	   1
263 s.	263	   1
1 osa (23 s.), 2 vihko (36 s.)	68	   1
334 s., 4 kuval.	342	   1
[2], 20, LXXX, 552 s., [14] kuvalehteä	662	   1
[1-3] 4-48 [49-52] s.	52	   1
88 s.	88	   1
31 s. 8:o.	60	   1
[4], 56, [2] s.	62	   1
[4] s., s. 17-24	12	   1
[2], [1] 2-13 4 [po. 14] s.	16	   1
[8], 39 s.	47	   1
S. [2], 77-84, [2]	12	   1
S. [2], 137-144	10	   1
4, 10 s.	10	   1
[6], [I] II-XXXI, [1] 2-253 s.	290	   1
[4], [1] 2-74 s.	78	   1
[24-?] s.	24	   1
[2], [1] 2-60 [61-62] s. (s. [62] tyhjä)	127	   1
[2], [1] 2-30 [31-32] s. (s. [32] tyhjä)	67	   1
[2], [1] 2-49 [50] s. (s. [50] tyhjä)	151	   1
[2], [1] 2-65 [66] s.	133	   1
[2], [1] 2-54 [55-56] s.	59	   1
[4], [1] 2-322 [323-324] s. (s. [324] tyhjä)	653	   1
[4], [1] 2-355 [356] s. (s. [356] tyhjä)	1071	   1
[1-3] 4-37 [38] s. (s. [38] tyhjä)	38	   1
[4], [1] 2-88 s.	92	   1
[2], [1] 2-186 s.	188	   1
219, [7] s.	226	   1
218, [6] s.	224	   1
200 s. 8:o.	60	   1
[16], 486, [12], 516	544	   1
[2], 408, [12], 295, [1] s.	423	   1
[30], 539, [13], 464, [4] s.	586	   1
30 arkkia	60	   1
12 s. (s. [12] tyhjä)	24	   1
[56] s. (s. [55-56] tyhjät)	56	   1
32 s. (s. [31-32] tyhjät)	32	   1
[50] s. (s. [50] tyhjä)	50	   1
[10] s.; s. [10] tyhjä	20	   1
32, [7] s.	39	   1
[1-3] 4-41 [42] s.	42	   1
[I-V] VI-VIII, [1] 2-181 [182-184] s.	188	   1
S. [2], [9] 10-20	22	   1
[2] s., s. 169-176 [-?]	10	   1
S. [2], [9] 10-15 [16] s. (s. [16] tyhjä)	49	   1
[1-3] 4-10 [-?] s.	10	   1
[2], [2 x 11] s. = [24] s. (s. [24] tyhjä)	2	   1
[1] 2-18 s.	18	   1
[2], [1] 2-66 s.	68	   1
[18], 206 [207-208] s.	226	   1
[12], 222 s.	234	   1
[1-3] 4-33 [34] s. (s. [34] tyhjä)	34	   1
[1] 2-33 [34] s. (s. [34] tyhjä)	101	   1
[20], 464 s.	484	   1
[6], 1-176 s.	182	   1
[1-3] 4-69 72 [po. 70] 71-103 894 [po. 104] 105-110 [111-112] s.	112	   1
32, 12 s.	32	   1
[2], [1] 2-104 s.	106	   1
[1-3] 4-77 [78] s. (s. [78] tyhjä)	78	   1
[1-7] 8-675 [676] s.	676	   1
[6], [1] 2-400 [401-410] s.	417	   1
[12], [1] 2-420 s.	432	   1
[2], [1] 2-264 s.	266	   1
[2], [1] 2-284 s.	286	   1
[1-3] 4-63 [64] s.	64	   1
[6], [1-3] 4-252, [253-254] s.	260	   1
[1-3] 4-78 [79-80] s. (s. [79-80] tyhjät)	80	   1
[1] 2-34 s.	34	   1
[8], [1] 2-210 [211-216] s.	225	   1
X, 428 s., [1] nuottilehti	438	   1
[6], 88, [1] s.	95	   1
[8], [1] 2-556 s.	564	   1
56, [1] s.	57	   1
[1-5] 6-72 s.	72	   1
[1-3] 4-94 [95-96] s. (s. [95-96 tyhjät)	96	   1
[1-8] 9-47 [48] s. (s. [48] tyhjä), [1] 2-38 [39-40] s. (s. [39-40] tyhjät)	144	   1
[1-5] 6-278 [279-280] s.	280	   1
157, [1] s.	158	   1
[8], [1] 2-71 [72] s. (s. [72] tyhjä)	223	   1
[16], [1] 2-56 s.	72	   1
[4], [1] 2-192 [193-194] s.	199	   1
[1-3] 4-216 s.	216	   1
[6], [1] 2-208 s.	214	   1
[I-III] IV-XII, [1] 2-292 s.	302	   1
[1-3] 4-276 s.	276	   1
[2], [1] 2-76 [77-104] s. (s. [104] tyhjä)	211	   1
[1-7] 8-240, [1] 2-80 [81-82] s.	241	   1
[1-3] 4-177 [178] s.	178	   1
[43], [1] 2 [3-4] 5-103 [104-113] s.	157	   1
[43], [1] 2 [3-4] 5-102 [103-113] s.	157	   1
[43], [1] 2-102 [103-113] s.	157	   1
[1-4] 5-35 [36] s. (s. [36] tyhjä)	36	   1
[1-3] 4-43 [44-45] 45-51 [po. 46-52] s.	7	   1
[1-3] 4-22 [23-24] s. (s. [24] tyhjä)	24	   1
[1-3] 4-152 s.	152	   1
[6], [1] 2-104 s.	110	   1
[6], [1] 2-146 s.	152	   1
[I-III] IV-XII, [1] 2-271 [272] s. (s. [272] tyhjä)	825	   1
XII, 98, [2] s.	112	   1
[2], [I] II-VIII [IX-X], [1] 2-107 [108] s.	226	   1
S. [209]-354, [2] s.	148	   1
S. [101]-208 s.	108	   1
99, [1] s.	100	   1
[1-3] 4-93 [94] s.	94	   1
[2], XVI, 123, [27] s.	168	   1
[1-3] 4-398 [399-400] s. (s. [400] tyhjä)	400	   1
[1-2] 3-38 s.	38	   1
[2], [1] 2-126 s.	128	   1
[1-3] 4-180 s.	180	   1
[1-3] 4-70 s.	70	   1
[1-3] 4-158 [159-160] s. (s. [159-160] tyhjät)	160	   1
[6], [1] 2-233 [234] s.	473	   1
[1-3] 4-442 [443-444] s.	444	   1
[6], [1] 2-704 [705-710] s.	717	   1
[16], [1] 2-294 [295-296] s. (s. [295] tyhjä)	608	   1
[16], [1] 2-294 [295-296?] s.	313	   1
[22], [1] 2-81 [82] s. (s. [82 tyhjä)	267	   1
[16], [1] 2-151 [152] s. (s. [152] tyhjä)	471	   1
[6], [1] 2-254 s.	260	   1
[1-9] 10-280 [281] 282-300 s.	581	   1
[4], [1] 2-419 [420] s. (s. [420] tyhjä)	1263	   1
XXII, 318 s.	340	   1
53, [1] s.	54	   1
[8], 182, [2] s.	192	   1
[2], [1] 2-832 [833-848] s.	851	   1
[2], [1] 2-78 s.	80	   1
S. [2], [1] 2-55 [56]	113	   1
[4], [1] 2-55 [56] s.	115	   1
[2], [1] 2-104 [105-106] s. (s. [106] tyhjä)	215	   1
[2], [1] 2-61 [62] s.	125	   1
[2], [1] 2-69 [70] s. (s. [70] tyhjä)	211	   1
[4], [1-3] 4-38 [39-40] s. (s. [39] tyhjä)	44	   1
[A2] B-C2 D1. [14] s.	14	   1
[2], [1] 2-48 s.	50	   1
[14], 47, [1], 7, [1] s. +	63	   1
[2], [1] 2-48 [49-50] s. (s. [50] tyhjä)	103	   1
[2], [1] 2-71 [72] s. (s. [72] tyhjä)	217	   1
[I-III] IV-XII s.	12	   1
[2], [I-III] IV-XII, [1-3] 4-36, [2], [1] 2-71 [72] s. (s. [72] tyhjä)	229	   1
[2], [1] 2-55 [56] s. (s. [56] tyhjä)	169	   1
36 s. (s. [36] tyhjä)	72	   1
[4] s., s. 273-290	22	   1
[4] s., s. 257-272	20	   1
[2] s., s. 31-56	28	   1
[2] s., s. 93-104	14	   1
[2] s., s. 81-92	14	   1
[2] s., s. 33-41 [42]	44	   1
[2] s., s. 24-32	11	   1
[2], [1] 2-31 [32] s.	65	   1
[1-3] 4-21 [22] s.	22	   1
[2], [1] 2-15 [16]	33	   1
[2] s., s. 23-30, 9-10	32	   1
[2] s., s. 33-52	22	   1
[2] s., s. 47-76	32	   1
[2] s., s. 31-46	18	   1
[2] s., s. 57-72	18	   1
[2] s., s. 25-40	18	   1
[2], [I] II-VIII, [1] 2-8 s.	18	   1
[2] s., s. 47-52 [53-68] s	70	   1
[2] s., s. 65-82, IV kuvalehteä	28	   1
[2] s., s. 273-280	10	   1
[2] s., s. 265-272	10	   1
[2] s., s. 249-264	18	   1
[2] s., s. 233-248	18	   1
[2] s., s. 217-232	18	   1
[2] s., s. 201-216	18	   1
[2] s., s. 45-64	22	   1
[2] s., s. 21-34	16	   1
[2] s., s. 19-34 [35-36]	38	   1
[4] s., s. 73-81 [82] s.	86	   1
[4] s., s. 65-72	12	   1
[2] s., s. [82] 83-97	99	   1
[2] s., s. 161-176	18	   1
[2] s., s. 113-111 [po. 128]	18	   1
[4] s., s. [15]-34	24	   1
[2] s., s. [141-150]	12	   1
[2] s., s. [133-140]	10	   1
[2] s., s. 121-123 [123-132]	134	   1
S. [2], 11-21 [22] s.	24	   1
[2] s., s. 183-190	10	   1
[2] s., s. 175-182	10	   1
[2] s., s. 167-174	10	   1
[2] s., s. 159-166	10	   1
[2] s., s. 151-158	10	   1
[2] s., s. 143-150	10	   1
[2] s., s. 135-142	10	   1
[2] s., s. 127-134	10	   1
[2] s., s. 119-126	10	   1
[4] s., s. 111-118	12	   1
[4] s., s. 103-110	12	   1
[2] s., s. 95-102	10	   1
[2] s., s. 87-94	10	   1
[2] s., s. 79-86	10	   1
[2] s., s. 69-78	12	   1
[2] s., s. 59-68	12	   1
[2] s., s. 49-58	12	   1
[2] s., s. 39-48	12	   1
[2] s., s. 21-39, [1] s.	22	   1
[2] s., s. 15-24	12	   1
[2] s., s. 17-35, [1] s.	22	   1
[2] s., s. 41-45, [3]	10	   1
[2] s., s. 11-21 [22]	24	   1
[2] s., s. 25-32 [po. 21-28]	10	   1
[2] s., s. 17-23 [24] [po. 13-20]	10	   1
[2] s., s. 5-12	10	   1
[2], IV, 4 s.	10	   1
[2] s., s. 57-62	8	   1
[2] s., s. 15-36	24	   1
[4] s., s. 11-20	14	   1
S. [2], 17-32	18	   1
[1], [1] 2-7 s.	8	   1
[2], 11, [2] s.	15	   1
S. [2], 25-48	26	   1
S. [2], 45-54	12	   1
S. [2], 19-37 [38]; s. [38] tyhjä)	78	   1
[2] s., s. 25-37, [1] s.	16	   1
[2] s., s. 23-36	16	   1
[2]s. , s. 97-103, [1] s.	10	   1
[2] s., s. 67-69, [1] s.	6	   1
[2] s., s. 61-66	8	   1
[2] s., s. 55-60	8	   1
[2] s., s. 49-54	8	   1
[4] s., s. 9-16 s.	12	   1
[2] s., s. 193-204	14	   1
[2] s., s. 181-192	14	   1
[2] s., s. 173-180	10	   1
[2] s., s. 161-172	14	   1
[2] s., s. 149-160	14	   1
[2] s., s. 137-148	14	   1
[2] s., s. 125-136	14	   1
[2] s., s. 111-124	16	   1
[2] s., s. 95-110	18	   1
[2] s., s. 77-94	20	   1
[2] s., s. 27-42	18	   1
[2] s., s. 13-26	16	   1
[2] s., s. [65]-83, [1] s.	22	   1
[2] s., s. [35]-64	32	   1
[4] s., s. 17-30	18	   1
[2] s., s. 241-256	18	   1
[2] s., s. 225-240	18	   1
[2] s., s. 209-224	18	   1
[2] s., s. 193-208	18	   1
[2] s., s. 177-192	18	   1
[2] s., s. 161-176, [1] kuvalehti taitettuna	20	   1
[4] s., s. 145-160	20	   1
[4] s., s. [13]-20	12	   1
[2] s., s. 41-58	20	   1
[2] s., s. 29-40	14	   1
[2] s., s. 13-25, [1] s.	16	   1
[2] s., s. 23-34	14	   1
[2] s., s. 69-82 [po. 124-137]	16	   1
[2] s., s. 101-123, [1] s.	26	   1
[2] s., s. 69-84	18	   1
[2] s., s. 53-68	18	   1
[2] s., s. 43-52	12	   1
[2] s., s. 23-32	12	   1
[2] s., s. 17-40	26	   1
[2] s., s. 39-49, [1] s.	14	   1
[2] s., s. 27-38	14	   1
[2], 14	16	   1
[2] s., s. 19-28	12	   1
[2] s., s. 27-37, [1] s.	14	   1
[2] s., s. 37-56	22	   1
[2] s., s. [21]-36	18	   1
[2], 16 [po. 14] s.	16	   1
[2], 59, [1] s.	62	   1
[2], 27, [1] s.	30	   1
[2] s., s. [31]-43, [1] s.	16	   1
[2] s., s. [19]-29, [1] s.	14	   1
[2] s., s. 15-35, [1] s.	24	   1
[2]s. , s. 17-28	14	   1
[2] s., s. 17-29, [3] s.	18	   1
[2], 9, [1]	12	   1
[2] s., s. 33-74, [2] s.	46	   1
[2] s., s. 261-292	34	   1
[2] s., s. 229-260	34	   1
[2] s., s. 193-228	38	   1
[2] s., s. 129-160	34	   1
[2] s., s. 97-128	34	   1
[2] s., s. 65-96	34	   1
[2] s., s. 33-64	34	   1
[2] s., s. 109-116	10	   1
[2] s., s. 101-108	10	   1
[2] s., s. 93-100	10	   1
[2] s., s. 83-92	12	   1
[2] s., s. 75-82	10	   1
[2] s., s. 67-74	10	   1
[2] s., s. 55-66	14	   1
[2] s., s. 43-54	14	   1
[2] s., s. 9-22	16	   1
[2] s., s. 131-142	14	   1
[2] s., s. 115-130	18	   1
[2] s., s. 99-114	18	   1
[2] s., s. 201-218	20	   1
[2] s., s. 91-104	16	   1
[2] s., s. 19-41, [1] s.	26	   1
[2], XIX, [1], 8 s.	30	   1
[2] s., s. 61-68	10	   1
[2] s., s. 53-60	10	   1
[2] s., s. 45-52	10	   1
[2] s., s. 37-44	10	   1
[2] s., s. 29-36	10	   1
[2] s., s. 21-28	10	   1
[2], 10, [2] s.	14	   1
[2], 8, [4] s.	14	   1
[2] s., s. 27-54	30	   1
[2], 4 [po. 14] s.	16	   1
460, [4] s., [1] karttalehti	466	   1
[2], 63, [3] s.	68	   1
[4] s., s. [25]-33, [1] s.	14	   1
[2], 370 [po. 371], [1] s., [1] kuvalehti	376	   1
[22], 264 s.	286	   1
[2] s., s. [33]-80	50	   1
[2], 47, [1] s., [1] kuvalehti taitettuna	52	   1
[6], 29, [1], s.	36	   1
[6], 34, [2] s.	42	   1
[2] s., s. [65]-80	18	   1
[2] s., s. [25]-58	36	   1
[10], 36, [2] s.	48	   1
[4], 64, [4] s.	72	   1
[2], 78 [po. 80] s.	82	   1
[8], 78 [po. 80] s.	88	   1
[10], 32, [2] s.	44	   1
[12], 22, [10] s.	44	   1
[14], 66, [2] s.	82	   1
[10], 50, [2] s.	62	   1
[8], 79, [5] s.	92	   1
[2] s., s. 435-482, [2] s.	52	   1
[2] s., s. 379-434	58	   1
[2] s., s. 305-378	76	   1
[2] s., s. 237-304	70	   1
[2] s., s. 177-236	62	   1
[2] s., s. 49-112	66	   1
[4], 15, [5] s.	24	   1
[28], 109, [3] s.	140	   1
S. 124-459	336	   1
[4], 92, [16] s.	112	   1
[216] s.	216	   1
[8] s., s. 1089-1120, [4] s.	44	   1
[4] s., s. 33-64	36	   1
[10] s., s. 33-64	42	   1
[12], 40, [4] s.	56	   1
[12], [1-2] 3-30 s.	42	   1
[6], [1-3] 4-45 [46-48] s.	54	   1
[10], 23, [1] s.	34	   1
[4] s., s. 109-224, [4] s.	124	   1
[6] s., s. 448-459 [po. 479]	38	   1
[4], 60 s.	64	   1
[6] s., s. [51]-104 s.	60	   1
[6], 22, [2]  s.	30	   1
[6], 78, [2] s.	86	   1
[8], 53, [3] s.	64	   1
[8], [1] 2-61 [62]  s.	131	   1
[3] s., s. [27]-77	54	   1
[4] s., s. 25-56 s.	36	   1
S. [17]-48	32	   1
[4], [1] 2-44 [45-48] s.	53	   1
[2], 29, [3] s.	34	   1
[14], 62 s., [1] kuvalehti	78	   1
[2], 29, [1]	32	   1
[2] s., s. 113-176	66	   1
[10], 82 [po. 84], [4] s.	98	   1
[4], 70, [2] s.	76	   1
[6], 53, [3] s.	62	   1
[4], 93 [po. 91], [1] s.	96	   1
[6], 42, [2] s.	50	   1
[2] s., s. [19] 20-40	42	   1
32, [2] s., II kuvalehteä taitettuna	38	   1
[4], 71, [1]	76	   1
[4]?, 28 s.	32	   1
[6], 30 [po.31], [1] s.	38	   1
[12], 25, [3] s.	40	   1
[6], 51, [1] s.	58	   1
[2] s., s. 113-128, [2] s.	20	   1
[32]  s.	32	   1
[4] ,108 s.	112	   1
69, [1] s.	70	   1
179 [po. 279], [1] s.	280	   1
XXVI, 387 s.	413	   1
[12], 80 s.	92	   1
[10], 112 s.	122	   1
vii, [1], 232 s., [10] kuvalehteä	260	   1
102, [10] s.	112	   1
85, [3] s.	88	   1
[6], 169, [1] s.	176	   1
[1-2] 3-88 [89-90] s.	90	   1
652, [4] p.	656	   1
[16], 472 p.	488	   1
[6] s., s. [43]-67, [1] s.	32	   1
[8], 41, [3] s.	52	   1
[16], 157 [i.e. 158] p., [8] leaves of plates	190	   1
276 leaves	552	   1
[6], [43-]67, [1] p.	32	   1
[8], 41, [3] p., [1] leaf of plates	54	   1
[16], 67, [1] p.	84	   1
2 vol. (xv, [1], 471, [1] p. ; xii, 475, [1] p.)	976	   1
[2], [1], 2-90 s.	92	   1
[8], [54-]73, [2] p.	30	   1
[8], 53, [3] p.	64	   1
[16], 144 p.	160	   1
102, [10] p.	112	   1
85, [3] p.	88	   1
[8], 416, 22 p., [5] leaves of plates	434	   1
[6], 99, [1], 132 [i.e. 146], 73, [7] p., [18] leaves of plates	196	   1
[14], 408 p., [21] leaves of plates	464	   1
[14], 424 p., [2] leaves of plates	442	   1
