Name	Count
Total count: 	68561
NA	38011
4to	15345
8vo	 6744
12mo	 3264
2fo	 2594
16mo	 1675
1to	  496
4long	  206
8long	   99
32mo	   57
6to	   29
24mo	   12
18mo	    8
64mo	    8
12long	    7
2long	    4
16long	    1
20to	    1
