"","x"
"1","Tartto"
"2","Tartu"
"3","Dorpati"
"4","Dorpati Livonorum"
"5","Dorpati Livonvm"
"6","Dorpati Livonorvm"
"7","Dorpati Livonrum"
"8","Tartus"
