Name	Count	Count
Total count: 	n=690 (34500% non-NA values)	Total count: 
jósef	1	1
josephi	1	1
jostsson	1	1
jovard	1	1
józsef	1	1
juudas	1	1
kaarl	1	1
kaarola	1	1
kaimas	1	1
kaino	1	1
kálmán	1	1
kanzo	1	1
kaudsites	1	1
kersti	1	1
kiwi	1	1
klarry	1	1
klas	1	1
kleofas	1	1
knutsson	1	1
kolomán	1	1
kølpin	1	1
konni	1	1
konr	1	1
konstantinovitš	1	1
konstu	1	1
kössi	1	1
kosti	1	1
kr	1	1
kragh	1	1
kreivi	1	1
kreunpoika	1	1
kristfrid	1	1
kust	1	1
kustavi	1	1
kuuno	1	1
lafcadio	1	1
lage	1	1
laimi	1	1
lambertus	1	1
lampertus	1	1
lassar	1	1
laurentii	1	1
laurids	1	1
lauridsen	1	1
lauridz	1	1
lechard	1	1
legh	1	1
leijonsköld	1	1
léon	1	1
léonard	1	1
leonh	1	1
leonhardi	1	1
léonie	1	1
lessen	1	1
levington	1	1
liisi	1	1
lilius	1	1
lorents	1	1
lorentzson	1	1
lotten	1	1
lowes	1	1
lucii	1	1
ludolph	1	1
ludv	1	1
luth	1	1
lyder	1	1
lyydi	1	1
m:me	1	1
maccallum	1	1
magn	1	1
magni	1	1
magnusson	1	1
maikki	1	1
makepeace	1	1
malakias	1	1
mandrup	1	1
månsson	1	1
mårtensson	1	1
mathaeus	1	1
matteran	1	1
matthiae	1	1
mattsson	1	1
maunu	1	1
mc	1	1
medill	1	1
michaël	1	1
michaelis?	1	1
michaelsson	1	1
michelsson	1	1
mih	1	1
mihkel	1	1
mikhailovitsh	1	1
milnes	1	1
mimmi	1	1
mór	1	1
móricz	1	1
mrs	1	1
murenius'	1	1
naëma	1	1
naëmi	1	1
naphthali	1	1
natta	1	1
neiti	1	1
nenne	1	1
newman	1	1
nikolaevič	1	1
nikolaevits̆̌	1	1
nikolajevitš	1	1
nikolajevitsh	1	1
nilsson	1	1
nordahl	1	1
numero	1	1
nuor	1	1
nuutti	1	1
ö	1	1
odert	1	1
oihonna	1	1
ol	1	1
olai	1	1
olaug	1	1
olavus	1	1
olfert	1	1
olivieri	1	1
olofsson	1	1
olympius	1	1
onoto	1	1
orison	1	1
osc	1	1
osk	1	1
östen	1	1
osv	1	1
osw	1	1
outzen	1	1
øvre	1	1
pál	1	1
páltól	1	1
patriksson	1	1
pavali	1	1
pavo	1	1
pawali	1	1
peckelsheim	1	1
pehr	1	1
persson	1	1
petersen	1	1
petersson	1	1
pettersson	1	1
ph	1	1
pi	1	1
poika	1	1
porcius	1	1
primus	1	1
rabbe	1	1
rabindranath	1	1
rafaël	1	1
raiju	1	1
raikke	1	1
réginald	1	1
reginaldus	1	1
reguel	1	1
richardi	1	1
richardus	1	1
richert	1	1
richter	1	1
rickhard	1	1
rietrik	1	1
roine	1	1
roopert	1	1
rope	1	1
rudolphus	1	1
ruupert	1	1
ruusu	1	1
sakarias	1	1
salu	1	1
sámuel	1	1
samuelis	1	1
sándor	1	1
sanfrid	1	1
sch	1	1
schamil	1	1
sergejevitsch	1	1
seved	1	1
severi	1	1
siegbjörn	1	1
sigfridi	1	1
sigfridus	1	1
simonis	1	1
simonsson	1	1
siviä	1	1
skat	1	1
solmu	1	1
spiridonovitsh	1	1
steensen	1	1
stipriaan	1	1
stoud	1	1
strange	1	1
sulho	1	1
sunonis	1	1
svaami	1	1
svante	1	1
svenning	1	1
sveno	1	1
svenonis	1	1
svenonus	1	1
svensson	1	1
sverker	1	1
swett	1	1
synnöve	1	1
taav	1	1
tahwo	1	1
teod	1	1
teofilus	1	1
th	1	1
theodolinda	1	1
théodore	1	1
theodori	1	1
théophile	1	1
thiodolf	1	1
thomae	1	1
thorgeir	1	1
thos	1	1
thuronis	1	1
thv	1	1
tilma	1	1
tilta	1	1
tobiae	1	1
toimi	1	1
torb	1	1
tordsson	1	1
törneri	1	1
torstani	1	1
torsti	1	1
traiano	1	1
treumund	1	1
troelius	1	1
troels	1	1
trottonis	1	1
truls	1	1
tuomaantytär	1	1
tuovi	1	1
tuure	1	1
tyykö	1	1
udalricus	1	1
uddo	1	1
ulricus	1	1
uno	1	1
uunio	1	1
väikkö	1	1
väinö	1	1
valde	1	1
valérie	1	1
valfrid	1	1
valo	1	1
vanh	1	1
vasilij	1	1
venceslaus	1	1
venny	1	1
verneri	1	1
vesti	1	1
vialart	1	1
vietti	1	1
vihtori	1	1
viking	1	1
vilh	1	1
vilkku	1	1
villadtz	1	1
vindician	1	1
vine	1	1
vl	1	1
voldemar	1	1
vollrat	1	1
volmar	1	1
volter	1	1
vuu	1	1
w:m	1	1
wäinö	1	1
walentin	1	1
walmis	1	1
wasili	1	1
weikko	1	1
wenny	1	1
wentzel	1	1
werneri	1	1
whitall	1	1
whitmore	1	1
wicken	1	1
widar	1	1
wihtori	1	1
wildrich	1	1
wilh	1	1
wilhart	1	1
wilhelmi	1	1
wilhelmiina	1	1
wilhelmsson	1	1
wilhelmus	1	1
wilho	1	1
willads	1	1
wille	1	1
willehard	1	1
wivi	1	1
wl	1	1
wł	1	1
wm	1	1
wolfgangus	1	1
wolfhart	1	1
wolmar	1	1
wolrad	1	1
wsevolod	1	1
xx	1	1
yvonnne	1	1
zachariae	1	1
zachris	1	1
zakarias	1	1
žalia	1	1
zefanias	1	1
zoltán	1	1
zu	1	1
zur	1	1
