"","x"
"1","Strängnäs"
"2","Stregnesij"
"3","Strengnesiae"
"4","Strengnäs"
"5","Stregnesiae"
"6","Strengnäss"
"7","Strengnäsis"
"8","Strängnäsis"
"9","Strengnes"
