original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	Count
kartta 23,3 x 26 cm, lehti 41 x 56,5 cm.	NA	 23.3	 26.0	FALSE	NA	 23.3	 26.0	NA	  605.80	    1
lehti n. 63 x 51 cm.	NA	 51.0	 63.0	FALSE	NA	 51.0	 63.0	NA	 3213.00	    1
31,5 x 38,7 cm, lehti 38,5 x 46 cm.	NA	 31.5	 38.7	FALSE	NA	 31.5	 38.7	NA	 1219.05	    1
49,5 x 57,2 cm, lehti 53,5 x 63 cm.	NA	 49.5	 57.2	FALSE	NA	 49.5	 57.2	NA	 2831.40	    1
42,5 x 53,3 cm, lehti 44,5 x 57,7 cm.	NA	 42.5	 53.3	FALSE	NA	 42.5	 53.3	NA	 2265.25	    1
49,5 x 57,8 cm, lehti 53,5 x 51,2 cm.	NA	 49.5	 57.8	FALSE	NA	 49.5	 57.8	NA	 2861.10	    1
48 x 55,7 cm, lehti 53,2 x 60,8 cm.	NA	 48.0	 55.7	FALSE	NA	 48.0	 55.7	NA	 2673.60	    1
47,9 x 55,3 cm, lehti 52 x 59 cm.	NA	 47.9	 55.3	FALSE	NA	 47.9	 55.3	NA	 2648.87	    1
31,5 x 22 cm, lehti 42 x 26 cm.	NA	 22.0	 31.5	FALSE	NA	 22.0	 31.5	NA	  693.00	    1
48,6 x 56,5 cm, lehti 53 x 61,5 cm.	NA	 48.6	 56.5	FALSE	NA	 48.6	 56.5	NA	 2745.90	    1
48,2 x 56 cm, lehti 54 x 62 cm.	NA	 48.2	 56.0	FALSE	NA	 48.2	 56.0	NA	 2699.20	    1
70,7 x 49,6 cm, lehti 75 x 54 cm.	NA	 49.6	 70.7	FALSE	NA	 49.6	 70.7	NA	 3506.72	    1
59 x 48,6 cm, lehti 60,5 x 52 cm.	NA	 48.6	 59.0	FALSE	NA	 48.6	 59.0	NA	 2867.40	    1
96,7 x 66,8 cm, lehti n. 105 x 68,5 cm.	NA	 66.8	 96.7	FALSE	NA	 66.8	 96.7	NA	 6459.56	    1
46,8 x 64,4 cm, lehti 52,3 x 68,7 cm.	NA	 46.8	 64.4	FALSE	NA	 46.8	 64.4	NA	 3013.92	    1
46,8 x 64,4 cm, lehti 54,3 x 73,3 cm.	NA	 46.8	 64.4	FALSE	NA	 46.8	 64.4	NA	 3013.92	    1
48,2 x 55,5 cm, lehti 53,5 x 58,5 cm.	NA	 48.2	 55.5	FALSE	NA	 48.2	 55.5	NA	 2675.10	    1
46,5 x 64,5 cm, lehti n. 52,3 x 70,5cm.	NA	 46.5	 64.5	FALSE	NA	 46.5	 64.5	NA	 2999.25	    1
48,3 x 55,2 cm, lehti 53,5 x 60 cm.	NA	 48.3	 55.2	FALSE	NA	 48.3	 55.2	NA	 2666.16	    1
41,5 x 53 cm, lehti 56 x 66 cm.	NA	 41.5	 53.0	FALSE	NA	 41.5	 53.0	NA	 2199.50	    1
42,4 x 53 cm, lehti 47,5 x 56,5 cm.	NA	 42.4	 53.0	FALSE	NA	 42.4	 53.0	NA	 2247.20	    1
37,8 x 53 cm, lehti 48,5 x 59 cm.	NA	 37.8	 53.0	FALSE	NA	 37.8	 53.0	NA	 2003.40	    1
81,5 x 58,5 cm, lehti 94 x 63 cm.	NA	 58.5	 81.5	FALSE	NA	 58.5	 81.5	NA	 4767.75	    1
19,3 x 31,3 cm, lehti 29,7 x 42,2 cm.	NA	 19.3	 31.3	FALSE	NA	 19.3	 31.3	NA	  604.09	    1
45,5 x 55,3 cm, lehti 46,7 x 59,5 cm.	NA	 45.5	 55.3	FALSE	NA	 45.5	 55.3	NA	 2516.15	    1
56,2 x 47,6 cm, lehti 65,5 x 53 cm.	NA	 47.6	 56.2	FALSE	NA	 47.6	 56.2	NA	 2675.12	    1
36,3 x 48 cm, lehti n. 45 x 53,5 cm.	NA	 36.3	 48.0	FALSE	NA	 36.3	 48.0	NA	 1742.40	    1
36,3 x 48,3 cm, lehti n. 47 x 55,5 cm.	NA	 36.3	 48.3	FALSE	NA	 36.3	 48.3	NA	 1753.29	    1
36,3 x 48 cm, lehti n. 46 x 57 cm.	NA	 36.3	 48.0	FALSE	NA	 36.3	 48.0	NA	 1742.40	    1
41,7 x 58 cm, lehti 50 x 61,3 cm.	NA	 41.7	 58.0	FALSE	NA	 41.7	 58.0	NA	 2418.60	    1
68,5 x 100 cm, lehti 76,5 x 105 cm.	NA	 68.5	100.0	FALSE	NA	 68.5	100.0	NA	 6850.00	    1
12 x12,5 cm, lehti 13,2 x13 cm.	NA	 12.0	 12.5	FALSE	NA	 12.0	 12.5	NA	  150.00	    1
60,5 x 49 cm, lehti 84,5 x 64,8 cm.	NA	 49.0	 60.5	FALSE	NA	 49.0	 60.5	NA	 2964.50	    1
46,2 x 53,8 cm, lehti 53,5 x 62,7 cm.	NA	 46.2	 53.8	FALSE	NA	 46.2	 53.8	NA	 2485.56	    1
45,9 x 59 cm, lehti 54,3 x 63,7 cm.	NA	 45.9	 59.0	FALSE	NA	 45.9	 59.0	NA	 2708.10	    1
49,1 x 57,6 cm, lehti 52,5 x 60,7 cm.	NA	 49.1	 57.6	FALSE	NA	 49.1	 57.6	NA	 2828.16	    1
49,3 x 57,5 cm, lehti 54 x 63,3 cm.	NA	 49.3	 57.5	FALSE	NA	 49.3	 57.5	NA	 2834.75	    1
36,2 x 47 cm (41,2 x 55,6 cm ), lehti 53 x 61,5 cm.	NA	 36.2	 47.0	FALSE	NA	 36.2	 47.0	NA	 1701.40	    1
27,2 x 33,7 cm, lehti 35 x 43 cm.	NA	 27.2	 33.7	FALSE	NA	 27.2	 33.7	NA	  916.64	    1
28,3 x 35,9 cm, lehti 33,2 x 39 cm.	NA	 28.3	 35.9	FALSE	NA	 28.3	 35.9	NA	 1015.97	    1
19,3 x 26,4 cm, lehti 25,6 x 33,2 cm.	NA	 19.3	 26.4	FALSE	NA	 19.3	 26.4	NA	  509.52	    1
48,3 x 57,5 cm, lehti 53,5 x 65 cm.	NA	 48.3	 57.5	FALSE	NA	 48.3	 57.5	NA	 2777.25	    1
49 x 56 (63,7) cm, lehti 53,7 x 66,5 cm.	NA	 49.0	 56.0	FALSE	NA	 49.0	 56.0	NA	 2744.00	    1
47,6 x 58,6 cm, lehti 54 x 65,5 cm.	NA	 47.6	 58.6	FALSE	NA	 47.6	 58.6	NA	 2789.36	    1
48,5 x 59 cm, lehti 53,5 x 62,5 cm.	NA	 48.5	 59.0	FALSE	NA	 48.5	 59.0	NA	 2861.50	    1
40,8 x 55,4 cm, lehti 55,5 x 65 cm.	NA	 40.8	 55.4	FALSE	NA	 40.8	 55.4	NA	 2260.32	    1
43,5 x 55,2 cm, lehti 51 x 61 cm.	NA	 43.5	 55.2	FALSE	NA	 43.5	 55.2	NA	 2401.20	    1
39,2 x 55,2 cm, lehti 44 x 59 cm.	NA	 39.2	 55.2	FALSE	NA	 39.2	 55.2	NA	 2163.84	    1
38 x 51 cm, lehti 51 x 62 cm.	NA	 38.0	 51.0	FALSE	NA	 38.0	 51.0	NA	 1938.00	    1
35,4 x 47,4 cm, lehti 45 x 57 cm.	NA	 35.4	 47.4	FALSE	NA	 35.4	 47.4	NA	 1677.96	    1
48,2 x 57 cm, lehti 54,5 x 62,5 cm.	NA	 48.2	 57.0	FALSE	NA	 48.2	 57.0	NA	 2747.40	    1
