original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	Count
55 x 78 cm.	NA	 55.0	 78.0	FALSE	NA	 55.0	 78.0	NA	 4290.00	    1
55,5 x 82 cm.	NA	 55.5	 82.0	FALSE	NA	 55.5	 82.0	NA	 4551.00	    1
56 x 73 cm.	NA	 56.0	 73.0	FALSE	NA	 56.0	 73.0	NA	 4088.00	    1
74 x 56 cm.	NA	 56.0	 74.0	FALSE	NA	 56.0	 74.0	NA	 4144.00	    1
56,5 x 101 cm.	NA	 56.5	101.0	FALSE	NA	 56.5	101.0	NA	 5706.50	    1
55,5 x 72 cm.	NA	 55.5	 72.0	FALSE	NA	 55.5	 72.0	NA	 3996.00	    1
51 x 72 cm.	NA	 51.0	 72.0	FALSE	NA	 51.0	 72.0	NA	 3672.00	    1
58,5 x 81 cm.	NA	 58.5	 81.0	FALSE	NA	 58.5	 81.0	NA	 4738.50	    1
57 x 73 cm.	NA	 57.0	 73.0	FALSE	NA	 57.0	 73.0	NA	 4161.00	    1
73 x 56 cm.	NA	 56.0	 73.0	FALSE	NA	 56.0	 73.0	NA	 4088.00	    1
62,5 x 53,5 cm.	NA	 53.5	 62.5	FALSE	NA	 53.5	 62.5	NA	 3343.75	    1
72,5 x 55,5 cm.	NA	 55.5	 72.5	FALSE	NA	 55.5	 72.5	NA	 4023.75	    1
53 x 61,5 cm.	NA	 53.0	 61.5	FALSE	NA	 53.0	 61.5	NA	 3259.50	    1
53 x 60,5 cm.	NA	 53.0	 60.5	FALSE	NA	 53.0	 60.5	NA	 3206.50	    1
53 x 58 cm.	NA	 53.0	 58.0	FALSE	NA	 53.0	 58.0	NA	 3074.00	    1
37,5 x 54 cm.	NA	 37.5	 54.0	FALSE	NA	 37.5	 54.0	NA	 2025.00	    1
58,5 x 106 cm.	NA	 58.5	106.0	FALSE	NA	 58.5	106.0	NA	 6201.00	    1
77 x 58 cm.	NA	 58.0	 77.0	FALSE	NA	 58.0	 77.0	NA	 4466.00	    1
58,5 x 76 cm.	NA	 58.5	 76.0	FALSE	NA	 58.5	 76.0	NA	 4446.00	    1
60 cm.	NA	NA	 60.0	FALSE	NA	 36.0	 60.0	NA	 2160.00	    1
45,5 x 60,5 cm, lehti 52 x 64 cm.	NA	 45.5	 60.5	FALSE	NA	 45.5	 60.5	NA	 2752.75	    1
41 x 61 cm.	NA	 41.0	 61.0	FALSE	NA	 41.0	 61.0	NA	 2501.00	    1
60,3 x 46 cm.	NA	 46.0	 60.3	FALSE	NA	 46.0	 60.3	NA	 2773.80	    1
61 x 83 cm.	NA	 61.0	 83.0	FALSE	NA	 61.0	 83.0	NA	 5063.00	    1
49 x 64 cm.	NA	 49.0	 64.0	FALSE	NA	 49.0	 64.0	NA	 3136.00	    1
57 x 82 cm.	NA	 57.0	 82.0	FALSE	NA	 57.0	 82.0	NA	 4674.00	    1
60 x 100 cm.	NA	 60.0	100.0	FALSE	NA	 60.0	100.0	NA	 6000.00	    1
47,8 x 58,5 cm, lehti 50,5 x 62,7 cm.	NA	 47.8	 58.5	FALSE	NA	 47.8	 58.5	NA	 2796.30	    1
50 x 57,8 cm, lehti 52,5 x 63,3 cm.	NA	 50.0	 57.8	FALSE	NA	 50.0	 57.8	NA	 2890.00	    1
44 x 53,2 cm, lehti 51 x 62 cm.	NA	 44.0	 53.2	FALSE	NA	 44.0	 53.2	NA	 2340.80	    1
49 x 57,8 cm, lehti 53,5 x 64,3 cm.	NA	 49.0	 57.8	FALSE	NA	 49.0	 57.8	NA	 2832.20	    1
48,5 x 56,7 cm, lehti 50,2 x 58,5 cm.	NA	 48.5	 56.7	FALSE	NA	 48.5	 56.7	NA	 2749.95	    1
63 x 71 cm.	NA	 63.0	 71.0	FALSE	NA	 63.0	 71.0	NA	 4473.00	    1
64 x 69 cm.	NA	 64.0	 69.0	FALSE	NA	 64.0	 69.0	NA	 4416.00	    1
55 x 57,5 cm, lehti 63 x 67,5 cm.	NA	 55.0	 57.5	FALSE	NA	 55.0	 57.5	NA	 3162.50	    1
55,2 x 62 cm, lehti 62 x 70 cm.	NA	 55.2	 62.0	FALSE	NA	 55.2	 62.0	NA	 3422.40	    1
55,3 x 62 cm, lehti 62 x 70 cm.	NA	 55.3	 62.0	FALSE	NA	 55.3	 62.0	NA	 3428.60	    1
57,3 x 62,5 cm, lehti 61,5 x 70 cm.	NA	 57.3	 62.5	FALSE	NA	 57.3	 62.5	NA	 3581.25	    1
57,5 x 62,5 cm, lehti 62 x 70 cm.	NA	 57.5	 62.5	FALSE	NA	 57.5	 62.5	NA	 3593.75	    1
54 x 58 cm, lehti 61,5 x 69,5 cm.	NA	 54.0	 58.0	FALSE	NA	 54.0	 58.0	NA	 3132.00	    1
58 x 61 cm, lehti 61,5 x 69,5 cm.	NA	 58.0	 61.0	FALSE	NA	 58.0	 61.0	NA	 3538.00	    1
32:o.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    1
21,4 x 14,5 cm, lehti 23 x 16,7 cm.	NA	 14.5	 21.4	FALSE	NA	 14.5	 21.4	NA	  310.30	    1
21,4 x 15 cm, lehti 27,6 x 39,7 cm.	NA	 15.0	 21.4	FALSE	NA	 15.0	 21.4	NA	  321.00	    1
18 x 21,8 cm.	NA	 18.0	 21.8	FALSE	NA	 18.0	 21.8	NA	  392.40	    1
43,8 x 54,8 cm, lehti 46 x 56,7 cm.	NA	 43.8	 54.8	FALSE	NA	 43.8	 54.8	NA	 2400.24	    1
43,7 x 58 cm, lehti 45,6 x 60 cm.	NA	 43.7	 58.0	FALSE	NA	 43.7	 58.0	NA	 2534.60	    1
46,7 x 55 cm, lehti 48,5 x 59,3 cm.	NA	 46.7	 55.0	FALSE	NA	 46.7	 55.0	NA	 2568.50	    1
42,5 x 57 cm, lehti 44,5 x 60,8 cm	NA	 42.5	 57.0	FALSE	NA	 42.5	 57.0	NA	 2422.50	    1
14 x 19 cm.	NA	 14.0	 19.0	FALSE	NA	 14.0	 19.0	NA	  266.00	    1
43 x 28 c, lehti 44 x 29 cm.	NA	 28.0	 43.0	FALSE	NA	 28.0	 43.0	NA	 1204.00	    1
194 x 137 cm.	NA	137.0	194.0	FALSE	NA	137.0	194.0	NA	26578.00	    1
54,2 x 66,4 cm, lehti 56,7 x 69,7 cm.	NA	 54.2	 66.4	FALSE	NA	 54.2	 66.4	NA	 3598.88	    1
50,3 x 56,4 cm.	NA	 50.3	 56.4	FALSE	NA	 50.3	 56.4	NA	 2836.92	    1
45,5 x 44 cm, lehti 47,5 x 47 cm.	NA	 44.0	 45.5	FALSE	NA	 44.0	 45.5	NA	 2002.00	    1
24,8 x 19 cm, lehti 30 x 22,5 cm.	NA	 19.0	 24.8	FALSE	NA	 19.0	 24.8	NA	  471.20	    1
8:o?.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    1
2:o (4:o?)	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    1
s. [28] tyhjä ;;4:o.	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	    1
s. [32] tyhjä ;;4:o.	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	    1
[8:o?].	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    1
12:o?.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    1
[poikittais-2:o].	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    1
4:o+	4long	NA	NA	FALSE	4long	 27.0	 35.0	 0	  945.00	    1
[poikittais-1:o].	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    1
[32:o].	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    1
[8:o] +	8long	NA	NA	FALSE	8long	 13.0	 22.0	 0	  286.00	    1
