original	polished	Count
Funcke, Otto.	Funcke, Otto	20
Paasonen, Heikki.	Paasonen, Heikki	20
Helsingius, Gustaf Adolf.	Helsingius, Gustaf Adolf	20
Blink, Carl.	Blink, Carl	20
Nylander, John William.	Nylander, John William	20
Frosterus-Segerstråle, Hanna.	Frosterus-segerstråle, Hanna	20
Häggman, Ossian.	Häggman, Ossian	20
Levander, K. M.	Levander, K. M	20
Bonsdorff, Adolf von.	Bonsdorff, Adolf Von	20
Lunde, Albert G.	Lunde, Albert G	20
Schvindt, Theodor.	Schvindt, Theodor	19
Freudenthal, A. O.	Freudenthal, A. O	19
Bergh, Edv.	Bergh, Edv	19
Kihlman, Alfred Oswald.	Kihlman, Alfred Oswald	19
Cannelin, Knut.	Cannelin, Knut	19
Scott, Walter.	Scott, Walter	19
Smiles, Samuel.	Smiles, Samuel	19
Karsten, T. E.	Karsten, T. E	19
Melander, H. L.	Melander, H. L	18
Ibsen, Henrik.	Ibsen, Henrik	18
Lönnbeck, Gustaf F.	Lönnbeck, Gustaf F	18
Vest, Eliel.	Vest, Eliel	18
Krummacher, Friedrich Wilhelm.	Krummacher, Friedrich Wilhelm	18
Fresenius, Johan Philipp.	Fresenius, Johan Philipp	18
Zola, Émile.	Zola, Émile	18
Sirelius, U. T.	Sirelius, U. T	18
Gray, Alice.	Gray, Alice	18
Jahnsson, Yrjö.	Jahnsson, Yrjö	18
Mellin, Hj.	Mellin, Hj	18
Alho, August.	Alho, August	18
Ruotsalainen, Armas.	Ruotsalainen, Armas	18
Linné, Carl von.	Linné, Carl Von	18
Wecksell, Josef Julius.	Wecksell, Josef Julius	17
Key, Ellen.	Key, Ellen	17
Hurtig, Karl.	Hurtig, Karl	17
Westerback, Johan.	Westerback, Johan	17
Ojansuu, Heikki.	Ojansuu, Heikki	17
Tegengren, Jacob.	Tegengren, Jacob	17
Tallqvist, Knut.	Tallqvist, Knut	17
Reuter, Enzio.	Reuter, Enzio	17
Rosendal, Mauno.	Rosendal, Mauno	17
Spyri, Johanna.	Spyri, Johanna	17
Roos, Mathilda.	Roos, Mathilda	17
Aarne, Antti.	Aarne, Antti	17
Collan, Anni.	Collan, Anni	17
Ilkka, Mikko.	Ilkka, Mikko	17
Hirn, Yrjö.	Hirn, Yrjö	16
Wainio, Edvard August.	Wainio, Edvard August	16
Waldenström, Peter Paul.	Waldenström, Peter Paul	16
Neovius, L.	Neovius, L	16
Gripenberg, R.	Gripenberg, R	16
Willgren, Karl.	Willgren, Karl	16
Sankey, Ira D.	Sankey, Ira D	16
Svensson, Joh.	Svensson, Joh	16
Twain, Mark.	Twain, Mark	16
Relander, Konrad.	Relander, Konrad	16
Moody, D. L.	Moody, D. L	16
Procope, Hjalmar.	Procope, Hjalmar	16
Kipling, Rudyard.	Kipling, Rudyard	16
Tšehov, Anton.	Tšehov, Anton	16
Sohlberg, Hedvig.	Sohlberg, Hedvig	16
Sick, Ingeborg Maria.	Sick, Ingeborg Maria	16
Tanner, K. O.	Tanner, K. O	16
Kahilus, J.	Kahilus, J	16
Chydenius, Jakob Wilhelm.	Chydenius, Jakob Wilhelm	16
Hytönen, Viljo.	Hytönen, Viljo	16
Axelson, Väinö.	Axelson, Väinö	16
Wilkuna, Kyösti.	Wilkuna, Kyösti	16
Helander, A. Benjamin.	Helander, A. Benjamin	16
Lundén, Ossian.	Lundén, Ossian	16
Palmgren, Rolf.	Palmgren, Rolf	15
Enroth, Karolina.	Enroth, Karolina	15
Hausen, Reinhold.	Hausen, Reinhold	15
