"","x"
"1","Västerås"
"2","Arosia"
"3","Arosiensis"
"4","Westrosia"
"5","wästerås"
"6","wästeråhs"
"7","västerås"
"8","wästeråås"
"9","westerås"
"10","westeråhs"
