"","x"
"1","Turku"
"2","Turussa"
"3","Åbo"
"4","Aboae"
"5","Aboae Finnorum"
"6","Abogiae"
"7","åbo"
"8","turku"
"9","aboae"
"10","åboae"
"11","abo"
"12","aboe"
"13","abogiae"
"14","abodiae"
"15","boae"
"16","aboa"
"17","abóa"
"18","aboáe"
"19","turussa"
"20","å̊bo"
"21","turusa"
"22","turuusa"
"23","turasa"
"24","turus"
