original	polished	Count
Bodkin, Mc. Donnel.	Bodkin, Mc. Donnel	23
Gripenberg, Bertel.	Gripenberg, Bertel	23
Aschan, Ossian.	Aschan, Ossian	23
Heinricius, G.	Heinricius, G	23
Russell, C. T.	Russell, C. T	23
Swan, Anni.	Swan, Anni	23
Ailio, Julius.	Ailio, Julius	23
White, Ellen G.	White, Ellen G	23
Ollinen, J. F.	Ollinen, J. F	23
Carlsson, Wilh.	Carlsson, Wilh	22
Gummerus, K. J.	Gummerus, K. J	22
Kockström, V. R.	Kockström, V. R	22
Haapanen, Urho Viljo.	Haapanen, Urho Viljo	22
Relander, Lauri Kristian.	Relander, Lauri Kristian	22
Godenhjelm, B. F.	Godenhjelm, B. F	22
Dickens, Charles.	Dickens, Charles	22
Kautsky, Karl.	Kautsky, Karl	22
Andersen, H. C.	Andersen, H. C	22
Cederberg, A. R.	Cederberg, A. R	22
Schiller, Friedrich von.	Schiller, Friedrich Von	22
Johnsson, August Mikael.	Johnsson, August Mikael	21
Erslev, Edouard.	Erslev, Edouard	21
Danielson, Joh. Rich.	Danielson, Joh. Rich	21
Mellberg, E. J.	Mellberg, E. J	21
Tallgren, A. M.	Tallgren, A. M	21
Sienkiewicz, Henryk.	Sienkiewicz, Henryk	21
Inha, I. K.	Inha, I. K	21
Sandelin, L. H.	Sandelin, L. H	21
Hermanson, Robert.	Hermanson, Robert	21
Caine, Hall.	Caine, Hall	21
Haataja, Kyösti.	Haataja, Kyösti	21
Lindelöf, Ernst.	Lindelöf, Ernst	21
Jókai, Mór.	Jókai, Mór	21
Aro, J. E.	Aro, J. E	21
Cajander, A. K.	Cajander, A. K	21
Forstén, T. K.	Forstén, T. K	21
Verne, Jules.	Verne, Jules	21
Eurén, G. E.	Eurén, G. E	20
Aspelin, J. R.	Aspelin, J. R	20
Roos, Magnus Friedrich.	Roos, Magnus Friedrich	20
Mela, Aukusti Juhana.	Mela, Aukusti Juhana	20
Funcke, Otto.	Funcke, Otto	20
Frosterus-Segerstråle, Hanna.	Frosterus-segerstråle, Hanna	20
Nylander, John William.	Nylander, John William	20
Mörne, Arvid.	Mörne, Arvid	20
Levander, K. M.	Levander, K. M	20
Lunde, Albert G.	Lunde, Albert G	20
Blink, Carl.	Blink, Carl	20
Häggman, Ossian.	Häggman, Ossian	20
Gossner, Johannes.	Gossner, Johannes	20
Helsingius, Gustaf Adolf.	Helsingius, Gustaf Adolf	20
Paasonen, Heikki.	Paasonen, Heikki	20
Bonsdorff, Adolf von.	Bonsdorff, Adolf Von	20
Lilius, Axel.	Lilius, Axel	20
Elfving, Östen.	Elfving, östen	20
Kihlman, Alfred Oswald.	Kihlman, Alfred Oswald	19
Smiles, Samuel.	Smiles, Samuel	19
Freudenthal, A. O.	Freudenthal, A. O	19
Strömborg, J. E.	Strömborg, J. E	19
Genetz, Arvid Th.	Genetz, Arvid Th	19
Karsten, T. E.	Karsten, T. E	19
Schvindt, Theodor.	Schvindt, Theodor	19
Scott, Walter.	Scott, Walter	19
Hintikka, S. V.	Hintikka, S. V	19
Cannelin, Knut.	Cannelin, Knut	19
Blomqvist, Edv.	Blomqvist, Edv	19
Sederholm, C. R.	Sederholm, C. R	19
Bergh, Edv.	Bergh, Edv	19
Melander, H. L.	Melander, H. L	18
Vest, Eliel.	Vest, Eliel	18
Lönnbeck, Gustaf F.	Lönnbeck, Gustaf F	18
Jahnsson, Yrjö.	Jahnsson, Yrjö	18
Palmén, J. A.	Palmén, J. A	18
Nyström, Solmu.	Nyström, Solmu	18
Mellin, Hj.	Mellin, Hj	18
Krummacher, Friedrich Wilhelm.	Krummacher, Friedrich Wilhelm	18
Sirelius, U. T.	Sirelius, U. T	18
Ibsen, Henrik.	Ibsen, Henrik	18
Ruotsalainen, Armas.	Ruotsalainen, Armas	18
Rosenqvist, I. A.	Rosenqvist, I. A	18
Gray, Alice.	Gray, Alice	18
Liro, J. I.	Liro, J. I	18
Alho, August.	Alho, August	18
Zola, Émile.	Zola, Émile	18
Linné, Carl von.	Linné, Carl Von	18
Fresenius, Johan Philipp.	Fresenius, Johan Philipp	18
Westerback, Johan.	Westerback, Johan	17
Wecksell, Josef Julius.	Wecksell, Josef Julius	17
Key, Ellen.	Key, Ellen	17
Tegengren, Jacob.	Tegengren, Jacob	17
Slotte, K. F.	Slotte, K. F	17
Tallqvist, Knut.	Tallqvist, Knut	17
Roos, Mathilda.	Roos, Mathilda	17
Reuter, Enzio.	Reuter, Enzio	17
Hellens, O. von.	Hellens, O. Von	17
Ilkka, Mikko.	Ilkka, Mikko	17
Spyri, Johanna.	Spyri, Johanna	17
Hurtig, Karl.	Hurtig, Karl	17
Rosendal, Mauno.	Rosendal, Mauno	17
Ojansuu, Heikki.	Ojansuu, Heikki	17
Danielson-Kalmari, J. R.	Danielson-kalmari, J. R	17
Collan, Anni.	Collan, Anni	17
Aarne, Antti.	Aarne, Antti	17
Rapola, F. O.	Rapola, F. O	17
Grönhagen, K. B.	Grönhagen, K. B	16
Svensson, Joh.	Svensson, Joh	16
Neovius, L.	Neovius, L	16
Willgren, Karl.	Willgren, Karl	16
Waldenström, Peter Paul.	Waldenström, Peter Paul	16
Procope, Hjalmar.	Procope, Hjalmar	16
Tanner, K. O.	Tanner, K. O	16
Wainio, Edvard August.	Wainio, Edvard August	16
Ramstedt, G. J.	Ramstedt, G. J	16
Relander, Konrad.	Relander, Konrad	16
Sohlberg, Hedvig.	Sohlberg, Hedvig	16
Chydenius, Jakob Wilhelm.	Chydenius, Jakob Wilhelm	16
Moody, D. L.	Moody, D. L	16
