original	polished	Count
Tukholmassa	Stockholm	9
[Berlin]	Berlin	9
Hamburg	Hamburg	9
Heidelberg	Heidelberg	9
Wiburg	Vyborg	9
Isokyrö	Isokyrö	9
Vpsaliae	Uppsala	9
Witebergae	Wittenberg	9
[Turku?]	Turku	9
Linköping	Linköping	9
I Åbo	Turku	9
[Hämeenlinna]	Hämeenlinna	8
St. Pétersbourg	St Petersburg	8
S.-Peterburg	St Petersburg	8
Göteborg	Gothenburg	8
New York (N.Y.)	New York NY	8
Pest	Budapest	8
Viipurissa	Vyborg	8
[Leipzig]	Leipzig	8
Hämeenlinna ;;Tampere	Hämeenlinna	8
[Wiborg]	Vyborg	8
Kjöbenhavn	Copenhagen	8
Terijoki	Terijoki	8
Rostochi	Rostock	8
Prändäty Turusa	Turku	8
Trykkt i Åbo	Turku	8
Weimar	Weimar	7
Salo	Salo	7
Zürich	Zurich	7
Copenhague	Copenhagen	7
Tübingen	Tubingen	7
Roma	Rome	7
Astoria (Ore.)	Astoria OR	7
Mikkelissä	Mikkeli	7
Porissa	Pori	7
Firenze	Firenze	7
Norrköping	Norrköping	7
Lübeck	Lybeck	7
[Wiipuri]	Vyborg	7
Stokkholmisa	Stockholm	7
Arosiae	Västerås	7
Wiesbaden	Wiesbaden	7
Eura	Eura	7
A Amsterdam	Amsterdam	7
[Nürnberg]	Nürnberg	7
I Stockholm	Stockholm	7
Impr. Aboae	Turku	7
Upsalis	Uppsala	7
[Rostochii]	Rostock	7
Gryphiswaldiae	Greifswald	7
[Helsingissä]	Helsinki	6
Hernösand	Härnösand	6
Haparanda	Haaparanta	6
[Waasa]	Vaasa	6
New York Mills (Minn.)	New York Mills MN	6
St.-Pétersbourg	St Petersburg	6
Warszawa	Warsaw	6
Petrograd	St Petersburg	6
Ishpeming (Mich.)	Ishpeming MI	6
[Uppsala]	Uppsala	6
[Jyväskylässä]	Jyväskylä	6
Sortawala	Sortavala	6
Worcester (Mass.)	Worcester MA	6
Westerås	Västerås	6
Raumo	Rauma	6
Brooklyn, N.Y.	New York NY	6
Bonn	Bonn	6
Ísafjördur	Ísafjördur	6
Norimbergae	Nürnberg	6
Lincopiae	Linköping	6
[Ubsaliae]	Uppsala	6
Tryckt j Stockholm	Stockholm	6
Stokholmiae	Stockholm	6
[Dorpat?]	Tartu	6
Milano	Milano	5
Jämsä	Jämsä	5
[Gel'singfors']	Helsinki	5
Sortavalassa	Sortavala	5
Fitchburg, Massachusetts	Fitchburg MA	5
Raumalla	Rauma	5
Tallinnas	Tallinn	5
Christiania	Oslo	5
S:t Petersburg	St Petersburg	5
Odense	Odense	5
Amsterdam	Amsterdam	5
Cambridge	Cambridge	5
Almena (Wis.)	Almena WI	5
Halle	Halle	5
[Lund]	Lund	5
[St. Petersburg]	St Petersburg	5
Rostock	Rostock	5
Bergen	Bergen	5
Quincy (Mass.)	Quincy MA	5
Wilno	Vilnius	5
Lundae	Lund	5
Sortavola	Sortavala	5
Nikolainkaupungissa	Vaasa	5
[Tukholma?]	Stockholm	5
Calumet, (Mich.)	Calumet MI	5
Bern	Bern	5
[Hancock (Mich.)]	Hancock MI	5
Haapajärvi	Haapajärvi	5
[Augsburg]	Augsburg	5
Wästerås	Västerås	5
Lvgdvni Batavorvm	Leiden	5
Rigae	Riga	5
[Tryckt i Åbo]	Turku	5
Impressa Aboae	Turku	5
[Stockholmis]	Stockholm	5
Gedruckt zu Abo	Turku	5
Pernau	Pernaja	5
[Stockholm?]	Stockholm	5
Upsalae	Uppsala	5
I Åpo	Turku	5
Tryckt i Wasa	Vaasa	5
Stockholm, Upsala och Åbo	Stockholm	5
[Tammerfors]	Tampere	4
Seinäjoki	Seinäjoki	4
Rovaniemi	Rovaniemi	4
Kaskinen	Kaskinen	4
Odessa	Odessa	4
[Budapest]	Budapest	4
Gotha	Gotha	4
Te Haarlem	Haarlem	4
Jönköping	Jönnköping	4
S.-Peterburg' : A. È. Vineke	St Petersburg	4
Köpenhamn	Copenhagen	4
Tartus	Tartu	4
St-Pétersbourg	St Petersburg	4
Peterburis	St Petersburg	4
Kotkassa	Kotka	4
Helsigfors	Helsinki	4
Sanktpeterburg''	St Petersburg	4
Helsingis	Helsinki	4
Madrid	Madrid	4
Tromsø	Tromsö	4
Stockholm :;Helsingfors	Stockholm	4
Reykjavik	Reykjavik	4
Fahlun	Falun	4
[Nytorp]	Nytorp	4
Hämeenlinna ;;Porvoo	Hämeenlinna	4
Turusa, prändätty	Turku	4
Karjalohja	Karjalohja	4
Porwoo	Porvoo	4
Orivesi	Orivesi	4
Helsingfros	Helsinki	4
[Tryckt i Wasa]	Vaasa	4
