"","x"
"1","Porvoo"
"2","Porvoossa"
"3","Borgå"
"4","Porvoo; Borgo"
"5","Borgå̊"
"6","Porwoo"
"7","Borgo"
"8","Porwoossa"
"9","Porwossa"
