name;synonyme
Upsaiae sic;Uppsala
upsaiae;Uppsala
upsalae;Uppsala
Upsalae;Uppsala
upsalassa;Uppsala
upsalas;Uppsala
Upsalas;Uppsala
upsala;Uppsala
Upsaliae et Aboae;Uppsala
Upsaliae meime;Uppsala
upsaliae;Uppsala
Upsaliae;Uppsala
upsalie ime;Uppsala
Upsalie meime;Uppsala
upsalie;Uppsala
Upsalie;Uppsala
upsalis;Uppsala
Upsalis;Uppsala
upsal;Uppsala
Upsal;Uppsala
U_r'ev'';NA
urjala;Urjala
Urjala;Urjala
U S A;USA
Utrecht;Utrecht
uudessakaupungissa;Uusikaupunki
Uudessakaupungissa;Uusikaupunki
Uusikaarlepyy;Uusikaarlepyy
Uusikaupunki;Uusikaupunki
Uusikirkko;Uusikirkko
Vaasa;Vaasa
vainikkala;Vainikkala
Vainikkala;Vainikkala
valaam;Valamo
Valaam;Valamo
valkjärvi;Valkjärvi
Valkjärvi;Valkjärvi
Vammala;Vammala
Vars_ava;Warsaw
varšava;Warsow
Varsova;Warsaw
Varsovie;Warsaw
varsovie;Warsow
Västerös;Västerös
vbsaliae;Uppsala
Vbsaliae;Uppsala
venezia;Venice
Venezia;Venice
venise;Venice
Venise;Venice
verona;Verona
Verona;Verona
ver Rigae Livonum;Riga
Verteutscht und Riga;Riga
viborgae;Viipuri
Viborgae;Viipuri
Vicenza;Vicenza
Vi_den';Vienna
Viipuri;Viipuri
viitasaari;Viitasaari
Viitasaari;Viitasaari
vilnae;Vilna
Vilna;Vilna
Vind Augsburg;Augsburg
Virginia Minn;Virginia MN
Virolahti;Virolahti
Vjatka;Vjatka
Vlm;Ulm
vpsala;Uppsala
vpsaliae;Uppsala
Vpsaliae;Uppsala
Vreta;Vreta
v' sanktpeterburgě;Saint Petersbourg
v' sanktpeterburge;Saint Petersbourg
V' Sanktpeterburge_;Saint Petersburg
V' Sanktpeterburge;Saint Petersburg
V Telc_i;Tel_
Vthi Åbo;Turku
vthi Stockholm;Stockholm
vthi Wästeröös;Västerös
vthi Wästerös;Västerös
vyborg';Viipuri
vyborg'';Viipuri
Vyborg';Viipuri
Vyborg'';Viipuri
Wandsbek;Wandsbek
Warschau;Warsaw
warschau;Warsow
Watton Mich;Watton MI
Weida;Weida
Weimar Verlage des Industrie Comptoirs;Weimar
Weimar;Weimar
Wib;NA
wiborg;Viipuri
Wien;Vienna
Wiesbaden;Wiesbaden
Wijsingsborg;Visingsborg
Wijsingzborg;Visingsborg
Wiljandis;Viljandi
Wiljandi;Viljandi
wilno;Vilnius
Wilno;Wilno
Wisingsburgi;Visingsborg
Wisingzborg;Visingsborg
Wismariae;Wismar
wittebergae;Wittenberg
Wittenberg;Wittenberg
w krakowie;Krakow
W Krakowie;Krakow
Worcester MA;Worcester MA
Wu_rzburg;Wu_rzburg
ylimarkku;Ylimarkku
Ylimarkku;Ylimarkku
ylistaro;Ylistaro
Ylistaro;Ylistaro
ylivieska;Ylivieska
Ylivieska;Ylivieska
York;York
ypäjä;Ypäjä
Ypäjä;Ypäjä
zürich;Zurich
Zu_rich;Zu_rich
Zu Riga;Riga
