doc.dimension,mean.pages,median.pages,n
2fo,80,70,1717
4long,147,56,83
4to,127,70,4534
6to,138,93,20
8long,228,122,92
8vo,144,95,5973
12long,266,142,11
12mo,142,96,2510
16long,159,159,1
16mo,135,70,1310
18mo,208,180,321
20to,209,209,1
24mo,302,184,12
32mo,231,127,76
64mo,117,128,6
NA,154,112,25270
