"","publisher","n"
"3457","Svanbäck & komp",2
"3458","Sven Gabriel Elmgren",2
"3459","Svenska Bildningens Vänner",2
"3460","Svenska Teaterföreningen",2
"3461","Svenska fruntimmersskolan",2
"3462","Svenska fruntimmersskolan i Wiborg",2
"3463","Svenska literatursällskapet i Finland",2
"3464","Sysmän pitäjä",2
"3465","SÖU",2
"3466","Sällskapet för Finlands geografi :;G. W. Edlund, jakaja",2
"3467","Söderström & C:o, jakaja",2
"3468","Söderström :;Stolpe",2
"3469","Söderström ja Kumpp",2
"3470","Söderström, i distr",2
"3471","T-vo R. Golike i A. Vil'borg",2
"3472","Taiteilijaseura",2
"3473","Tammelin",2
"3474","Tampereen Kansalliskirjapaino",2
"3475","Tampereen Sanomain kirjasto",2
"3476","Tampereen kansalliskirjapaino",2
"3477","Tampereen kaupunkilähetys",2
"3478","Tampereen kp.-oy",2
"3479","Tampereen osuuskauppapiiri",2
"3480","Tampereen paperiteos",2
"3481","Tampereen paperiteos oy",2
"3482","Tampereen piirin naisten agitatsionikomitea",2
"3483","Tampereen sanomat",2
"3484","Tampereen työväen sanomalehti-osakeyhtiö",2
"3485","Tampereen työväenopisto",2
"3486","Tarmo",2
"3487","Teknillinen aikakauslehti Konetyömies",2
"3488","Tekniska Föreningen",2
"3489","Tekniska föreningen",2
"3490","Tekniska föreningen i Finland",2
"3491","Telen",2
"3492","Tele´n ja K",2
"3493","Teosofinen Kirjakauppa ja Kustannusliike",2
"3494","Th. Michaelsen & Tillge",2
"3495","The Robert Clarke Company",2
"3496","Theodor Neovius",2
"3497","Thiesen",2
"3498","Tidn. f. mjölkhushålln",2
"3499","Tidnings- och tryckeriaktiebolaget",2
"3500","Tidskriften Hemma och ute",2
"3501","Tidskriften Lukutupa",2
"3502","Tilastollinen päätoimisto",2
"3503","Tipografia^ s<U+030C>taba otde<U+030C>l'nago korpusa vnutrennej straz<U+030C>i",2
"3504","Tipografi`a^ Finla^ndskoj gazety",2
"3505","Tipografi`a^ Lili`us' & Gertcberg",2
"3506","Tipografi`a^ M. Merkus<U+030C>eva",2
"3507","Tipografi`a^ Nadez<U+030C>da",2
"3508","Tipografi`a^ t-va 'Obs^estvennaa^ pol'za",2
"3509","Toimitttaja",2
"3510","Totuuden ystävän toimitus",2
"3511","Toveri",2
"3512","Tryckt. Hos. Joh. Christoph. Frenckell",2
"3513","Tuberkuloosin vastustamisyhdistys",2
"3514","Tuberkulosin Vastustamisyhdistys",2
"3515","Tuberkulosinvastustamisyhdistys",2
"3516","Turisttrafikförbundet",2
"3517","Turun Eläinten Ystävät",2
"3518","Turun Pipliaseura",2
"3519","Turun hovioikeus",2
"3520","Turun kansalaisjärjestö",2
"3521","Turun kaupungin kansakoulujen johtokunta",2
"3522","Turun kp",2
"3523","Turun lehti",2
"3524","Turun piiritoimikunta",2
"3525","Turun sanomat",2
"3526","Turun suomalainen kirjapaino- ja sanomalehti-osake-yhtiö",2
"3527","Turun suomalainen kirjapaino- ja sanomalehti-osakeyhtiö",2
"3528","Turun suomalainen yliopistoseura",2
"3529","Turun taidemuseo",2
"3530","Turun taideyhdistys",2
"3531","Turun tuomiokapituli",2
"3532","Turun työväen sanomalehtiosakeyhtiö",2
"3533","Tusby svenska ungdomsförening",2
"3534","Tuuri",2
"3535","Tuusulan kansanopisto",2
"3536","Typis acad",2
"3537","Työkansan k.-yhtiö",2
"3538","Työläiskynäilijäin kustannusliike",2
"3539","Työnjuhlatoimikunta",2
"3540","Työväen kirjakauppa",2
"3541","Työväen kustannus-osakeyhtiö",2
"3542","Työväen sanolehti-o.y",2
"3543","Työväen sanomalehti-osuuskunta Raivaaja",2
"3544","Tähti",2
"3545","U. W. Telen & C:o",2
"3546","Ulvilan kunta",2
"3547","Uniooni naisasialiitto Suomessa",2
"3548","Universitetsbiblioteket",2
"3549","Uno Knorrings fonds förlag",2
"3550","Urheilijain Kustannus-oy",2
"3551","Urheilijan kustannus",2
"3552","Utgg",2
"3553","Utgifvare",2
"3554","Utgifvaren :;Wickström sekä C. E. Fritze, jakajat",2
"3555","Utgifwarens förlag",2
"3556","Uudenkaupungin kirjapaino",2
"3557","Uudenmaanläänin maanviljelysseura",2
"3558","Uuno A. Varis",2
"3559","Uurtaja",2
"3560","Uusi aika",2
"3561","Uusi ruotsalainen yhteiskoulu",2
"3562","U^.N. E`rlih",2
"3563","V. Arpiainen",2
"3564","V. Giard & E. Brie`re",2
"3565","V. Kosonen",2
"3566","V. M. von Born",2
"3567","V. Nurmi",2
"3568","V. Pettersson",2
"3569","V. R. Kockström",2
"3570","V. Solstrand",2
"3571","V. T",2
"3572","V. von Rehausen",2
"3573","Vaasan läänin eteläinen vaalipiiri",2
"3574","Vapaa lähetys",2
"3575","Vapaa sana",2
"3576","Vartio-Torni",2
"3577","Vasa Nyheter",2
"3578","Veckobladet",2
"3579","Veit & C:o",2
"3580","Verkehrsbureau Norden",2
"3581","Verlag der Arbeiter-Versorgung",2
"3582","Verlag des Landes-Industrie-Comptoirs",2
"3583","Verlagsbuchhandlung Bethel",2
"3584","Verner Se¨derstrem",2
"3585","Verner Söderström",2
"3586","Verneri Vesterdahl",2
"3587","Vestfinska afdelningen",2
"3588","Victor Heyno",2
"3589","Victoria Government Office",2
"3590","Vienan karjalaisten liitto",2
"3591","Vihtori Niemi",2
"3592","Viipurin evankelis-luterilainen nuorisoyhdistys",2
"3593","Viipurin palvelijataryhdistys",2
"3594","Viipurin raittiusseura",2
"3595","Viipurin työväen sanomalehtiosuuskunta",2
"3596","Viktor Hoving",2
"3597","Viktor Pettersson",2
"3598","Viktor Taipale",2
"3599","Voenno-Topografic<U+030C>eskoe Depo",2
"3600","Voinvientiosuusliike Oma",2
"3601","Voinvientiosuusliike Walio",2
"3602","Voss",2
"3603","Vuoksi",2
"3604","Väinämöisen kansalaiskirjasto",2
"3605","Väinö Andelin",2
"3606","Västfinska Ungdomsförbundet",2
"3607","Västfinska stammen",2
"3608","Västra Nylands folkhögskola",2
"3609","W. Fredrikson",2
"3610","W. Schultz",2
"3611","WSoy",2
"3612","Wahlström & Låström",2
"3613","Wald. Churberg",2
"3614","Ware´n",2
"3615","Wasenius :;Edlund",2
"3616","Waseniuska Bokhandeln",2
"3617","Waseniuska Bokhandeln i distr",2
"3618","Weilin & Göös :;Tekijä",2
"3619","Weilin & Kumpp",2
"3620","Weilin ja Göös :;Lutherilainen Evankeliumi-yhtiö",2
"3621","Weilin ja Göös :;Wile´n",2
"3622","Welter",2
"3623","Wennberg",2
"3624","Wennberg ja K",2
"3625","Wenzel Hagelstam",2
"3626","Werner Klinkhardt",2
"3627","Western Workmen's Co-op. Publishing Company",2
"3628","Wettergren & Kerber",2
"3629","Wiborgs F. B. K",2
"3630","Wiborgs Konstvänner",2
"3631","Wickström, distr",2
"3632","Wiipurin Kirjallisuusseura",2
"3633","Wiipurin Soutuklupi",2
"3634","Wiipurin työväen sanomalehti- ja kirjapaino-osuuskunta",2
"3635","Wiipurin uusi kirjapaino- ja sanomalehti-osakeyhtiö",2
"3636","Wildiska tryckeriet",2
"3637","Wilh. Booberg",2
"3638","Wilhelm Friedrich",2
"3639","Wilho Leikas",2
"3640","William Heinemann",2
"3641","William Ruth",2
"3642","Wirtamo ja Markkula",2
"3643","Wolmar Styrbjörn Schildt",2
"3644","Wäinämöinen",2
"3645","Yale University Press",2
"3646","Yhdistys Siipikarjanhoidon ystävät Turussa",2
"3647","Yhdistys siipikarjanhoidon ystävät Turussa",2
"3648","Yhteiskunnallinen keskusliitto",2
"3649","Yhteiskuntataloudellinen aikakauskirja",2
"3650","Yliopiston kirjasto",2
"3651","Ylioppilaiden keskusteluseura",2
"3652","Ylioppilaskunta",2
"3653","Yrjö Weilin & C:o",2
"3654","Yrjö Weilin [distr",2
"3655","Z. Haeggström",2
"3656","Zacharias Hæggström",2
"3657","Zigenarmissionens förlag",2
"3658","Zilliacus :;Tekijä",2
"3659","Zilliacus :;Viipurin Suomalainen kirjallisuusseura",2
"3660","Zilliacus :;Viipurin suomalainen kirjallisuusseura",2
"3661","af And. Biörckman",2
"3662","af And: Biörckman Kongl. acad. bookt",2
"3663","af Iohan Winter, kongl. booktr. vthi stoorfurstendömet Finland",2
"3664","af Johan Winter, kongl. booktryckare",2
"3665","af Olof Olofsson Enaeo",2
"3666","af Olof Olofzson Enaeo",2
"3667","aff Chr. Reusner",2
"3668","aff Hendrich Curio",2
"3669","aff Henrich Keyser, kongl. booktryckiare",2
"3670","aff Peder Hanson, Acad. typogr",2
"3671","aff Peder Hansson",2
"3672","aff Peter Hansson",2
"3673","aff Peter van Selow",2
"3674","aff Petro Hansonio. Acad. typ",2
"3675","aff Petro Wald",2
"3676","and are to be sold by George West and Amos Curtein",2
"3677","apud J. Wall",2
"3678","apud Jo. Laurentii Wallium",2
"3679","apud Joh. Edman",2
"3680","apud Joh. Edman, Direct. et Reg. Acad. typogr",2
"3681","apud Joh. Edman, Reg. Acad. typogr",2
"3682","apud Joh: Wallium",2
"3683","apud Johan Edman, Reg. Acad. typogr",2
"3684","apud Johan. Edman, Reg. Acad. typogr",2
"3685","apud Johannem L. Wallium, Regiae Univ. ibidem typogr",2
"3686","apud Johannem Laurentii Wallium, Regiae Univ. ibidem typogr",2
"3687","apud Johannem Laurentii Wallium, Regiae Univ. typogr",2
"3688","apud Johannem Winter, reg. typograph",2
"3689","apud Petrum Wald, Acad. typ",2
"3690","apud Petrum Wald, Acad. typog",2
"3691","a^ Johanne Vogelio, Reg. Acad. typogr. exscripta",2
"3692","a^ Petro Hansonio",2
"3693","a^ Petro Hansson Acad. typogr",2
"3694","a^ Regiae Academiae typogr. Johanne Laurentii Wallio",2
"3695","bei Georg Joachim Göschen",2
"3696","by Jan ten Hoorn, boekverkooper, over't Oude Heeren Logement",2
"3697","chez Arnaud Lobedanius",2
"3698","chez Charles Dele´n",2
"3699","chez Jean Catuffe",2
"3700","chez Jeremie Estienne",2
"3701","chez Pierre Mortier, libraire",2
"3702","chez l'Autheur dans l'Isle du Palais a la Sphere Royale",2
"3703","chez la veuve Olivier de Varennes, au Palais dans la Salle royale, au Vase d'or",2
"3704","cun. kirj. pränt. Hen. C. Merckellin leskeldä",2
"3705","cun. kirj. pränt. Henrich Christopher Merckelin leskeldä",2
"3706","cuningal. kirj. präntäj. Henr. C. Merckelin leskeldä",2
"3707","debant Reg. Acad. typographi",2
"3708","debant Stenhammar et Palmblad Regiae Academiae typographi",2
"3709","debat Aeschillus Matthiae",2
"3710","debat Aeschillus Matthiae, Acad. typog",2
"3711","debat Christopherus Gu¨ntherus",2
"3712","debat Christophorus Gu¨ntherus, Gymn. typ",2
"3713","debat Henricus Keyser",2
"3714","debat Iacobus Lucius",2
"3715","debat Ignatius Meurerus",2
"3716","debat J. G. Eberdt",2
"3717","debat Johannes Pauli Academiae typographus",2
"3718","debat Johannes Vogel, Reg. Acad. typogr",2
"3719","debat Johannes Winter, Reg: typogr",2
"3720","debat Johannes Winter, reg. typ",2
"3721","debat Johannes Winter, typogr. Regius",2
"3722","debat Paulus Egenolphus, typog. Acad",2
"3723","debat Petrus Vald, Acad. typogr",2
"3724","debat Petrus Wald Acad. typogra",2
"3725","directeur. ja cuningallis. kirjan präntäjäldä suuren ruhtinanm. Suomes Jacob Merckellildä",2
"3726","directeur. ja cuningallis. kirjan-präntäjäldä suuren ruhtinanm. Suomesa, Jacob Merckellildä",2
"3727","directeur. ja cuningallis. kirjan-präntäjäldä suuren-ruhtinanm. Suomesa, Jacob Merckellildä",2
"3728","directeuren och Kongl. boktr. i Stor-förstendömet Finland, Jacob Merckell",2
"3729","directeuren och Kongl. boktr. i stor-förstendömet Finnland, Jacob Merckell",2
"3730","directeuren och kongl. boktryckaren uti stor-förstendömet Finl. Jacob Merckell",2
"3731","directeuren och kongl. fält-boktryckaren Peter Sohm",2
"3732","directeuri Jacob Merckelli-wainajan präntisä",2
"3733","directeurildä ja cuning:da kirjan pränt. suuren-ruhtinan-maasa Suomesa, Jacob Merckellildä",2
"3734","directeurildä ja cuning:da kirjan präntäjäldä Iacob Merckellildä",2
"3735","directeurildä ja cuning:da kirjan präntäjäldä, Jacob Merckellildä",2
"3736","directeurildä ja cuning:da kirjan- präntäjäldä suuresa-ruhtinan-maasa Suuomesa, Jacob Merckellildä",2
"3737","directeurildä ja cuning:da kirjan-pränt. suuresa-ruhtinan-maasa Suomesa Jacob Merckellildä",2
"3738","directeurildä ja cuning:da kirjan-pränt. suuresa-ruhtinan-maasa Suomesa, Jacob Merckellildä",2
"3739","directeurildä ja cuningalliselda kirjan präntäjäldä suuren-ruhtinanmaasa Suomesa, Jacob Merckellildä",2
"3740","directeurildä ja cuningalliselda kirjan-präntäjäldä suuren-ruhtinanmaasa Suomesa, Jacob Merckellildä",2
"3741","directeurildä ja cuningalliselda kirjan-präntäjäldä, Jacob Merckellildä",2
"3742","directeurildä, ja cuning. kirjan-präntäjäldä, Jacob Merckellildä",2
"3743","directeurildä, ja cuning:da kirjan präntäjäldä, Jac. Merckellildä",2
"3744","dit Henricus Curio S. R. M. & Acad. Upsaliensis bibliop",2
"3745","dit Henricus Curio S. R. M. & Academiae Upsaliensis bibliopola",2
"3746","dit Henricus Keyser",2
"3747","dit Joh. Brendeken, Acad. typ",2
"3748","dit Joh. Georg. Eberdt",2
"3749","dit Johannes Brendeken",2
"3750","dit Johannes Brendeken Acad. typograph",2
"3751","dit Johannes Winter, Reg. typogr",2
"3752","dit Johannes Winter, Reg. typogr. Finlandiae",2
"3753","dit Johannes Winter, typog. reg",2
"3754","dit Johannes Winter, typographus regius",2
"3755","dit Petrus Hansonius Acad. typ",2
"3756","dit Petrus Hansonius, Acad. typog",2
"3757","druckts mit Burchardischen Schrifften, I. I. Genath. f",2
"3758","ennen tätä Holmeruxen kirjan-prändisä",2
"3759","ex officina Christiani Wolffii Joannis Andreae",2
"3760","ex officina Elzeviriana",2
"3761","ex officina academica J. C. Schu¨nmanni",2
"3762","ex. J. Wal",2
"3763","ex. J. Wall",2
"3764","expressa a` Johanne Winter, s:ae r:ae m:tis in Finlandia^ typogr",2
"3765","expressa penes Joh. L. Wallium, A. t",2
"3766","gedruckt bei Martin Christoph Iversen",2
"3767","gedruckt bey J. C. Frenckell",2
"3768","gedruckt bey Johann Friedrich Hampen",2
"3769","gedruckt bey sehl. Matth. Syngmans Wittwe",2
"3770","gedruckt mit Lindforssischen Schriften",2
"3771","gedrukkt bei Friedrich Drechsler",2
"3772","hoos Henr. C. Merckell, kongl. boktr. i stoorfurstendömet Finland",2
"3773","hoos Henrich Curio",2
"3774","hoos Henrich Cvrio",2
"3775","hoos Iohan L. Wall, Acad. booktr",2
"3776","hoos Iohan Wall, A. t",2
"3777","hoos Peter van Selow",2
"3778","hoos sal. Matt. Syngmans enckia",2
"3779","hoos sal. Matthiae Syngmans enckia",2
"3780","hos Joh. H. Werner, Kongl. Maj:ts och Upsala acad. boktr",2
"3781","hos Johan Henr. Werner kongl. boktr",2
"3782","hos K. Acad. boktr. J. C. Frenckells enka",2
"3783","hos M. Swederus, K. a. b",2
"3784","hos sal. Lars Walls enckia",2
"3785","im Verlage der Wittwe Abrams Vandenhoek",2
"3786","im verlage des Geogr. Instituts",2
"3787","impensis Frenckellianis",2
"3788","in Erlegung Martin Hallervorden, Buchhändlern zu Köningsberg in Preussen. Gedruckt bey Johann Andre",2
"3789","in der Jägerlischen Buchhandlung",2
"3790","in officina Frenckeliana",2
"3791","kongl. finska boktryckeriet, hos Johan Arvid Carlbohm",2
"3792","kongl. tryckeriet hos Henr. Fougt",2
"3793","lifförsäkringsbolaget Suomi",2
"3794","literis Berlingianis",2
"3795","literis Hantschenii",2
"3796","literis Laurentii Salvii",2
"3797","literis Merckelianis",2
"3798","literis Schneiderianis",2
"3799","literis Wall",2
"3800","literis. Wernerianis",2
"3801","litt. Joh. Edman, et typogr",2
"3802","litteris & impensis Joh. C. Frenckell",2
"3803","litteris Berlingianis",2
"3804","litteris Frenckellianis",2
"3805","litteris Merckelianis",2
"3806","llkka",2
"3807","löyty myytäwänä Christian Trappin tygönä Turus, präntätty F. P. Paulssenildä",2
"3808","m. Johannes Winter, typogr. reg. in magno duc. Finlandiae",2
"3809","m. Petrus Hansonius Acad. typ",2
"3810","m. a^ Johanne Winter, typogr. regio",2
"3811","meb. Johan. Kiämpe Reg. Acad. typogr",2
"3812","och kongl. boktr. i stor-förstendömet Finnland Jacob Merckell",2
"3813","och kongl. boktr. i storfurstend. Finland, Jacob Merckell",2
"3814","och kongl. boktryckaren i stor-förstendömet Finland, Jacob Merckell",2
"3815","per Ignatium Meurerum",2
"3816","per Joh. Kiaempe, Reg. Acad. Typogr",2
"3817","per Joh. Kiaempe, Reg. Acad. typ",2
"3818","praelo Werneriano",2
"3819","prelo subjecit And: Biörckman, Reg. Univ. typog",2
"3820","printed for T. Cadell and W. Davies Strand London, by R. Watts Crown Court, Temple Bar",2
"3821","printed for T. Lowndes, No 77, in Fleet-street",2
"3822","pränd. Ge. Wilh. Londicerildä",2
"3823","pränd. J. C. Frenckellildä",2
"3824","prändetty J. A. Carlbohmilda",2
"3825","prändätty, Frenckellin kirjan-prändisä",2
"3826","prändätty, cun. kirj. pränt. H. C. Merckelin leskeldä",2
"3827","prändätty, directeurildä ja cuning:da kirjan präntäjäldä, Jacob Merckellildä",2
"3828","prändätty, directeurildä ja cuningalliselda kirjan präntäjäldä Jacob Merckellildä",2
"3829","prändättyt Frenckellin kirjan prändisä",2
"3830","prändättyt J. C. Frenckellildä",2
"3831","pränt. Henr. C. Merckell, cun. kirjan-präntäjä",2
"3832","pränt. Joh. A. Carlbohmilda",2
"3833","präntetty directörin Joh. A. Carlbohmin tykönä",2
"3834","präntäis Niclas Wankijf, cuningalinen kirjanpainaja",2
"3835","präntätty Johan Christopher Holmbergin, präntisä",2
"3836","präntätty Kunningallisesa [sic] suomalaisesa präntisä",2
"3837","präntätty Londicerin lesken tykönä",2
"3838","präntätty Wennbergin tykönä ja compagnie",2
"3839","präntätty waldacunnan historiographin trykisä, Hartwig Gercken cautta",2
"3840","präntätty waldacunnan historiographin tykönä, Hartwig Gerckenildä",2
"3841","präntätty, directeurildä ja cuningalliselda kirjan-präntäjäldä, Jacob Merckellildä",2
"3842","pränädtty Cuning:sesa suomalaisesa präntisä",2
"3843","recusa a^ Johanne Winter, typ. reg",2
"3844","s. apud Hans. A. typogr",2
"3845","s. apud Hans. Acad. typogr",2
"3846","s. a^ Joh. Wallio, Reg. Acad. ibid. typ",2
"3847","s.l.]              ",2
"3848","s.n.] ",2
"3849","s.n.]                     ",2
"3850","s.n.],;J. C. Frenckellin ja pojan kirjapainossa",2
"3851","sa Acad. apud P. Waldz",2
"3852","sa Academiae apud Petri Wald",2
"3853","sa apud Hans. A. t",2
"3854","sa apud Hanssonii",2
"3855","sa apud Johannem L. Wallium, Reg. Univ. ibid. typogr",2
"3856","sa apud Petr. Hanson. Acad. typogr",2
"3857","sa apud Petrum Hansonium, Acad. typogr",2
"3858","sa a` Joh. Waldio, Reg. Univ. Aboe¨ns. typogr",2
"3859","sa a` Johanne Waldio, Reg. Univ. Aboe¨ns. typogr",2
"3860","sa a` Johanne Winter",2
"3861","sa a^ Joh. Laur. Wallio, R. U. t",2
"3862","sa a^ Johanne Waldio, Acad. typogr",2
"3863","sa a^ Johanne Winter, reg. typogr",2
"3864","sa a^ Petro Hansonio, A. t",2
"3865","sae  Petro Hansonio, A. t",2
"3866","sae a^ Johanne Winter",2
"3867","sae a^ Petro Hanson, Acad. typogr",2
"3868","sae a^ Petro Hansonio Acad. typogr",2
"3869","sae a^ Petro Hansonio. Acad. typ",2
"3870","sahl. Thomas von Wierings Erben",2
"3871","sam a^ Peto [sic] Hansonioo Acad. typog",2
"3872","ssum apud Reg. Acad. typogr. J. C. Frenckell",2
"3873","ssum a^ Petro Hansonio, Acad. typ",2
"3874","sum apud Hansonii",2
"3875","sus  Johanne Winter",2
"3876","sus apud Petrum Wald",2
"3877","sus a^ Johanne Waldio, Reg. Universitatis ibidem typographo",2
"3878","sus a^ Petro Hansonio, Acad. typ",2
"3879","tetypome´ne apo` Ioa´nnu tu^ Oualli´u, te^s Akademi´as typogr",2
"3880","tip. E`kspedici`i zagotovleni`a^ gos. bumag",2
"3881","tip. i hromolit. A. Trans<U+030C>ela",2
"3882","tip. t-va 'Obs^estvennaa^ pol'za",2
"3883","tryck [sic] hos Joh. Christoph. Frenckell",2
"3884","tryckt aff David Kämpe",2
"3885","tryckt aff Georg Hantsch",2
"3886","tryckt aff Hindrich Keyser",2
"3887","tryckt aff Lars Wall",2
"3888","tryckt aff Niclas Wankijf, kongl: booktr",2
"3889","tryckt aff Peder Wald",2
"3890","tryckt aff Peter Hansson, Acad. typogr",2
"3891","tryckt aff Petro Hansonio Acad. typ",2
"3892","tryckt aff Petro Hansonio, Acad. typ",2
"3893","tryckt aff Petter Hansson, Acad. typogr",2
"3894","tryckt av Joh. Kiämpe, Kongl. acad. boktr",2
"3895","tryckt hoos And: Biörckman Kongl: acad: boktr",2
"3896","tryckt hoos Daniel Kämpe",2
"3897","tryckt hoos Henr. C. Merckell, Kongl. boktr",2
"3898","tryckt hoos Henr. C. Merckell, Kongl. booktr",2
"3899","tryckt hoos Io. Wall",2
"3900","tryckt hoos Ioh. G. Eberdt",2
"3901","tryckt hoos Ioh. Georg Eberdt",2
"3902","tryckt hoos Joh. Georg Eberdt",2
"3903","tryckt hoos Joh. Wall",2
"3904","tryckt hoos Johan Wall",2
"3905","tryckt hoos Kongl. booktr. Henr. C. Merckell",2
"3906","tryckt hoos Niclas Wankijff kongl. booktr",2
"3907","tryckt hoos Niclas Wankijff, kongl. booktryckiare",2
"3908","tryckt med Lars Salvii egen kostnad",2
"3909","tryckt på Lars Salvii förlag",2
"3910","tryckt uthi Nathanael Goldenaus tryckerij",2
"3911","tryckt uthi det Kongl. boktryckeriet",2
"3912","tryckt uthi det Kongl. boktryckeriet, af. F. Phil. Paulssen",2
"3913","tryckt uti Joh. G. Langes boktryckeri",2
"3914","tryckt uti Kongl. Tryckeriet",2
"3915","tryckt uti Kongl. boktryckeriet",2
"3916","tryckt uti Kongl. finska bok-tryckeriet",2
"3917","tryckt uti det Kongl. tryckeriet",2
"3918","tryckt uti det Kongl. tryckeriet, af F. Phil. Paulssen",2
"3919","tryckt uti det kongl. tryckeriet",2
"3920","tryckt uti förr detta Grefingska tryckeriet",2
"3921","tryckt uti thet Kongl. tryckeriet",2
"3922","tryckt uti thet Kongl. tryckeriet, hos directeuren Pet. Momma",2
"3923","tryckt, hos ... Jacob Merckell",2
"3924","tryckt, hos Joh. Christoph. Frenckell",2
"3925","tryckt, hos och kongl. boktr. i stor-furstendömet Finland, Jacob Merckell",2
"3926","tryckte af Georg Wilhelm Londicer",2
"3927","tryckte hos Joh. L. Horrn, Kongl. Antiq. archivi boktr",2
"3928","tryckte hos Peter Jöransson Nyström",2
"3929","trykkt hoos Io. Wall",2
"3930","trykt af Iohan Brendeken, Acad. booktr",2
"3931","trykt af Joh. Kämpe, Kongl. acad. boktr",2
"3932","trykt hos Carl Johansson Röpke",2
"3933","trykte i Frenckelska boktryckeriet",2
"3934","uti Kongl. boktryckeriet uplagdt, hos Joh. Henr. Werner, directeur öfwer alla tryckerien i riket",2
"3935","uti det Kongl. boktryckeriet, af F. Phil. Paulssen",2
"3936","wastauudesta Frenckellin kirjan-prändisä",2
"3937","Åbo Tidningin kirjapaino-osakeyhtiö",2
"3938","Åbo afdelning",2
"3939","Åbo domkyrkoförsamling",2
"3940","Åbo industriutställning",2
"3941","Åbo tidnings och tryckeri aktiebolag",2
"3942","Åbo tidnings tryckeri",2
"3943","Åhlen & Åkerlund",2
"3944","Öflund & Petterson",2
"3945","Öfverstyrelsen",2
"3946","Öfverstyrelsen för skolväsendet",2
"3947","Ömsesidiga livförsäkringsbolaget Suomi",2
"3948","Östlund & Berling",2
"3949","Östra Finland'in kp",2
"3950","Östra Finlandin kp",2
"3951","Östra Finlandin kp. :;Tekijä",2
"3952","Östra Finlands tryckeribolag",2
"3953","  Joh. Waldio, Reg. Univ. Abons. typogr",1
"3954","  Johanne Waldio, Reg. Univ. Ab. typogr",1
"3955"," Acad. lit",1
"3956"," And. Biörkman Reg. Un. typ",1
"3957"," E. Flodstrom, Reg. A. typ",1
"3958"," E. Flodstrom. Reg. Acad. typogr",1
"3959"," E. Flodström, Reg. Acad. typ",1
"3960"," E. Flodström, Reg. Acad. typogr. in m. d. Finl",1
"3961"," E. M. Flodström Reg. Acad. typogr. in m. d. Finl",1
"3962"," E. M. Flodström. Reg. Acad. typogr. in m. d. Finl",1
"3963"," Er. Flodstrom, Reg. Acad. typogr",1
"3964"," Eric M. Flodström, Reg. Acad. typogr",1
"3965"," Eric. Flodström",1
"3966"," H. C. Merckell, reg. typogr",1
"3967"," J. Kiämpe Reg. Ac. typ",1
"3968"," Jo. L. Wal",1
"3969"," Jo. Laurent. Wal. Regiae Univ. typogr",1
"3970"," Joh. Kaempe, Reg. Ac. typ",1
"3971"," Joh. Kiaempe",1
"3972"," Joh. Kiaempe Reg. Acad. typ",1
"3973"," Joh. Kiaempe, R. A. t",1
"3974"," Joh. Kiaempe, R. A. typ",1
"3975"," Joh. Kiaempe, R. Ac. typ. [sic",1
"3976"," Joh. Kiaempe, R. Acad. typ",1
"3977"," Joh. Kiaempe, Reg. Ac. typ",1
"3978"," Joh. Kiaempe, Reg. Ac. typogr",1
"3979"," Joh. Kiaempe, Reg. Acad typ",1
"3980"," Joh. Kiaempe. R. Ac. typ",1
"3981"," Joh. Kiampe, Reg. Acad. typ",1
"3982"," Joh. Kiämpe R. A. typ",1
"3983"," Joh. Kiämpe Reg. Acad. typogr",1
"3984"," Joh. Kiämpe, R, Ac. typ",1
"3985"," Joh. Kiämpe, Reg, Acad. typogr",1
"3986"," Joh. Kiämpe, Reg. Ac. typ",1
"3987"," Joh. Kiämpe, Reg. Acad. typ",1
"3988"," Joh. Kiämpe, Reg. acad. typogr",1
"3989"," Joh. Wal",1
"3990"," Joh. Wall, Reg. Acad. typogr",1
"3991"," Joh. Wallio",1
"3992"," Joh: Winter, reg: ibid: typogr",1
"3993"," Johammes Laurent. Wallius, Reg. Univ. ibid. typogr",1
"3994"," Johan Kiaempe, Reg. Acad. typ",1
"3995"," Johan Wall. r. u. t",1
"3996"," Johan Winter",1
"3997"," Johanne Waldio, Acad. typogr",1
"3998"," Johanne Winter",1
"3999"," Johannes Brendeken, Acad. typogr",1
"4000"," Johannes L. Wallius, A. t",1
"4001"," Johannes L. Wallius, Regiae Academiae ibid. typogr",1
"4002"," Johannes Wallius",1
"4003"," Johannes Winter, typogr: reg",1
"4004"," L. M. Höjer, Reg. Acad. typ",1
"4005"," L. M. Höjer, Reg. Acad. typgr",1
"4006"," L. M. Höjer, Reg. Acad. typogr",1
"4007"," Laur. M. Höjer, Reg. Acad. typ",1
"4008"," Pet. Wald",1
"4009"," Petro Hansonio, Acad. typogr",1
"4010"," R. A. typ. Eric Flodström",1
"4011"," R. Ac. Joh. Kiämpe",1
"4012"," R. Acad. typ. E. Flodström",1
"4013"," R. Acad. typ. J. Kiämpe",1
"4014"," R. Acad. typ. Joh. Kiämpe",1
"4015"," R:ae Ac. typ. J. Kiämpe",1
"4016"," Reg. A. typ. E. Flodström",1
"4017"," Reg. Ac. typ. Joh. Kiämpe",1
"4018"," Reg. Acad. typ. Eric Flodström",1
"4019"," Reg. acad. typ. Eric Flodström",1
"4020"," apuc Johan: Laurentii Wallium, A. t",1
"4021"," apud And. Biörckman",1
"4022"," apud And: Biörkman, R.eg.[!] Univ. typog",1
"4023"," apud Andream Biörckman, Reg. Univ. typogr",1
