"","publisher","n"
"188"," apud Joh. Wallium, A. t",35
"189","Finlands Svenska Nykterhetsförbund",35
"190","Geologiska kommissionen",35
"191","Emil Hagelberg",34
"192","J. C. Frenckell & son",34
"193","Joh. Kiaempe, Reg. Ac. typ",34
"194","Johan Christofer Frenckell II",34
"195","Sortavalan evankelinen seura",34
"196","Suomen maanviljelystaloudellinen koelaitos",34
"197","af Iohan Winter, kongl. booktr",34
"198","Alfred Lagerbom",33
"199","Kuningallisesa suomalaisesa prändisä",33
"200","Osuuskunta Kehitys",33
"201","Pelastusarmeijan päämaja",33
"202","Simelius",33
"203","Öfverstyrelsen för landtmäteriet",33
"204","Aschan",32
"205","C. W. Gylde´n",32
"206","Edlundska Bokhandeln, jakaja",32
"207","GEJ",32
"208","Suomen naisyhdistys",32
"209","Kuningallisesa suomalaisesa präntisä",31
"210","Landtbruksstyrelsen",31
"211","Socie´te´ ne´ophilologique",31
"212","kongl. tryckeriet",31
"213","och kongl. boktr. i stor-förstendömet Finland, Jacob Merckell",31
"214"," apud Jo. Laurentii Wallium",30
"215","Edmannianis",30
"216","Johan Christoph. Frenckell",30
"217","debat Petrus Hansonius Acad. typ",30
"218","debat Petrus Wald, Acad. typog",30
"219","sa a^ Petro Hansonio Acad. typogr",30
"220","Hagelstam",29
"221","Joh. Christoph. Frenckellildä",29
"222","Londicer",29
"223","Pec<U+030C>atan' pri Admiraltejskoj Kollegi¨i v' Tipografi¨i morskago s<U+030C>la^hetnago kadetskago Korpusa",29
"224","Petrus Wald, Acad. typ",29
"225","Söderström & C:o",29
"226","Tilgmann",29
"227","directeuren och kongl. boktryckaren i stor-förstendömet Finland, Jacob Merckell",29
"228","Akateeminen kirjakauppa",28
"229","Anders Björkman",28
"230","G. M. Giescke",28
"231","Joh. Kaempe, Reg. Acad. typogr",28
"232","Naisasialiitto Unioni",28
"233","Olan",28
"234","P. A. Norstedt & söner",28
"235","Suom.-amer. kustannusyhtiö",28
"236","Wasenius",28
"237","präntätty Kuning:sesa suomalaisesa präntisä, direktörin Johan A. Carlbohmin tykönä",28
"238","Emil Vainio",27
"239","Erik Flodström",27
"240","Peter Jöransson Nyström",27
"241","Statens kommission för huslig ekonomi",27
"242","Suomen kalastusyhdistys",27
"243","Suomen kylvösiemenyhdistys",27
"244","Suomen metsänhoitoyhdistys",27
"245","ex officina typographica Frenckelliana",27
"246","sa a^ Petro Hansonio, Acad. typog",27
"247","& typogr. reg. mag. duc. Finland. Jacob Merckell",26
"248","Alex. Lundström",26
"249","C. J. Bergström",26
"250","Evankelinen kustannusliike",26
"251","Finska missionssällskapet",26
"252","G. E. Euren",26
"253","Gust. Ronelius",26
"254","Gyldendalske Boghandel Nordisk Forlag",26
"255","Lutherska evangeliföreningen",26
"256","Suomalainen puolue",26
"257","Suomen maanviljelys-taloudellinen koelaitos",26
"258","Tampereen työväen sanomalehti",26
"259","Työväen kp",26
"260","Valtion kotitaloustoimikunta",26
"261","prändätyt G. W. Londicerildä",26
"262","tryckt uti Kongl. tryckeriet",26
"263","Frenckellin kirjan-prändi",25
"264","KS. kp",25
"265","Kustannus-o.y. Kansa",25
"266","Osuuskunta Wäinämöinen",25
"267","Wahlström & Widstrand",25
"268","sa a^ Petro Hansonio Acad. typog",25
"269"," apud Jo. Laurent. Wallium",24
"270","Finska fornminnesföreningen",24
"271","Hämäläinen",24
"272","J. C. Frenckellildä",24
"273","Joh. Christ. Frenckell",24
"274","Joh. Kämpe, Kongl. acad. boktr",24
"275","Lutherilainen Evankeliumi-yhdistys",24
"276","Pyh. Sergein ja Hermanin veljeyskunta",24
"277","Suomalaisen Kirjallisuuden Seura :;Edlund",24
"278","aff Petro Hansonio",24
"279","directeurildä ja cuning:da kirjan präntäjäldä Jacob Merckellildä",24
"280","hoos Ignatium Meurer",24
"281","Akademiska Bokhandeln",23
"282","C. G. Clouberg",23
"283","Chr. Ev. Barck",23
"284","Cuningallisesa suomalaisesa prändisä",23
"285","Helsingfors-Posten",23
"286","J. C. Frenckell & Son",23
"287","Lillja",23
"288","Maanmittaushallitus",23
"289","Stolpe",23
"290","Suom. sos. kustannusyhtiö",23
"291","dit Johannes Brendeken, Acad. typograph",23
"292","E. Flodström",22
"293","Eschillus Matthiae",22
"294","Finsk kvinnoförening",22
"295","J. W. Lillja",22
"296","Kivekäs",22
"297","L. Salvius",22
"298","Pyhäkouluyhdistys",22
"299","Sanoma",22
"300","debat Eschillus Matthiae",22
"301","& typogr. magn. duc. Finland. Jacob Merckell",21
"302","& typogr. reg. magn. duc. Finland. Jacob. Merckell",21
"303","Akademiska bokhandeln",21
"304","Andersin",21
"305","Bergbom",21
"306","Finsk militär tidskrift",21
"307","Finska Sjömansmissionssällskapet",21
"308","Folkupplysningssällkapet",21
"309","Försäkringsaktiebolaget Kaleva",21
"310","G. L. Söderström",21
"311","Helsingfors universitet",21
"312","Joh. Kiämpildä",21
"313","Jyväskylän kirjapaino",21
"314","K. F. Kivekäs",21
"315","Kansainvälinen raamatuntutkijain seura",21
"316","Suomen kirkkohistoriallinen seura",21
"317","Tampereen kirjapaino-osakeyhtiö",21
"318","Waseniuska bokhandeln, distr",21
"319","apud J. Höjeri",21
"320","sa a^ Petro Hansonio, Acad. typogr",21
"321"," apud Joh. Laurentii Wallium",20
"322","Aikain Vartija",20
"323","Aikain Wartija",20
"324","Amerikan Sanomat",20
"325","Brage",20
"326","Finska Vetenskaps-Societeten",20
"327","J. F. Granlund",20
"328","Johan Höjers encka",20
"329","Kuningalisesa suomalaisesa prändisä",20
"330","Oulun kirjapaino-osakeyhtiö",20
"331","Pekka Brofeldt",20
"332","Suomalainen Kirjallisuuden Seura",20
"333","Suomen luotsi- ja majakkalaitoksen ylihallitus",20
"334","Suomen metsänhoitoyhdistys Tapio",20
"335","Suomen sos.-dem. nuorisoliitto",20
"336","Svenska litteratursälskapet i Finland",20
"337","af Iohan Winter",20
"338","a^ Petro Hansonio, Acad. typog",20
"339","cun. kirj. pränt. Henr. C. Merckellin leskeldä",20
"340","sa Acad. apud Petri Wald",20
"341","sa a^ Petro Hansonio",20
"342"," Jo. Wallius",19
"343"," apud Joh. Wallium",19
"344","Bertrand",19
"345","Bärlund",19
"346","Evald Ziervogel",19
"347","Finlands Utsädesförening",19
"348","Finska Statsjärnvägarna",19
"349","Finska pappersindustriidkarenes förbund",19
"350","Frenckellska tryckeriet",19
"351","G. W. Londicerildä",19
"352","Johan Winterildä",19
"353","Lindeberg",19
"354","Lindstedts antikvariska bokhandel",19
"355","M. V. Vuolukka",19
"356","Nyländska afdelningen",19
"357","Päivälehden kp",19
"358","Uudenmaan Eläinsuojeluyhdistys",19
"359","W. Hagelstam, distr",19
"360","Wesander",19
"361","cun. kirj. pränt. H. C. Merckelin leskeldä",19
"362","Amerikan sanomat",18
"363","Bergdahl",18
"364","Duncker & Humblot",18
"365","Duodecim-seura",18
"366","Finska vetenskapsspcieteten",18
"367","H. Fougt",18
"368","H. Nurhonen",18
"369","Johan Ch. Frenckell",18
"370","Luth. Evankeliumi-yhdistys",18
"371","Meurerianis",18
"372","Nuorten miesten kristillinen yhdistys",18
"373","Peder Eriksson Wald",18
"374","Pellervo-seura",18
"375","Peter Hesselberg",18
"376"," Joh. Kiaempe, R. Ac. typ",17
"377"," R. Ac. typ. Joh. Kiämpe",17
"378","Cuningallisesa suomalaisesa prändisä, Joh. A. Carlbohmilda",17
"379","Frenckell :;Edlund",17
"380","Hagelstams bokhandel",17
"381","Helsingin nuorten miesten kristillinen yhdistys",17
"382","Hufvudstadsbladet",17
"383","Iohan Christopher Merckell",17
"384","J. Winter",17
"385","Lilius ja Hertzberg",17
"386","Lääkintöhallitus",17
"387","Nykterhetens Vänner",17
"388","P. R. Wiitanen",17
"389","Socie´te´ ne´ophilogique de Helsinki",17
"390","Suomen Eläinsuojelusyhdistys",17
"391","Suomen säästöpankkiyhdistys",17
"392","Teollisuushallitus",17
"393","Tietosanakirja",17
"394","Turistföreningen",17
"395","Valo",17
"396","cun. kirj. pränt. Henr. C. Merckelin leskeldä",17
"397","sa a^ Petro Hansonio A. t",17
"398"," Jo. Wall",16
"399","Akademiska Bokhandeln, distr",16
"400","Akademiska Bokhandeln, jakaja",16
"401","Almqvist & Wiksell",16
"402","B. B. Bergdahl",16
"403","Frälsningsarme´n",16
"404","G. W. Edlunds förlag",16
"405","Georg Wilh. Londicerildä",16
"406","Hufvudstadsblad'in kirjapaino",16
"407","Hämeen sanomain kirjapaino",16
"408","Joh. C. Frenckellildä",16
"409","Johannes Christoph. Frenckell",16
"410","Jyväskylän kaupunki",16
"411","Kansallismielinen nuorisoliitto",16
"412","Karjalan veljeskunta",16
"413","Lindgren",16
"414","Merckell",16
"415","Minerva",16
"416","Rauhan sanomat",16
"417","Suomalaisen puolueen kanslia",16
"418","Suomen matkailijayhdistys",16
"419","Suomi",16
"420","Sylviayhdistys",16
"421","Zilliacus",16
"422","a^ Petro Hanson, Acad. typog",16
"423"," Joh. Kiämpe R. Ac. typ",15
