"","publisher","n"
"1132","präntätty, directeurildä ja cuningalliselda kirjan-präntäjäldä, Jacob Merckellildä",2
"1133","pränädtty Cuning:sesa suomalaisesa präntisä",2
"1134","recusa a^ Johanne Winter, typ. reg",2
"1135","s. apud Hans. A. typogr",2
"1136","s. apud Hans. Acad. typogr",2
"1137","s. a^ Joh. Wallio, Reg. Acad. ibid. typ",2
"1138","s.n.] :;s.n",2
"1139","sa Acad. apud P. Waldz",2
"1140","sa Academiae apud Petri Wald",2
"1141","sa apud Hans. A. t",2
"1142","sa apud Hanssonii",2
"1143","sa apud Johannem L. Wallium, Reg. Univ. ibid. typogr",2
"1144","sa apud Petr. Hanson. Acad. typogr",2
"1145","sa apud Petrum Hansonium, Acad. typogr",2
"1146","sa a` Joh. Waldio, Reg. Univ. Aboe¨ns. typogr",2
"1147","sa a` Johanne Waldio, Reg. Univ. Aboe¨ns. typogr",2
"1148","sa a` Johanne Winter",2
"1149","sa a^ Joh. Laur. Wallio, R. U. t",2
"1150","sa a^ Johanne Waldio, Acad. typogr",2
"1151","sa a^ Johanne Winter, reg. typogr",2
"1152","sa a^ Petro Hansonio, A. t",2
"1153","sae  Petro Hansonio, A. t",2
"1154","sae a^ Johanne Winter",2
"1155","sae a^ Petro Hanson, Acad. typogr",2
"1156","sae a^ Petro Hansonio Acad. typogr",2
"1157","sae a^ Petro Hansonio. Acad. typ",2
"1158","sahl. Thomas von Wierings Erben",2
"1159","sam a^ Peto [sic] Hansonioo Acad. typog",2
"1160","ssum apud Reg. Acad. typogr. J. C. Frenckell",2
"1161","ssum a^ Petro Hansonio, Acad. typ",2
"1162","sum apud Hansonii",2
"1163","sus  Johanne Winter",2
"1164","sus apud Petrum Wald",2
"1165","sus a^ Johanne Waldio, Reg. Universitatis ibidem typographo",2
"1166","sus a^ Petro Hansonio, Acad. typ",2
"1167","tetypome´ne apo` Ioa´nnu tu^ Oualli´u, te^s Akademi´as typogr",2
"1168","tryck [sic] hos Joh. Christoph. Frenckell",2
"1169","tryckt aff David Kämpe",2
"1170","tryckt aff Georg Hantsch",2
"1171","tryckt aff Hindrich Keyser",2
"1172","tryckt aff Lars Wall",2
"1173","tryckt aff Niclas Wankijf, kongl: booktr",2
"1174","tryckt aff Peder Wald",2
"1175","tryckt aff Peter Hansson, Acad. typogr",2
"1176","tryckt aff Petro Hansonio Acad. typ",2
"1177","tryckt aff Petro Hansonio, Acad. typ",2
"1178","tryckt aff Petter Hansson, Acad. typogr",2
"1179","tryckt av Joh. Kiämpe, Kongl. acad. boktr",2
"1180","tryckt hoos And: Biörckman Kongl: acad: boktr",2
"1181","tryckt hoos Daniel Kämpe",2
"1182","tryckt hoos Henr. C. Merckell, Kongl. boktr",2
"1183","tryckt hoos Henr. C. Merckell, Kongl. booktr",2
"1184","tryckt hoos Io. Wall",2
"1185","tryckt hoos Ioh. G. Eberdt",2
"1186","tryckt hoos Ioh. Georg Eberdt",2
"1187","tryckt hoos Joh. Georg Eberdt",2
"1188","tryckt hoos Joh. Wall",2
"1189","tryckt hoos Johan Wall",2
"1190","tryckt hoos Kongl. booktr. Henr. C. Merckell",2
"1191","tryckt hoos Niclas Wankijff kongl. booktr",2
"1192","tryckt hoos Niclas Wankijff, kongl. booktryckiare",2
"1193","tryckt med Lars Salvii egen kostnad",2
"1194","tryckt på Lars Salvii förlag",2
"1195","tryckt uthi Nathanael Goldenaus tryckerij",2
"1196","tryckt uthi det Kongl. boktryckeriet",2
"1197","tryckt uthi det Kongl. boktryckeriet, af. F. Phil. Paulssen",2
"1198","tryckt uti Joh. G. Langes boktryckeri",2
"1199","tryckt uti Kongl. Tryckeriet",2
"1200","tryckt uti Kongl. boktryckeriet",2
"1201","tryckt uti Kongl. finska bok-tryckeriet",2
"1202","tryckt uti det Kongl. tryckeriet",2
"1203","tryckt uti det Kongl. tryckeriet, af F. Phil. Paulssen",2
"1204","tryckt uti det kongl. tryckeriet",2
"1205","tryckt uti förr detta Grefingska tryckeriet",2
"1206","tryckt uti thet Kongl. tryckeriet",2
"1207","tryckt uti thet Kongl. tryckeriet, hos directeuren Pet. Momma",2
"1208","tryckt, hos ... Jacob Merckell",2
"1209","tryckt, hos Joh. Christoph. Frenckell",2
"1210","tryckt, hos och kongl. boktr. i stor-furstendömet Finland, Jacob Merckell",2
"1211","tryckte af Georg Wilhelm Londicer",2
"1212","tryckte hos Joh. L. Horrn, Kongl. Antiq. archivi boktr",2
"1213","tryckte hos Peter Jöransson Nyström",2
"1214","trykkt hoos Io. Wall",2
"1215","trykt af Iohan Brendeken, Acad. booktr",2
"1216","trykt af Joh. Kämpe, Kongl. acad. boktr",2
"1217","trykt hos Carl Johansson Röpke",2
"1218","trykte i Frenckelska boktryckeriet",2
"1219","uti Kongl. boktryckeriet uplagdt, hos Joh. Henr. Werner, directeur öfwer alla tryckerien i riket",2
"1220","uti det Kongl. boktryckeriet, af F. Phil. Paulssen",2
"1221","wastauudesta Frenckellin kirjan-prändisä",2
"1222","  Joh. Waldio, Reg. Univ. Abons. typogr",1
"1223","  Johanne Waldio, Reg. Univ. Ab. typogr",1
"1224"," Acad. lit",1
"1225"," And. Biörkman Reg. Un. typ",1
"1226"," E. Flodstrom, Reg. A. typ",1
"1227"," E. Flodstrom. Reg. Acad. typogr",1
"1228"," E. Flodström, Reg. Acad. typ",1
"1229"," E. Flodström, Reg. Acad. typogr. in m. d. Finl",1
"1230"," E. M. Flodström Reg. Acad. typogr. in m. d. Finl",1
"1231"," E. M. Flodström. Reg. Acad. typogr. in m. d. Finl",1
"1232"," Er. Flodstrom, Reg. Acad. typogr",1
"1233"," Eric M. Flodström, Reg. Acad. typogr",1
"1234"," Eric. Flodström",1
"1235"," H. C. Merckell, reg. typogr",1
"1236"," J. Kiämpe Reg. Ac. typ",1
"1237"," Jo. L. Wal",1
"1238"," Jo. Laurent. Wal. Regiae Univ. typogr",1
"1239"," Joh. Kaempe, Reg. Ac. typ",1
"1240"," Joh. Kiaempe",1
"1241"," Joh. Kiaempe Reg. Acad. typ",1
"1242"," Joh. Kiaempe, R. A. t",1
"1243"," Joh. Kiaempe, R. A. typ",1
"1244"," Joh. Kiaempe, R. Ac. typ. [sic",1
"1245"," Joh. Kiaempe, R. Acad. typ",1
"1246"," Joh. Kiaempe, Reg. Ac. typ",1
"1247"," Joh. Kiaempe, Reg. Ac. typogr",1
"1248"," Joh. Kiaempe, Reg. Acad typ",1
"1249"," Joh. Kiaempe. R. Ac. typ",1
"1250"," Joh. Kiampe, Reg. Acad. typ",1
"1251"," Joh. Kiämpe R. A. typ",1
"1252"," Joh. Kiämpe Reg. Acad. typogr",1
"1253"," Joh. Kiämpe, R, Ac. typ",1
"1254"," Joh. Kiämpe, Reg, Acad. typogr",1
"1255"," Joh. Kiämpe, Reg. Ac. typ",1
"1256"," Joh. Kiämpe, Reg. Acad. typ",1
"1257"," Joh. Kiämpe, Reg. acad. typogr",1
"1258"," Joh. Wal",1
"1259"," Joh. Wall, Reg. Acad. typogr",1
"1260"," Joh. Wallio",1
"1261"," Joh: Winter, reg: ibid: typogr",1
"1262"," Johammes Laurent. Wallius, Reg. Univ. ibid. typogr",1
"1263"," Johan Kiaempe, Reg. Acad. typ",1
"1264"," Johan Wall. r. u. t",1
"1265"," Johan Winter",1
"1266"," Johanne Waldio, Acad. typogr",1
"1267"," Johanne Winter",1
"1268"," Johannes Brendeken, Acad. typogr",1
"1269"," Johannes L. Wallius, A. t",1
"1270"," Johannes L. Wallius, Regiae Academiae ibid. typogr",1
"1271"," Johannes Wallius",1
"1272"," Johannes Winter, typogr: reg",1
"1273"," L. M. Höjer, Reg. Acad. typ",1
"1274"," L. M. Höjer, Reg. Acad. typgr",1
"1275"," L. M. Höjer, Reg. Acad. typogr",1
"1276"," Laur. M. Höjer, Reg. Acad. typ",1
"1277"," Pet. Wald",1
"1278"," Petro Hansonio, Acad. typogr",1
"1279"," R. A. typ. Eric Flodström",1
"1280"," R. Ac. Joh. Kiämpe",1
"1281"," R. Acad. typ. E. Flodström",1
"1282"," R. Acad. typ. J. Kiämpe",1
"1283"," R. Acad. typ. Joh. Kiämpe",1
"1284"," R:ae Ac. typ. J. Kiämpe",1
"1285"," Reg. A. typ. E. Flodström",1
"1286"," Reg. Ac. typ. Joh. Kiämpe",1
"1287"," Reg. Acad. typ. Eric Flodström",1
"1288"," Reg. acad. typ. Eric Flodström",1
"1289"," apuc Johan: Laurentii Wallium, A. t",1
"1290"," apud And. Biörckman",1
"1291"," apud And: Biörkman, R.eg.[!] Univ. typog",1
"1292"," apud Andream Biörckman, Reg. Univ. typogr",1
"1293"," apud Andream Biörckman, Regiae Univ. typogr",1
"1294"," apud E. M. Flodström, Reg. Acad. typogr",1
"1295"," apud Hans",1
"1296"," apud J. Laurent. Wallium",1
"1297"," apud J. Wal",1
"1298"," apud J.L. Wallium",1
"1299"," apud Jo. L, Wallium",1
"1300"," apud Jo. Laur. Wall",1
"1301"," apud Jo. Laurent, Wallium",1
"1302"," apud Jo. Laurenti Wallium",1
"1303"," apud Jo. Laurentii Wallium, Reg. univ. typogr",1
"1304"," apud Joh. L. Walilum[!], A. t",1
"1305"," apud Joh. L. Wall",1
"1306"," apud Joh. L. Wallium A. t",1
"1307"," apud Joh. L. Wallium, A.t",1
"1308"," apud Joh. L. Wallium, Acad. typogr",1
"1309"," apud Joh. L. Wallium, Regiae Univ. ib. typogr",1
"1310"," apud Joh. L. Wallium, Regiae Univ. ibid. typogr",1
"1311"," apud Joh. L. Wallium, a. t",1
"1312"," apud Joh. Laur. Wallium, A. t",1
"1313"," apud Joh. Laurenti Wallium, A. t",1
"1314"," apud Joh. Laurentii Wal",1
"1315"," apud Joh. Wallium, Acad. typogr",1
"1316"," apud Joh. Wallium, U. t",1
"1317"," apud Johan: Laurenti Wallium, A. t",1
"1318"," apud Johan: Wallium, Reg. Univ. typogr",1
"1319"," apud Johannem L. Wallium a. t",1
"1320"," apud Johannem L. Wallium, Reg. Univ. ibid. typogr",1
"1321"," apud Johannem L. Wallium, Regiae Univ. ib. typogr",1
"1322"," apud Johannem L. Wallium, Regiae Univ. ibid. typogr",1
"1323"," apud Johannem Laur. Wallium, A. t",1
"1324"," apud Johannem Laur: Wallium, A. t",1
"1325"," apud Johannem Laurenti Wallium, Regiae Acad. typogr",1
"1326"," apud Johannem Laurentii Wallium, Regiae Univers. ibid. typogr",1
"1327"," apud Johannem Wallium, Reg. Acad. typogr",1
"1328"," apud Johannem Wallium, Reg. Univ. ib. typo",1
"1329"," apud Johannem Wallium, Reg. Univ. ib. typogr",1
"1330"," apud Johannem Wallium, Reg. Univ. ibid. typogr",1
"1331"," apud Johannem Wallium, Regiae univ. typogr",1
"1332"," apud Johannem Winter, Reg. typog",1
"1333"," apud Laurentii Wallium",1
"1334"," apud typ. Univ. Joh. Kiämpe",1
"1335"," apud. Jo. L. Wallium",1
"1336"," apud. Joh. L. Wallium, A. t",1
"1337"," apud. Joh. Laurent. Wallium",1
"1338"," apud. Joh. Laurent. Wallium, A. t",1
"1339"," apud. Joh. Laurentii Wallium",1
"1340"," apud. Joh. Wallium, A. t",1
"1341"," apud. Johannem L. Wallium, R. U. t",1
"1342"," apud. Johannem Laurentii Wallium, A. t",1
"1343"," apud. Johannem Wallium",1
"1344"," apud. v. Hans. Acad. typogr",1
"1345"," a` Joh. Waldio, Reg. Univ. Aboe¨ns. typograph",1
"1346"," a^ J. Waldio, A. t",1
"1347"," a^ Joh. Waldio, A. t",1
"1348"," a^ Joh. Waldio, Reg. Univ. Aboe¨ns. typogr",1
"1349"," a^ Joh. Wallio",1
"1350"," a^ Joh. Wallio, Reg. Univ. ib. typogr",1
"1351"," a^ Johanne L. Wallio, A. t",1
"1352"," a^ Johanne Laur. Wallio, U. t",1
"1353"," cum Reg. Acad. litt",1
"1354"," r. a. typ. E. Flodström",1
"1355"," typ. univ. Joh. Kiämpe",1
"1356","& impensis Johannis Christophori Frenckell",1
"1357","& sumptibus Ignatii Meureri",1
"1358","& typgor. Reg. Magn. duc. Finland. Jacob. Merckell",1
"1359","& typog. reg. mag. duc. Finland. Jacob Merckell",1
"1360","& typogr. Reg Magn. duc. Finland. Jacob. Merckell",1
"1361","& typogr. Reg. Mag. Duc. Finland. Jacob Merckell",1
"1362","& typogr. magn. duc. Finland Jacob Merckell",1
"1363","& typogr. magn. duc. Finland. Jacob",1
"1364","& typogr. reg. m. duc. Finland. Jacob Merckell",1
"1365","& typogr. reg. magn. duc. Finland. Jaccob Merckell",1
"1366","A. C. Londicerildä",1
"1367","A. Cederwaller",1
"1368","A. Cederwallerin kirja-painosta",1
"1369","A. F. Rose, Kongl. acad. boktryckare",1
"1370","A. I. Nordström",1
"1371","A. J. Nordstöm",1
"1372","Ab. Habereger, G. & A. C. btr",1
"1373","Abr. Habereger, Gub, och Ac. Car. boktr",1
"1374","Abrah. Habereger, Ac. Car. typ",1
"1375","Acad. apud Viduam Petri Waldz",1
"1376","Acad. typogr",1
"1377","Academiae Imperialis scientiarum",1
"1378","Academiae exscriptus",1
"1379","Academicis",1
"1380","Academicis Reg. univ. typ. Joh. Kiaempe",1
"1381","Ad. Fr. Raam",1
"1382","Admiraltejskaa^ Kollegi¨a",1
"1383","Aeschill. M. Acad. typog",1
"1384","Aeschillus Matthiae",1
"1385","Akademia Nauk",1
"1386","Akademi`a^ Nauk",1
"1387","Amund Lauritzan poialda",1
"1388","Amundi Lauritzan Poialda",1
"1389","Amundi Lauritzan Poialta",1
"1390","Amundi Lauritzan Poika",1
"1391","Amundi Lauritzen Poialda",1
"1392","Amu^d Lauritzen poijalda",1
"1393","And. Biörckman, Kongl. Acad. boktr. i Åbo",1
"1394","And. Biörkman, Kongl. acad. boktr. i Åbo",1
"1395","And. Biörkmanni, Reg. Acad. Aboe¨nsis typogr",1
"1396","And. Laurelio, Kongl. gymn. booktr",1
"1397","And. Laureliuo, Kongl. gymn. boktr",1
"1398","And. Laurelius, Coll. Reg. typogr",1
"1399","And: Biörckman kongl. acad. boktr",1
"1400","And: Biörckman, Kongl: acad: bokt",1
"1401","And: Biörckman, Kongl: acad: boktr",1
"1402","Anders Biörckman",1
"1403","Anders Biörkman, Kongl. Acad. boktr. i Åbo",1
"1404","Anders J. Nordström",1
"1405","Anders Jac. Nordström. Finnes til salu i Utters boklålda midt emot Lazaretts-Lotteri-Contoiret i Stora Kyrko-Brinken",1
"1406","Anders Jacobs. Nordström",1
"1407","Anders Torstensson",1
"1408","Andr. Biörckman, kongl. acad. boktr. i Åbo",1
"1409","Andr. Biörkman",1
"1410","Andr. Björkman, Kongl. acad. boktryckare i Åbo",1
"1411","Andr. Björkman, Kongl. academ. boktryckare i Åbo",1
"1412","Andreae Biörkmanni, Reg. Acad. typogr. Aboae",1
"1413","Andreas Biörckm",1
"1414","Andreas Biörkman, Kongl. Acad. boktr.  Åbo",1
"1415","Andreas Biörkman, Kongl. Acad. boktr. i Åbo",1
"1416","Andreas Guttervitz",1
"1417","Antron Strauss",1
"1418","Anundianis",1
"1419","Anundinis",1
"1420","Apud autorem cum privilegio annorum viginti et apud Petrum Mariette via Iacobaea sub signo spei",1
"1421","Apud. Carolum. Stolpe",1
"1422","Asverus Kröger",1
"1423","Aurora-Seura",1
"1424","B. Nicolai Wankifwii",1
"1425","B. [...]nkivii",1
"1426","Barck",1
"1427","Benj. G. Schneider",1
"1428","Benj. Gottl. Schneiders änckia",1
"1429","Bernhardus Wilhelmus Brunou",1
"1430","Bibel-Sällskapets Boktryckeri",1
"1431","Biörckegrens enka",1
"1432","Biörkmans enckia",1
"1433","Boeke´e",1
"1434","Boe¨tius Hagen",1
"1435","Breitkopf & Härtel, Prix 2 rthlr. 12 gr",1
"1436","Breitkopfsche Buchdruckerey",1
"1437","Brockeniorum, Zacharias Asp",1
"1438","Brockenius",1
"1439","Broderus Carolus Julius Witting",1
"1440","Brummer",1
"1441","Burchardinis,  Joh. Jac. Genath P. T. fact",1
"1442","C. Deleen och J. G. Forsgren",1
"1443","C. Dele´n & J. G. Forsgren",1
"1444","C. F. Mohr",1
"1445","C. Fr. Rumpffen",1
"1446","C. Reusner",1
"1447","C. Reusnerus",1
"1448","C. Trapp culut[u]xella. Prädätty [sic] Joh. Kiämpildä",1
"1449","C. Trapp culutuxella Johan Kiaempildä",1
"1450","C. Trapp culutuxella. Prändätty Joh. Kiämpildä",1
"1451","C. Trapp culutuxella. Prändätty, Johan Kiämpildä",1
"1452","C. Trapp. culutuxella Joh. Kaempildä",1
"1453","C. Trapp. culutuxella Joh. Kiaempildä",1
"1454","C. Trapp. culutuxella. Prändätty, E. Flodströmildä",1
"1455","Cadell",1
"1456","Cadell & Davies",1
"1457","Carl Axel Gottlund",1
"1458","Carl F. Marquard",1
"1459","Carl Fredric Marquard",1
"1460","Carl Gustaf Berling",1
"1461","Carl Gustaf Sundqvist",1
"1462","Carl Stolpe. För andras räkning",1
"1463","Carl Stolpilda",1
"1464","Carlbohm och Frenckell",1
"1465","Caroli Dele´n",1
"1466","Caspari Freyschmidt",1
"1467","Cedervaller",1
"1468","Charles Deleen et J. G. Forsgren",1
"1469","Chez Ganeau, libraire, rue S. Severin",1
"1470","Chez de Bure l'ai^ne´ libraire, Quai des Augustins",1
"1471","Chez les Libraires Associe´s",1
"1472","Chr. Ev. Barck",1
"1473","Chr. Reusnerilde",1
"1474","Chr. Reusnerus",1
"1475","Chr. Trapin culutuxella F. Phil. Paulssenildä",1
"1476","Chr. Trapp culutuxella. Prändätty E. Flodstömildä",1
"1477","Chr. Trapp culutuxella. Prändätty Eric Flodstömildä",1
"1478","Christ. Brendekenii, gymn. typogr",1
"1479","Christ. Frenckell",1
"1480","Christ. Ludv. Hjelt",1
"1481","Christian Ludw. Hjelt",1
"1482","Christian Ludw. Hjelt, på eget förlag",1
"1483","Christian Ludw. Hjelt. På utgifvaren G. M. Järnefelts förlag",1
"1484","Christian Mu¨ller",1
"1485","Christiani Kreusigii, Acad. typ",1
"1486","Christiani Schrödteri, Acad. typ",1
"1487","Christiani Tham",1
"1488","Christofer Reusner",1
"1489","Christoph. Brendekenii, gymn. typ",1
"1490","Christopher Reusnerildä",1
"1491","Christopher and Jennett",1
"1492","Christophori Bredekenii, gymn. typogr",1
"1493","Christophori Brendekenii",1
"1494","Christophori Brendekenii gymn. typogr",1
"1495","Colburn",1
"1496","Collegii Academici Societatis Jesu",1
"1497","Cratonianis, per Ioan. Gorman",1
"1498","Cratonianis, per Iohan Gorman",1
"1499","Cratonianis, per Iohan. Gorman",1
"1500","Cratonianis, per Iohannem Gorman",1
"1501","Cratonianis, per Joan. Gorman",1
"1502","Cun. Maj. kirj. pränt. Henr. C. Merckellin leskeldä",1
"1503","Cun. Maj. kirj. pränt. suuren ruht. maasa Suomes, Henr. C. Merckellin leskeldä",1
"1504","Cuning:sa suomalaisesa prändisä, Johan Arvid Carlbohmin tykönä",1
"1505","Cuning:sen academian kirjanpräntis",1
"1506","Cuningal. Majtin [sic] ja Academ. kirjanpräntäj. Eric Flodströmildä",1
"1507","Cuningalisesa prändisä",1
"1508","Cuningall. acad. kirjanpräntäjäldä, Erich Flodströmildä",1
"1509","Cuningall. academian alla olewasa präntisä",1
"1510","Cuningallisen academian präntisä",1
"1511","Cuningallises kirjain präntis ylöspandu",1
"1512","Cuningallisesa suomalaisesa prändisä Johan Arvid Carlbohmilda",1
"1513","Cuningallisesa suomalaisesa prändisä, Johan Arvid Carlbohmilda",1
"1514","Cuningallisesa suomalaisesa prändisä,Joh. A. Carlbohmilda",1
"1515","C<U+030C>ertez<U+030C>naa^ Gosudarstvennago Admiraltejskago Departamenta",1
"1516","Daniel I. Medelplaan gymn. booktryckare",1
"1517","Daniel J. Medelplaan, gymnasij booktryckare",1
"1518","Daniel Medelp. gymn. ty",1
"1519","Dankerts",1
"1520","David Kempe",1
"1521","David Kämpe",1
"1522","Davidis Rhetii",1
"1523","Departament Narodnago prosve^s^eni`a",1
"1524","Depo^t imperial des cartes",1
"1525","Druckts Adolph Simon",1
"1526","Druckts Adolphs Simon",1
"1527","Dufour & Roux",1
"1528","E. Flodström Kongl. acad. boktr",1
"1529","E. Flodström, Kongl. acad. boktr",1
"1530","E. Flodström, R. Acad. typogr",1
"1531","E. Flodström, Reg. Acad. typ. in mag. duc. Finl",1
"1532","E. Flodström, Reg. Acad. typog",1
"1533","E. Flodström. R. Acad. typ",1
"1534","E. M. Flodström, Kongl. acad. boktryckare",1
"1535","E. M. Flodströmildä, Cuningal. acad. kirjanpräntäjäldä",1
"1536","Ecksteinska tryckeriet",1
"1537","Edmannians",1
"1538","Edmannnianis",1
"1539","Efenkellianis",1
"1540","Elme´ns och Granbergs Tryckeri",1
"1541","Elme´ns och Granbergs tryckeri",1
"1542","Em. Bruzelius",1
"1543","Ephraim Kempes änka",1
"1544","Eric Flodström, Reg. Acad. typogr",1
"1545","Eric M. Flodström, Reg. Acad. typ. in magn. duc. Finl",1
"1546","Eric Stakberg] ;;[J. C. Frenckell",1
"1547","Erich Flodströmildä, Cuning:sen academian kirjanpräntäjäldä",1
"1548","Erich Flodströmildä, cuningal. kirjanpr",1
"1549","Ericus Flodström, Reg. Acad. typogr",1
"1550","Erik Hasselrot",1
"1551","Ernst Peter Sundqvist",1
"1552","Eschilli Matthiae Molybd",1
"1553","Eschillus Mathiae",1
"1554","Ewald Ziervogel",1
"1555","Exc. Jo. Wal",1
"1556","Excusus apud Johannem Laurentii Wallium, Regiae Univ. ibid. typographum",1
"1557","Fenckell",1
"1558","Finska hushållningssällskapet",1
"1559","Frantz Philipp Paulssen",1
"1560","Freenckell",1
"1561","Frenckelianis",1
"1562","Frenckelin kirjan prändisä",1
"1563","Frenckell & fil",1
"1564","Frenckell :;Simelius",1
"1565","Frenckell ja Poika",1
"1566","Frenckellanis",1
"1567","Frenckelliananis",1
"1568","Frenckelliansi",1
"1569","Frenckellin kirjan prändisä wuonna",1
"1570","Frenckellin kirjan-prdänisä",1
"1571","Frenckellin kirjan-prändisä wuonna",1
"1572","Frenckellin kirjapaino",1
"1573","Frenckellin präntisä wuonna",1
"1574","Frenckellska boktryckeriet. På egen bekostnad",1
"1575","Frenckellska tryckeriet, för auctors räkning",1
"1576","Frenkelliorum",1
"1577","Frid. Wilh. Aug. Argelander",1
"1578","Friedr. Ludv. Rhete",1
"1579","Friedrich Nicolai",1
"1580","Frys, Couchman, och Collier",1
"1581","För detta kongl. tryckeriet",1
"1582","G. Klint",1
"1583","G. W. Londicer efter tryckt exemplar",1
"1584","G. W. Londicerildä. Kuning. privil. kirjanpräntäjäldä",1
"1585","Ge. Wilh. Londicerildä",1
"1586","Gebru¨dern Bornträger",1
"1587","Gedruckt bey Friedrich Drechsler",1
"1588","Georg Hantsch",1
"1589","Georg Hantschs änka",1
"1590","Georg Heinrich Adolphi, Königl. Univers. Buchdr",1
"1591","Georg Urban, cons. och gymn. boktr",1
"1592","Georg Wilh. Londicer, Kongl. pr. boktryckare",1
"1593","Georg Wilh. Londicer. Efter tryckt exemplar",1
"1594","Georg Wilh. Londicerildä, Turusa prändättun examplarin jälkeen",1
"1595","Georg Wilh. Londicerildä. Kuningall. priwil. kirjanpräntäjäldä",1
"1596","Georg Wilh. Londicerildä. Prändätyn exemplarin jälken Turusta",1
"1597","Georg Wilhelm Londicer efter tryckt exemplar",1
"1598","Georg Wilhelm Londicer k. p. boktryckare. Efter tryckt exemplar från Calmar",1
"1599","Georg Wilhelm Londicer, kongl. privil. boktryckare",1
"1600","Georg Wilhelm Londicer. efter [sic] tryckt exemplar",1
"1601","Georg Wilhelm Londicerilda. Prändätyn exemplarin jälken Turusta",1
"1602","Georg Wilhelm Londicerildä :;Londicer, Georg Wilhelm",1
"1603","Georg Wilhelm Londicerildä prändätyn exemplarin jälken Turusta",1
"1604","Georg Wilhelm Londicerildä, kuning. privil. kirjan-präntäjäldä",1
"1605","Georg Wilhelm Londicerildä. Prändättyn exemplarin jälken",1
"1606","Georg Wilhelm Londicerildä. Prändätyn exemplarin jälkeen Stokkholmisa",1
"1607","Georg Wilhelm Londicerildä. Prändätyn exemplarin jälken Stockholmisa",1
"1608","Georg Wilhelm Londicerildä. Turusa prändätyn exemplarin jälkeen",1
"1609","Georg Wilhelm Londicerilä. Prändätyn exemplarin jälken Turusa",1
"1610","Georg Wilhem Londicerildä",1
"1611","Georgii Christiani Schindleri, illustr. reg. regim. & generos. senat. typogr",1
"1612","Georgii Hantschenii",1
"1613","Georgii Hantschenii, Reg.: typ",1
"1614","Georgii Hantschenii, reg. typ",1
"1615","Georgii Henrici Adolphi, Reg. Acad. typogr",1
"1616","Georgii Wilhelmi Londicer",1
"1617","Gezelianis debat Johannes Winter",1
"1618","Gezelianis sus a^ Johanne Winter",1
"1619","Gorg [sic] Wilhelm Londicerildä",1
"1620","Gormannianis",1
"1621","Gornyj uc<U+030C>ilis^e",1
"1622","Gresselska tryckeriet",1
"1623","Gronenbergianis",1
"1624","Guttervitzianis",1
"1625","Gvtterwitzianis",1
"1626","Gymnasii",1
"1627","H. C. Merckelildä, cuningal. kirjan pr",1
"1628","H. C. Merckell, Reg. typogr",1
"1629","H. C. Merckell, kongl. boktr. i stor-furstendömet Finland",1
"1630","H. C. Merckell, kongl. booktr",1
"1631","H. C. Merckellildä, cuningl. kirjan pränt",1
"1632","H. C. Merckells enkia",1
"1633","H. C. Merckells änka",1
"1634","H. Curio",1
"1635","Haeredum Richelianorum",1
"1636","Hans Larsson Wall",1
"1637","Harberg & Hesselberg",1
"1638","Harberg och Hesselberg",1
"1639","Heinrich Keyser ludni",1
"1640","Heinrici Westphali, gymnasij typographi",1
"1641","Heinricus Kayser",1
"1642","Hempel",1
"1643","Hendrich Keyser Kongl. May:tz och Acad. booktryckare",1
"1644","Hendrick Keijsarilda, kuning[...] ja Upsalan acad. kirja",1
"1645","Henr. C. Merckel",1
"1646","Henr. C. Merckelildä, Cuning. Maj. kirj. pränt. suures ruht. maasa Suomesa",1
"1647","Henr. C. Merckelildä, Cuning:sen Maj: kirjan pränt. suuresa ruhtinan maasa Suomesa",1
"1648","Henr. C. Merckelildä, cuningal. kirj. pränt",1
"1649","Henr. C. Merckelildä, kuning. kirj. präntäjäldä",1
"1650","Henr. C. Merckelin tykönä, cuning. kirjan pränt. suures ruht. maasa Suomes",1
"1651","Henr. C. Merckelin tykönä, cuningalisen kirjan präntäjän suures ruhtinan maasa Suomes",1
"1652","Henr. C. Merckelin, Cuning:sen Maij:tin kirjan präntt. tykönä",1
"1653","Henr. C. Merckelin, cuning:sen kirj. präntät. tykönä",1
"1654","Henr. C. Merckelin, cuning:sen kirjan pränttäjän tykönä",1
"1655","Henr. C. Merckell, kongl. boktr. i Stor-förstend. Finland",1
"1656","Henr. C. Merckell, kongl. boktr. i stor-furstend. Finlan [sic",1
"1657","Henr. C. Merckell, kongl. boktr. i stor-förstend. Finl",1
"1658","Henr. C. Merckell, kongl. boktr. i stor-förstend. Finland",1
"1659","Henr. C. Merckell, kongl. boktr. i storfurstendömet Finnland",1
"1660","Henr. C. Merckell, kongl. boktr. uthi stor-furstendömet Finland",1
"1661","Henr. C. Merckell, kongl. boktryckiare",1
"1662","Henr. C. Merckell, kongl. botr. [sic] i stoor-furstendömet Finland",1
"1663","Henr. C. Merckell, reg. typogr. in magn. duc. Finlandiae",1
"1664","Henr. C. Merckell. kongl. boktryckare i storfurstendömet Finnland",1
"1665","Henr. C. Merckell. kongl. boktryckiare",1
"1666","Henr. C. Merckell. reg. typogr. duc. Finl",1
"1667","Henr. C. Merckellildä cuning:da kirjan-pränt:dä suri-ruhtinan maasa Suomesa",1
"1668","Henr. C. Merckellildä cuningall. kirjan präntt",1
