"","publisher","n"
"152","apud Reg. Acad. typogr. J. C. Frenckell",14
"153","tryckt på Lars Salvii kostnad",14
"154","Bibel-sällskapets boktryckeri",13
"155","Carl Stolpe",13
"156","Cuningallisesa suomalaisesa präntisä",13
"157","Joh. Kiaempe, Kongl. acad. boktr",13
"158","Peder Wald",13
"159","aff Peder Wald",13
"160","debat Johannes Winter",13
"161","sa  Johanne Winter",13
"162","sa a^ Petro Hansonio, Acad. typ",13
"163","tryckt hoos Niclas Wankijff, kongl. booktr",13
"164","tryckte i Frenckellska boktryckeriet",13
"165"," apud Jo. Laur. Wallium",12
"166"," apud Joh. L. Wallium",12
"167"," apud Johannem L. Wallium, A. t",12
"168","Anders Zetterberg",12
"169","J. A. Carlbohm",12
"170","J. C. Frenckellin kirjan-prändisä",12
"171","Johan A. Carlbohm",12
"172","Johan C. Frenckell",12
"173","Wennberg & Nordström",12
"174","a^ Petro Hansonio Acad. typog",12
"175","litteris Joh. Christoph. Frenckell & fil",12
"176","sa a^ Petro Hansson, Acad. typog",12
"177","tryckt aff Johan Winter",12
"178","A. J. Nordström",11
"179","Andreas Gutterwitz",11
"180","C. Stolpe",11
"181","H. C. Merckellin leski",11
"182","Joh. C. Frenckell, R. Acad. typogr",11
"183","Joh. Kiämpe Reg. Acad. typogr",11
"184","Joh. Kiämpe, Kongl. Acad. boktr",11
"185","Joh. Kiämpe, Reg. Acad. typ",11
"186","Johan Christ. Frenckell",11
"187","Johan Georg Lange",11
"188","Johannes Vogelius, Acad. typogr",11
"189","Kongl. Acad. boktr. J. C. Frenckells enka",11
"190","Reg. Acad. typogr. Joh. Kiämpe",11
"191","aff Ignatio Meurer",11
"192","a^ Petro Hansson, Acad. typog",11
"193","m. Reg. Acad. Aboe¨ns. officin. Jacob Merckell",11
"194","tryckt aff Petro Hansonio",11
"195","tryckt, hos directeuren och kongl. boktr. i stor-förstendömet Finland, Jacob Merckell",11
"196"," apud Jo. L. Wallium",10
"197"," apud Jo. Wal",10
"198","Henrik Christofer Merckell",10
"199","Johan Christoph. Frenckellildä",10
"200","Johan. Christoph. Frenckell",10
"201","Johannes Vogelius",10
"202","Johannes Winter",10
"203","Petri Georgii Nyström",10
"204","Reg. Acad. typ. Joh. Kiämpe",10
"205","aff Johan Winter",10
"206","cuningal. kirj. präntäj. Henrich C. Merckelin leskeldä",10
"207","debat Johannes Vogel, Acad. typographus",10
