"","publication_place","country","count","longitude","latitude","identity"
"9","Tallinn","Estonia",51,"59.4369608","24.7535747","Google"
"101","Tartu","Estonia",217,"58.377983","26.7290383","Google"
"11","Viljandi","Estonia",2,"58.363476","25.5859692","Google"
"12","Godby","Finland",1,"60.2299259","19.9879697","Google"
"13","Heinäjoki","Finland",1,"60.9448422","24.7302071","Google"
"14","Hvitträsk","Finland",1,"60.1812857","24.519878","Google"
"15","Inkoo","Finland",1,"60.0458754","24.0045755","Google"
"165","Jaakkima","Finland",2,"61.5159315","30.1430803","Google"
"1710","Jääski","Finland",1,"61.0393083","28.9234559","Google"
"188","Kainuu","Finland",3,"64.3736564","28.7437475","Google"
"194","Kallislahti","Finland",1,"61.9090662","28.6005805","Google"
"201","Kaprio","Finland",1,NA,NA,"Google"
"214","Keltto","Finland",1,NA,NA,"Google"
"222","Kettuvaara","Finland",1,"62.6026669","29.7964162","Google"
"231","Kirvu","Finland",1,"61.0752787","29.3032142","Google"
"241","Kivennapa","Finland",1,"63.0696912","27.998904","Google"
"251","Koivisto","Finland",2,NA,NA,"Google"
"261","Koivulahti","Finland",1,"63.1606218","21.8418931","Google"
"271","Kurkijoki","Finland",1,"61.4069219","24.8433035","Google"
"281","Kymenlaakso","Finland",1,"60.780512","26.8829336","Google"
"291","Käkisalmi","Finland",62,"61.3188461","25.55472","Google"
"309","Laihiala","Finland",1,"62.9761152","22.0114719","Google"
"312","Loimijoki","Finland",1,"61.1194194","22.6747772","Google"
"325","Mustasaari","Finland",2,"63.1140608","21.6820104","Google"
"332","Mustiala","Finland",2,"60.8183884","23.7698104","Google"
"346","Mustio","Finland",1,"60.1377409","23.8638715","Google"
"354","Orismala","Finland",1,"62.9507831","22.3976838","Google"
"3610","Perkjärvi","Finland",1,"61.6498728","24.4810897","Google"
"376","Pernaja","Finland",7,"60.4390457","26.0422847","Google"
"38","Pinjainen","Finland",1,"60.0853878","23.6410551","Google"
"398","Pännäinen","Finland",1,"63.597471","22.788939","Google"
"404","Räisälä","Finland",1,"66.576549","27.9323226","Google"
"41","Sairala","Finland",12,"61.11989","27.7199435","Google"
"42","Sakkola","Finland",1,"60.2881233","23.7187077","Google"
"431","Sarvilahti","Finland",1,"60.9807927","27.8523773","Google"
"441","Simola","Finland",1,"60.9075989","28.1487996","Google"
"45","Säkkijärvi","Finland",1,"62.3180361","22.5447585","Google"
"461","Terijoki","Finland",8,"60.1967148","29.7006916","Google"
"47","Terni","Finland",1,NA,NA,"Google"
"482","Tervonsalmi","Finland",1,"62.9580588","26.7546579","Google"
"492","Uusikirkko","Finland",1,"60.8014025","21.4093605","Google"
"501","Valamo","Finland",1,"62.5629556","28.7905196","Google"
"511","Valkjärvi","Finland",1,"60.4156641","24.7123432","Google"
"522","Vyborg","Finland",1324,"60.7139529","28.7571571","Google"
"53","Macon","France",1,"46.3068839","4.828731","Google"
"541","Altenstein","Germany",3,"50.171754","10.7331645","Google"
"552","Braunschweig","Germany",16,"52.2688736","10.5267696","Google"
"561","Gutersloh","Germany",1,"51.9032375","8.3857535","Google"
"57","Hannover","Germany",2,"52.3758916","9.7320104","Google"
"58","Koningsberg","Germany",6,"50.0808691","10.5664483","Google"
"591","Nürnberg","Germany",18,"49.4521018","11.0766654","Google"
"601","Wurzburg","Germany",1,"49.7913044","9.9533548","Google"
"61","Zürich","Germany",7,NA,NA,"Google"
"621","Isafjördur","Iceland",6,"66.0611061","-23.1888598","Google"
"632","Reykjavik","Iceland",6,"64.1265206","-21.8174392","Google"
"641","Calcutta","India",1,"22.572646","88.363895","Google"
"652","Firenze","Italy",7,"43.7695604","11.2558136","Google"
"661","Nizza","Italy",1,"44.7592537","8.3604748","Google"
"67","Liepaja","Latvia",1,"56.5046678","21.010806","Google"
"681","Oniipa","Namibia",1,"-17.908632","16.0375673","Google"
"691","Tromsö","Norway",5,"69.6492047","18.9553239","Google"
"702","Breslau","Poland",2,"51.1078852","17.0385376","Google"
"71","Krakow","Poland",3,"50.0646501","19.9449799","Google"
"721","Archangelsk","Russia",5,"64.5472507","40.5601553","Google"
"73","Inkeri","Russia",1,NA,NA,"Google"
"741","St Petersburg","Russia",628,"59.9342802","30.3350986","Google"
"751","Haaparanta","Sweden",8,"65.8417085","24.1276643","Google"
"762","Nytorp","Sweden",5,"55.95","12.766667","Google"
"772","Visingsborg","Sweden",5,"58.0491787","14.3431721","Google"
"78","Lausanne","Switzerland",1,"46.5196535","6.6322734","Google"
"79","Neuchatel","Switzerland",1,"46.9899874","6.9292732","Google"
"801","Ely Mi","USA",1,"47.9032372","-91.8670873","Google"
"81","Eveleth Mi","USA",1,"47.4624279","-92.5399063","Google"
"821","Harbor Oh","USA",2,"41.5067173","-83.1465875","Google"
"831","Jacobson Mi","USA",1,NA,NA,"Google"
"841","New York","USA",174,"40.7127753","-74.0059728","Google"
"852","Smithville Mn","USA",2,"46.6923372","-92.2303317","Google"
"861","St Louis Kaunti Mi","USA",1,NA,NA,"Google"
